accession,title,organism,platform_type,gpl,n_samples_total,n_cases,n_controls,tissue,has_healthy_ctrl,notes,query_source,summary_excerpt
GSE101286,Gene expression profiling of idiopathic interstitial pneumonias (IIPs): identification of potential diagnostic markers a,Homo sapiens,,6947,15,,,,,,array,"Chronic fibrosing idiopathic interstitial pneumonia (IIP) is characterized by alveolar epithelial damage, activation of fibroblast proliferation, and loss of normal pulmonary architecture and function"
GSE102674,Effect of mTORC1 and 2 inhibition on myofibroblast global gene expression ,Homo sapiens,,18573,24,,,,,,broad,Background: Mechanistic target of rapamycin (mTOR) is a nodal serine/threonine protein kinase critical for the control of fundamental cellular processes. Dysregulated mTOR signalling has been shown in
GSE102751,Transcriptomic analysis of IPF lung-associated and normal peripheral blood T cells,Homo sapiens,,11154,6,,,,,,broad,Lung explant derived T cells were sorted from mechanically dissociated IPF lung explants and compared to CD4+ T cells magnetically sorted from the peripheral blood of normal donors.
GSE10667,MMP1 and MMP7 as potential peripheral blood biomarkers in Idiopathic Pulmonary Fibrosis ,Homo sapiens,,4133,46,,,,,,array,Idiopathic pulmonary fibrosis (IPF) is a chronic progressive fibrotic lung disease associated with significant morbidity and mortality.  We identified a combinatorial signature of 5 proteins that was 
GSE109585,The antifibrotic activity of the selective IP receptor agonist ACT-333679 is mediated through inhibition of YAP/TAZ sign,Homo sapiens,,21185,16,,,,,,broad,"Idiopathic pulmonary fibrosis (IPF) is a life-threatening and progressive scarring disease of the lung. Loss of alveolar epithelial cells, inflammation, activation of fibroblasts, appearance of myofib"
GSE110147,Gene expression profiling of idiopathic pulmonary fibrosis and non-specific interstitial pneumonia,Homo sapiens,,6244,48,,,,,,array,Idiopathic pulmonary fibrosis (IPF) and non-specific interstitial pneumonia (NSIP) are the 2 most common forms of idiopathic interstitial pneumonia. Response to therapy and prognosis are remarkably di
GSE11196,Fibrotic Myofibroblasts Manifest Genome-Wide Derangements of Translational Control,Homo sapiens,,6732,48,,,,,,array,"As a group, fibroproliferative disorders of the lung, liver, kidney, heart, vasculature and integument are common, progressive and refractory to therapy. They can emerge following toxic insults, but a"
GSE114844,Genome wide chromatin accessibilty changes associated with JUN expression in human normal and IPF lung fiborblasts,Homo sapiens,,18573,12,,,,,,broad,We found that JUN expression is increased in many human fibrotic diseases and that systemic induction of Jun in mice resulted in development of fibrosis of multiple organs. To identify the changes in 
GSE116086,RNAseq in Idiopathic Pulmonary Fibrosis,Homo sapiens,,18573,4,,,,,,broad,"Idiopathic pulmonary fibrosis (IPF) is a chronic, progressive and highly lethal lung disease with unknown etiology and poor prognosis. "
GSE118933,Immune Checkpoint Regulation of Pulmonary Fibrosis [bulk RNA-seq],Homo sapiens,,21290,18,,,,,,broad,Fibroblasts from idiopathic pulmonary fibrosis (IPF) patients acquire an invasive phenotype that is essential for progressive fibrosis. The immune checkpoint ligand CD274 (PD-L1) is up-regulated on in
GSE119007,Prostaglandin E2 inhibits pro-fibrotic function of human pulmonary fibroblasts by disrupting Ca2+-signaling,Homo sapiens,,20301,12,,,,,,broad,"Purpose: Identification of gene expression in human lung fibroblasts, including analysis of impact of IPF (Idiopathic Pulmonary Fibrosis) as well as TGFβ stimulation, with particular emphasis on prost"
GSE121500,Genetic characterization of bronchoalveolar lavage fluid cells from patients with IPF and sarcoidosis,Homo sapiens,,22067,21,,,,,,array,Background: Sarcoidosis and idiopathic pulmonary fibrosis (IPF) are two most frequent forms of interstitial lung diseases (ILDs). Cellular and biochemical composition of bronchoalveolar lavage fluid (
