n_trials,has_completed,has_active,phases,best_status,trial_ids,evidence_level,drug,is_positive_control
1,True,False,PHASE1,COMPLETED,NCT04888715,moderate,pirfenidone,True
1,True,False,PHASE1,COMPLETED,NCT05817240,moderate,nintedanib,True
0,False,False,,None,,none,cediranib,False
0,False,False,,None,,none,JNJ-26481585,False
0,False,False,,None,,none,romidepsin,False
1,True,False,PHASE1,COMPLETED,NCT02874989,moderate,dasatinib,False
0,False,False,,None,,none,AEE-788,False
0,False,False,,None,,none,rufinamide,False
0,False,False,,None,,none,dacomitinib,False
0,False,False,,None,,none,afatinib,False
0,False,False,,None,,none,neratinib,False
0,False,False,,None,,none,baricitinib,False
0,False,False,,None,,none,riluzole,False
0,False,False,,None,,none,osimertinib,False
0,False,False,,None,,none,valdecoxib,False
0,False,False,,None,,none,AP-26113,False
0,False,False,,None,,none,canertinib,False
0,False,False,,None,,none,BIBX-1382,False
0,False,False,,None,,none,vorinostat,False
0,False,False,,None,,none,efatutazone,False
0,False,False,,None,,none,STA-5326,False
0,False,False,,None,,none,cepharanthine,False
