drug,n_drug_ipf,n_drug_total,ror,ror_ci_lo,ror_ci_hi,is_protective,is_pc
pirfenidone,617,4059,50.249086071157514,46.108348118371104,54.761680997644824,False,True
nintedanib,666,3112,76.38140707902002,70.088715178164,83.2390682657081,False,True
cediranib,0,119,,,,False,False
JNJ-26481585,0,3,,,,False,False
romidepsin,2,767,0.7267726275636475,0.18142726484076913,2.911351017937382,False,False
dasatinib,51,9240,1.5432753850344385,1.1718636922736083,2.0324026845070238,False,False
AEE-788,0,0,,,,False,False
rufinamide,0,1190,,,,False,False
dacomitinib,8,465,4.866829781308965,2.4191137092034034,9.791202468128509,False,False
afatinib,17,1232,3.890293908180407,2.410286272561405,6.2790826402302455,False,False
neratinib,0,571,,,,False,False
baricitinib,49,2903,4.775375793961148,3.600186045081607,6.334176536433174,False,False
riluzole,39,1766,6.280615963700052,4.572268605526578,8.62725712041605,False,False
osimertinib,126,7990,4.460099374342793,3.73974181914735,5.31921383641088,False,False
valdecoxib,0,351,,,,False,False
AP-26113,0,0,,,,False,False
canertinib,0,1,,,,False,False
