probe,logFC,padj
A_23_P100001,-0.35661459159397246,1.189579282502142e-11
A_23_P100022,0.24366293757788782,0.008293408912124763
A_23_P100056,-0.17791171405913797,0.008930616959572544
A_23_P100074,0.2057880876855105,1.5152225206897874e-08
A_23_P100127,0.8603590347796528,5.865253582149544e-16
A_23_P100189,-0.2571774555341566,9.242542153589326e-06
A_23_P100196,-0.13754555341565666,0.046078934124504534
A_23_P100203,0.04631961595106304,0.09222964597749106
A_23_P100220,-0.08019178656395098,0.140891961792826
A_23_P100240,-0.11447579585363243,0.5199957244933369
A_23_P10025,0.5292706582077713,0.00048715773891872324
A_23_P100315,0.06359667497450872,0.16472915386714626
A_23_P100326,-0.03344825535289786,0.399340227246014
A_23_P100344,0.7576774725274733,5.385794963731152e-22
A_23_P100355,0.03464915033420013,0.37250040081553704
A_23_P100386,-0.301161555454855,1.2805009869681786e-05
A_23_P100392,-0.004886337373964267,0.9166358594500276
A_23_P100420,0.06321925342698442,0.11766009025004061
A_23_P100441,-0.08880592500283235,0.012274407622187197
A_23_P100455,0.02541583210603804,0.5243102562504823
A_23_P100486,0.19721003172085716,4.059026917598289e-10
A_23_P100499,-0.060654633510818456,0.19687226935836777
A_23_P100501,-0.014935884218875373,0.6366687167937838
A_23_P100517,-0.012619281749179478,0.8198475545679761
A_23_P100539,-0.2384301518069556,0.00019727948244212997
A_23_P100583,-0.1298591593973044,0.09467576445619416
A_23_P100602,-0.12525429930894028,0.01824406478849252
A_23_P10062,-0.08343049167327665,0.4391512246969197
A_23_P100632,0.13178184547411753,0.009326765354876969
A_23_P100642,-1.5829415713152848,8.0472890184169e-21
A_23_P100654,-0.16656309051772844,9.906726942662309e-07
A_23_P100660,1.1533902911521459,5.819003587578357e-28
A_23_P100676,-0.05978817265209102,0.04175251422373728
A_23_P100704,-0.19458477965333643,7.641506927323764e-11
A_23_P100711,-0.14642321286960325,0.0008708107362907373
A_23_P100730,-0.15457449303274018,0.048283617979449744
A_23_P100764,0.22201028662059308,2.8487050559315896e-10
A_23_P10077,-0.28988500623088065,8.843870667550175e-14
A_23_P100795,-0.18104432989690622,0.00015830371769145303
A_23_P10081,-0.13237569955817374,0.03001314422473377
A_23_P100868,0.29906859635210203,4.2989580084271465e-09
A_23_P100883,0.08180409538914901,0.03571120058496995
A_23_P100912,-0.3055236716891354,5.4508981239404294e-11
A_23_P100963,0.28750378384502095,4.5475342003705215e-06
A_23_P100991,0.003232372266908534,0.8885584896914749
A_23_P101013,-0.005239537781806192,0.9228304896882613
A_23_P101038,0.04043063894867993,0.27981629216908405
A_23_P101048,0.05643207771609848,0.4111257263085305
A_23_P101054,0.013761736716891182,0.7557441858513214
A_23_P101073,-0.2557521524866875,0.001499006641647941
A_23_P101084,-0.1230080604962045,0.33554027218429433
A_23_P101093,0.14708488161323174,0.01263018537596008
A_23_P101111,-0.2904133114308367,1.8501006292152867e-06
A_23_P101131,0.07312254446584454,0.7241291599251349
A_23_P101185,0.17444374079528835,1.9924619617147276e-09
A_23_P101208,-0.0018168233828070868,0.9785674096302184
A_23_P10121,0.7502046278463794,3.22511711732721e-06
A_23_P101237,0.0752696725954447,0.006447445794757295
A_23_P101246,0.43648307465730163,6.269202586741913e-13
A_23_P101281,0.16712619802877704,3.1478809248135453e-06
A_23_P101297,0.17284821570182451,1.728976368880609e-05
A_23_P101319,0.09731386654582685,0.19018788595081298
A_23_P101332,0.1463298572561449,2.7442204992832942e-05
A_23_P101342,-0.4076841395717663,5.568683365931295e-14
A_23_P10135,-0.04854924096522062,0.1191119128650204
A_23_P101351,-0.15002605075336994,3.1592354370349916e-07
A_23_P101374,0.3593870737509901,2.7643267605821515e-05
A_23_P101380,-0.4653429081228069,9.316220463640928e-11
A_23_P101392,-0.5508292228390168,6.01493194632634e-17
A_23_P101407,0.28475014727540504,1.3186874266633534e-05
A_23_P101434,-0.4188440240172211,2.3538999161982173e-06
A_23_P101461,-0.10329039311204014,2.475358980569066e-05
A_23_P101476,0.03298224198482025,0.4845175043720225
A_23_P101480,-0.07704811940636702,0.20889427720498052
A_23_P101505,-0.40882302594313025,0.008733714691221257
A_23_P101516,-0.18286128356179887,2.1754588182540015e-06
A_23_P101521,0.44964326498243956,1.1366491363941002e-05
A_23_P101532,0.027348923756651544,0.08467407539974167
A_23_P101551,-0.015452515010760948,0.7235570196475527
A_23_P10156,-0.24056261470488316,3.0421259109118403e-13
A_23_P101564,0.039173388467203196,0.6018357689000802
A_23_P101615,-0.030774209810807918,0.24717648435862094
A_23_P101623,0.17372356972923786,0.0019551255502211215
A_23_P101642,0.5032245836637594,2.8327253885212392e-05
A_23_P101655,-0.2900265265662174,9.592743383816782e-15
A_23_P101671,-0.11164351421774121,0.28626478108388037
A_23_P101683,-0.3242776821117026,0.17991320509389747
A_23_P101699,-0.03494574034213116,0.32096574627803964
A_23_P101707,0.26559754729806073,1.226360802967771e-09
A_23_P10172,0.3531964427325245,0.008645085279565742
A_23_P101742,-0.07923054831766052,0.0032583045632083546
A_23_P101774,0.0064219100487141745,0.950696801784853
A_23_P101796,-0.3734651693667157,3.1229597345888063e-10
A_23_P101811,-0.018512631698198945,0.7456268387755542
A_23_P10182,-0.06156567350175557,0.22254606617938769
A_23_P101829,-0.029670335334767373,0.6450814704146003
A_23_P101871,-0.2653494562138894,9.850798226039873e-08
A_23_P101905,-0.0805912257845236,0.43335526227146026
A_23_P10194,0.25844092556927833,3.615075094222591e-05
A_23_P101950,0.12911967825988313,2.089827650395544e-06
A_23_P101960,-0.18023732298629014,8.950847749046263e-05
A_23_P101972,0.8232771439900315,3.8514634315224304e-08
A_23_P101992,-0.37185069106151225,0.0010452854692681226
A_23_P102000,-0.45145067406819805,0.00011837446070183565
A_23_P102017,0.010728429817604468,0.9328399631365033
A_23_P102037,-0.0953549790415753,0.05347044546403935
A_23_P102058,-1.9412409482270316,1.5343699679242086e-25
A_23_P10206,0.2622312280503003,0.14273976080626338
A_23_P102060,-0.3641246573014634,5.248963807812139e-12
A_23_P102083,-0.014359012121898385,0.7350485622245003
A_23_P102109,0.09002839016653752,0.15313481752867003
A_23_P102117,1.3470387164382007,5.330433746614111e-26
A_23_P102122,-0.02774292511612053,0.40989529122838253
A_23_P102172,0.26507790868924896,0.0015241956957576278
A_23_P102202,0.07497222725728037,0.0041694661648951714
A_23_P102235,0.10256604735470809,0.0001859951251205621
A_23_P102242,0.04465963521015048,0.2920713169296504
A_23_P102258,0.09060489973943753,0.013261560437629324
A_23_P102262,0.165720799818736,4.270571883666022e-09
A_23_P102286,0.039781964427324956,0.0889243533171132
A_23_P10232,0.13081162909255717,0.12131375942990588
A_23_P102320,0.043809544579131554,0.3021355188503856
A_23_P102351,-0.11260988444545106,0.02821136601389087
A_23_P102364,0.7369528038971325,1.6552664102878172e-05
A_23_P102391,-0.14986570182394665,0.0426069813218818
A_23_P102404,0.079494120312674,0.0001610077663423098
A_23_P102412,0.05595484309505139,0.12400235498279366
A_23_P102420,0.07330597031834252,9.132933615207787e-05
A_23_P102462,-0.02308051433103131,0.7406293066277336
A_23_P102471,0.21578460972017588,1.1248075501985216e-05
A_23_P102508,-0.008802288433216177,0.9153197345311419
A_23_P102517,0.02147190438427593,0.389365312842716
A_23_P102542,-0.004446482383597683,0.9125385896678068
