pmid,title,abstract,year,journal
34858190,,"Background: Multiple studies have revealed that idiopathic pulmonary fibrosis (IPF) patients are more at risk for cardiovascular diseases and that many IPF patients receive cardiovascular medications like statins, angiotensin-converting enzyme inhibitor (ACEI), angiotensin receptor blocker (ARB), and anticoagulants. Existing studies have reported divergent findings on the link between cardiovascular medications and fibrotic disease processes. The aim of this study is to synthesize the evidence on the efficacy of cardiovascular medications in IPF. Methods: We searched studies reporting the effe",2021,Frontiers in pharmacology
26025375,,,2015,Nutrition journal
38565856,,,2024,Scientific reports
34091200,,,2021,Respiratory medicine and research
35416377,,,2022,Journal of biochemical and molecular toxicology
33276250,,,2021,Respiratory medicine
41852279,,,2026,Annals of medicine
37202155,,,2023,The European respiratory journal
22983992,,,2012,Veterinary pathology
27573318,,,2016,International journal of medical informatics
41703565,,,2026,Respiratory research
30150123,,,2018,International journal of cardiology
34606062,,,2021,Drug safety
32220286,,,2020,The Lancet. Infectious diseases
