drug,ipf_pearson,ipf_cmap,ra_pearson,ra_cmap
10-DEBC,-0.015311664980385022,0.06495689576821369,-0.06860661512362394,-0.24431702278018527
1271738-62-5,-0.045586991922541044,0.127940613234307,-0.0582737465656924,0.1820961122444769
"16,16-dimethylprostaglandin-e2",0.00477444678127147,-0.103045161266617,0.017647644684110956,0.0
17-hydroxyprogesterone-caproate,0.01431428200776015,0.0,-0.029310844178634513,0.2406853663177357
"2',5'-dideoxyadenosine",-0.04516308907115108,0.0,-0.009085190668669987,0.0
2-iminobiotin,-0.07898092410402704,0.17144032093727718,0.05680742541581936,0.15876298882900514
2-methoxyestradiol,-0.016451470505606698,0.0,0.02354120941657903,-0.3156334747348615
"3,3'-diindolylmethane",-0.06053851589194778,0.09137711713503384,0.04236796079749969,0.0
3-amino-benzamide,0.00456372313164624,0.0,-0.0013503216522238414,0.22276339503903936
3-deazaadenosine,-0.0464160766686164,0.0745666079935452,-0.02223193516594462,0.0
"4,5,6,7-tetrabromobenzotriazole",-0.01720679402229069,0.07576704414039985,0.03599403140939349,0.3360597195555184
5-aminolevulinic-acid,-0.05461960570281094,0.1380361451679278,0.03834767830979188,-0.16544705270032953
A-443654,-0.0158687911135976,0.06340466213656035,-0.03613649169602275,0.0
A-66,-0.021735272490874546,0.0,-0.015904217953557287,-0.20030488457241136
A-769662,-0.05608858128708353,0.11869207045938612,0.009155026958731207,0.0
ABT-202,-0.05782157267901794,0.12533647619404928,-0.029416048510336877,0.0
ABT-239,-0.054029134669616896,0.109075563928722,0.005170263373875978,0.1903868925022404
ABT-724,-0.010341903458645206,0.0,-0.034557781343582145,0.2754821957404735
ABT-737,-0.11253603745135181,0.16116764062956007,0.004536583300938208,-0.28417430909510977
ACY-1215,-0.02563440810109445,0.0,0.015158293482628796,0.0
AEE-788,0.0872535144127832,-0.164325868059012,0.011999529768191816,-0.24158411246769027
AGI-5198,-0.014722009356744092,0.0,0.0028701319288702808,-0.25939921666931
AGI-6780,-0.048315402440029534,0.10693664843372719,-0.05912861142101343,-0.24588383703556263
AGK-2,-0.005821939123953279,0.06788753550226748,-0.01503367169531995,-0.21316866434763682
AGP-103,-0.06520942327860166,0.10679732166703294,-0.0025471215976814016,-0.2759322569952748
AICA-ribonucleotide,-0.06489762067082729,0.1472495927832802,0.012471202923014723,0.0
AKT-inhibitor-1-2,-0.026902968101273003,0.0,-0.027443490716963483,-0.21506680197504
ALW-II-38-3,-0.07971032788225603,0.1437833999308093,0.03177038112411814,0.0
ALW-II-49-7,-0.07487049136769916,0.09262637741386931,-0.019055390876327686,0.0
ALX-5407,-0.0762255732289614,0.11809737709143368,-0.03902299965050217,0.0
AM-24,-0.03550851481337813,0.10355680930395583,-0.015082384031336882,-0.27686566382834754
AMD-11070,-0.0493154637640932,0.11287316013249118,-0.09555592974542924,0.0
AMG-208,-0.03380588140551406,0.09220297588366842,0.0005816612016308062,0.0
AMG-232,-0.04547688482020372,0.0,0.0028636696058465015,0.0
AMG-487,-0.06711958317883181,0.11203714475792353,0.030339612875210857,-0.3132688911678243
AMG-517,-0.01076532442869522,0.09390541371032096,0.011705995441469521,0.0
AMG-837,-0.04790321329401009,0.10030037340256767,0.0025694476022642084,-0.23729159274385564
AP-26113,0.05215007901805612,-0.1105669448277628,0.02571486570939027,0.23519144114139992
APD-668,-0.016008564144683626,0.10217777613293313,0.028681823983811635,0.0
API-001,-0.01616306679957796,0.0,-0.020533712073413264,-0.26520285197311433
AR-A014418,0.0036037275818203325,0.0,0.005375508715451862,-0.29937439623834217
ARN-509,-0.04137905717959466,0.08594960708976088,0.009681440113672885,-0.3639610998780755
ARP-101,-0.011373659737022366,0.0,-0.048073200371852094,-0.19352387902468454
ARRY-334543,-0.01057344906475492,0.05473068966507076,-0.016510282872116575,0.0
AS-601245,-0.022463808020164896,0.10451830474181914,-0.028418928438156025,0.0
AS-605240,0.06294341081656102,0.0,0.02682365556581728,0.24343910161737717
AS-703026,0.030301909754603368,-0.10135951189626202,-0.002778153175784886,0.0
ASA-404,-0.03834406236358402,0.12598531180158262,-0.006378121744012539,0.0
ASC-J9,-0.014021231114658335,0.0,0.02674400618101593,0.0
AST-1306,0.06960452862824927,-0.10107071926546798,-0.0026474406243044866,0.0
AT-13387,0.048521131124679644,-0.11303205046427389,0.013918097117622923,0.0
AT-7519,-0.08466422730642582,0.13379472390803998,-0.03781091767800653,0.0
AT-9283,0.012834363045605243,0.0,-0.011474963889824245,0.0
AT7867,0.10964366794490123,-0.19013454219997056,-0.02603385692394764,-0.2129826599699224
ATN-161,-0.023602866666622885,0.07748581107166194,0.04042473472538111,0.0
AV-412,0.02689095196418041,-0.09607402778872648,-0.02069884481697619,0.1986566777125833
AV-608,-0.05038017521630425,0.11716374017783318,0.005402626994761064,-0.2874893835053382
AVL-292,0.034565999637205726,0.0,0.01765270000237356,0.0
AVN-944,-0.0013071011514041164,0.0,0.023053651055664533,0.0
AZ-20,-0.07570351614711777,0.14204573077359445,0.04230172561472474,0.0
AZ-628,0.016887133373698515,0.0,0.010777668109176656,0.0
AZD-1208,-0.06118292885631086,0.14347966222928196,-0.03360224264140657,0.21056164214336348
AZD-1480,-0.06108935866233311,0.10301765365944617,-0.009355873234024021,-0.2730530005797416
AZD-1981,0.011121580768028166,0.0,0.07301449178592066,0.0
AZD-2014,-0.055289569381604176,0.08795290993180675,0.042077186012678146,0.19885910230758508
AZD-3514,-0.00796842024156409,0.0,0.0013701072860806862,0.0
AZD-4547,0.04299256537492735,-0.12505022906208216,0.0015432755273214597,0.0
AZD-5363,-0.023996264808412694,0.0,0.002151969115268922,0.0
AZD-5438,-0.10027613107303641,0.15527410913338704,-0.042089753294236004,0.12755300678063125
AZD-6482,-0.058907660050859866,0.1399228373067296,0.0002938112696670081,0.18625396044932566
AZD-7545,0.014387530004056218,0.0,0.023121263759737453,-0.2239561138745666
AZD-7687,-0.017687924627580204,0.0,-0.011712843903850096,0.0
AZD-7762,0.03384997510452573,-0.09555154043464739,-0.016905405047726807,0.17682407840149605
AZD-8055,-0.013686259009421697,0.0,0.04569299999202668,0.0
AZD-8330,0.07731021732977159,-0.12057936564667676,-0.00022441628085163854,0.0
AZD-8931,-0.03450896192952526,0.0,-0.016691052919352332,0.0
AZD-9668,0.0092831809498549,0.0,-0.06210558266430313,-0.2276648668005372
BAY-87-2243,-0.007118435063868448,0.0,0.05612687313699985,0.15594602633645482
BAY-K8644,-0.03214365927704936,0.1015847037765229,0.0027046553506434048,-0.25971202625145295
BCI-540,-0.03342498271752215,0.10818776006006073,0.01995928291990361,-0.2595689200348952
BGT-226,0.039436879610263036,-0.09238827568978199,0.05903892144430995,0.0
BI-2536,0.090137441704258,-0.15696599898744235,0.0008453497582126176,0.0
BIBX-1382,0.04392736422819333,-0.09406445577400785,-0.025063207290809013,0.23409242417944173
BIIB-021,0.03057784448266109,-0.11102648373466709,0.00995094312669463,0.2314028098384976
BIX-01294,0.021819458500890437,0.0,-0.023629803999678917,0.0
BIX-01338,0.011357021004014877,0.0,0.014313453488968961,0.0
BIX-02189,-0.03747212908617846,0.12476185034760363,-0.0032226623536039957,0.0
BMS-299897,0.0023700363125630204,0.0,-0.02330964770780288,0.0
BMS-345541,-0.04315236277408288,0.0,-0.04016773874507795,-0.318597980909559
BMS-387032,-0.07531646737264656,0.10528275178771265,-0.054711416129378077,0.0
BMS-509744,0.006181278475094596,-0.07940888607751767,0.010454577486438155,0.23478185375780297
BMS-599626,0.023405616746732475,0.0,-0.030598523718527382,0.0
BMS-707035,-0.014244156044337871,0.0,-0.07331414640999889,0.0
