drug,pearson,cmap
10-DEBC,-0.015311664980385022,0.06495689576821369
1271738-62-5,-0.045586991922541044,0.127940613234307
"16,16-dimethylprostaglandin-e2",0.00477444678127147,-0.103045161266617
17-hydroxyprogesterone-caproate,0.01431428200776015,0.0
"2',5'-dideoxyadenosine",-0.04516308907115108,0.0
2-iminobiotin,-0.07898092410402704,0.17144032093727718
2-methoxyestradiol,-0.016451470505606698,0.0
"3,3'-diindolylmethane",-0.06053851589194778,0.09137711713503384
3-amino-benzamide,0.00456372313164624,0.0
3-deazaadenosine,-0.0464160766686164,0.0745666079935452
"4,5,6,7-tetrabromobenzotriazole",-0.01720679402229069,0.07576704414039985
5-aminolevulinic-acid,-0.05461960570281094,0.1380361451679278
A-443654,-0.0158687911135976,0.06340466213656035
A-66,-0.021735272490874546,0.0
A-769662,-0.05608858128708353,0.11869207045938612
ABT-202,-0.05782157267901794,0.12533647619404928
ABT-239,-0.054029134669616896,0.109075563928722
ABT-724,-0.010341903458645206,0.0
ABT-737,-0.11253603745135181,0.16116764062956007
ACY-1215,-0.02563440810109445,0.0
AEE-788,0.0872535144127832,-0.164325868059012
AGI-5198,-0.014722009356744092,0.0
AGI-6780,-0.048315402440029534,0.10693664843372719
AGK-2,-0.005821939123953279,0.06788753550226748
AGP-103,-0.06520942327860166,0.10679732166703294
AICA-ribonucleotide,-0.06489762067082729,0.1472495927832802
AKT-inhibitor-1-2,-0.026902968101273003,0.0
ALW-II-38-3,-0.07971032788225603,0.1437833999308093
ALW-II-49-7,-0.07487049136769916,0.09262637741386931
ALX-5407,-0.0762255732289614,0.11809737709143368
AM-24,-0.03550851481337813,0.10355680930395583
AMD-11070,-0.0493154637640932,0.11287316013249118
AMG-208,-0.03380588140551406,0.09220297588366842
AMG-232,-0.04547688482020372,0.0
AMG-487,-0.06711958317883181,0.11203714475792353
AMG-517,-0.01076532442869522,0.09390541371032096
AMG-837,-0.04790321329401009,0.10030037340256767
AP-26113,0.05215007901805612,-0.1105669448277628
APD-668,-0.016008564144683626,0.10217777613293313
API-001,-0.01616306679957796,0.0
AR-A014418,0.0036037275818203325,0.0
ARN-509,-0.04137905717959466,0.08594960708976088
ARP-101,-0.011373659737022366,0.0
ARRY-334543,-0.01057344906475492,0.05473068966507076
AS-601245,-0.022463808020164896,0.10451830474181914
AS-605240,0.06294341081656102,0.0
AS-703026,0.030301909754603368,-0.10135951189626202
ASA-404,-0.03834406236358402,0.12598531180158262
ASC-J9,-0.014021231114658335,0.0
AST-1306,0.06960452862824927,-0.10107071926546798
AT-13387,0.048521131124679644,-0.11303205046427389
AT-7519,-0.08466422730642582,0.13379472390803998
AT-9283,0.012834363045605243,0.0
AT7867,0.10964366794490123,-0.19013454219997056
ATN-161,-0.023602866666622885,0.07748581107166194
AV-412,0.02689095196418041,-0.09607402778872648
AV-608,-0.05038017521630425,0.11716374017783318
AVL-292,0.034565999637205726,0.0
AVN-944,-0.0013071011514041164,0.0
AZ-20,-0.07570351614711777,0.14204573077359445
AZ-628,0.016887133373698515,0.0
AZD-1208,-0.06118292885631086,0.14347966222928196
AZD-1480,-0.06108935866233311,0.10301765365944617
AZD-1981,0.011121580768028166,0.0
AZD-2014,-0.055289569381604176,0.08795290993180675
AZD-3514,-0.00796842024156409,0.0
AZD-4547,0.04299256537492735,-0.12505022906208216
AZD-5363,-0.023996264808412694,0.0
AZD-5438,-0.10027613107303641,0.15527410913338704
AZD-6482,-0.058907660050859866,0.1399228373067296
AZD-7545,0.014387530004056218,0.0
AZD-7687,-0.017687924627580204,0.0
AZD-7762,0.03384997510452573,-0.09555154043464739
AZD-8055,-0.013686259009421697,0.0
AZD-8330,0.07731021732977159,-0.12057936564667676
AZD-8931,-0.03450896192952526,0.0
AZD-9668,0.0092831809498549,0.0
BAY-87-2243,-0.007118435063868448,0.0
BAY-K8644,-0.03214365927704936,0.1015847037765229
BCI-540,-0.03342498271752215,0.10818776006006073
BGT-226,0.039436879610263036,-0.09238827568978199
BI-2536,0.090137441704258,-0.15696599898744235
BIBX-1382,0.04392736422819333,-0.09406445577400785
BIIB-021,0.03057784448266109,-0.11102648373466709
BIX-01294,0.021819458500890437,0.0
BIX-01338,0.011357021004014877,0.0
BIX-02189,-0.03747212908617846,0.12476185034760363
BMS-299897,0.0023700363125630204,0.0
BMS-345541,-0.04315236277408288,0.0
BMS-387032,-0.07531646737264656,0.10528275178771265
BMS-509744,0.006181278475094596,-0.07940888607751767
BMS-599626,0.023405616746732475,0.0
BMS-707035,-0.014244156044337871,0.0
BMS-777607,-0.05141520978902429,0.12059034987749284
BMS-927711,0.0038811096180002614,-0.07259224498186162
BMY-14802,-0.028449856192124628,0.0
BRD-K68548958,-0.029632527053040574,0.0
BRD-K73261812,-0.009063325358674454,-0.08202292913205969
BS-181,0.003335349325965414,0.0
BTS-54505,-0.07566959880657692,0.13967768709348521
BVD-523,0.005529328088075693,0.0
BX-795,-0.0062006423681214805,0.0
BX-912,-0.0683345324811075,0.10893137175231632
CB-10-277-(free-acid),-0.05386217409424775,0.0977282073669549
CC-401,-0.018828439971160377,0.07906269193090736
CC-930,0.05057333874076829,-0.14907692174055545
CEP-32496,0.0009353511866517562,0.0
CEP-37440,0.005254261557775817,0.0
CG-930,-0.03419454633681059,0.09631223733968108
CGK-733,-0.040903119810871434,0.0
CGP-12177,-0.009786227894893126,0.0
CGP-60474,-0.06027052494356551,0.09227700688888951
CGS-20625,-0.04733817555095465,0.09784098613553054
CHIR-99021,-0.06063534468807374,0.16007541958767388
CI-966,-0.02719585653300119,0.10790251914777113
CI-976,-0.04630624574442224,0.09476096725544389
CL-218872,-0.022514552747385456,0.08501557743227975
CNQX,-0.04346137504182044,0.07296616419110796
CO-102862,-0.00594483415363214,0.0
CP-466722,-0.10217534005342074,0.1322095986537242
CP-724714,-0.04039357013644115,0.08219794637052925
CP-945598,-0.02692360020345569,0.10245742096974242
CPI-1189,-0.060442055442648066,0.13472909029816807
CPI-613,-0.021944786547588892,0.07357566572989883
CT-7758,-0.05253219837777593,0.12001085329848069
CTB,-0.08100835192932095,0.16583025785414252
CTS-1027,-0.020028690100437313,0.0
CX-4945,-0.026401903758552222,0.1532161288690861
CX-516,-0.05604640345638601,0.11589286149736797
CX-5461,-0.10291335501061713,0.11115342537208162
CYT-997,-0.021971519651347644,0.08571142923265161
CYT387,-0.07755324820367919,0.12081509604852239
D-4476,0.09713293430750397,-0.1625720796780889
D-serine,-0.041986563584725696,0.11488444950326801
DMP-543,0.000889292219513981,0.07732616243115409
DMP-777,-0.04637062351873128,0.09244199196355633
DPCPX,-0.004521887103612217,0.0
DPI-201106,0.030801955633860924,-0.09290463449983559
DU-728,-0.08876390928270197,0.19381296177328233
E-2012,-0.07557621868942427,0.0
