drug,pearson,cmap
10-DEBC,-0.06860661512362395,-0.24431702278018527
1271738-62-5,-0.058273746565692404,0.1820961122444769
"16,16-dimethylprostaglandin-e2",0.017647644684110963,0.0
17-hydroxyprogesterone-caproate,-0.02931084417863451,0.2406853663177357
"2',5'-dideoxyadenosine",-0.009085190668669986,0.0
2-iminobiotin,0.05680742541581937,0.15876298882900514
2-methoxyestradiol,0.02354120941657903,-0.3156334747348615
"3,3'-diindolylmethane",0.04236796079749969,0.0
3-amino-benzamide,-0.0013503216522238414,0.22276339503903936
3-deazaadenosine,-0.022231935165944613,0.0
"4,5,6,7-tetrabromobenzotriazole",0.03599403140939349,0.3360597195555184
5-aminolevulinic-acid,0.038347678309791876,-0.16544705270032953
A-443654,-0.036136491696022746,0.0
A-66,-0.015904217953557287,-0.20030488457241136
A-769662,0.009155026958731214,0.0
ABT-202,-0.02941604851033687,0.0
ABT-239,0.005170263373875978,0.1903868925022404
ABT-724,-0.034557781343582145,0.2754821957404735
ABT-737,0.004536583300938213,-0.28417430909510977
ACY-1215,0.015158293482628793,0.0
AEE-788,0.011999529768191816,-0.24158411246769027
AGI-5198,0.0028701319288702808,-0.25939921666931
AGI-6780,-0.05912861142101344,-0.24588383703556263
AGK-2,-0.01503367169531995,-0.21316866434763682
AGP-103,-0.0025471215976814003,-0.2759322569952748
AICA-ribonucleotide,0.012471202923014723,0.0
AKT-inhibitor-1-2,-0.027443490716963483,-0.21506680197504
ALW-II-38-3,0.03177038112411814,0.0
ALW-II-49-7,-0.01905539087632769,0.0
ALX-5407,-0.039022999650502176,0.0
AM-24,-0.015082384031336882,-0.27686566382834754
AMD-11070,-0.09555592974542924,0.0
AMG-208,0.0005816612016308086,0.0
AMG-232,0.0028636696058465015,0.0
AMG-487,0.03033961287521086,-0.3132688911678243
AMG-517,0.011705995441469521,0.0
AMG-837,0.0025694476022642084,-0.23729159274385564
AP-26113,0.025714865709390272,0.23519144114139992
APD-668,0.028681823983811635,0.0
API-001,-0.02053371207341327,-0.26520285197311433
AR-A014418,0.005375508715451862,-0.29937439623834217
ARN-509,0.009681440113672902,-0.3639610998780755
ARP-101,-0.048073200371852094,-0.19352387902468454
ARRY-334543,-0.016510282872116575,0.0
AS-601245,-0.028418928438156025,0.0
AS-605240,0.02682365556581728,0.24343910161737717
AS-703026,-0.0027781531757848864,0.0
ASA-404,-0.006378121744012537,0.0
ASC-J9,0.02674400618101592,0.0
AST-1306,-0.0026474406243044866,0.0
AT-13387,0.013918097117622923,0.0
AT-7519,-0.03781091767800653,0.0
AT-9283,-0.011474963889824248,0.0
AT7867,-0.02603385692394764,-0.2129826599699224
ATN-161,0.04042473472538111,0.0
AV-412,-0.02069884481697619,0.1986566777125833
AV-608,0.005402626994761063,-0.2874893835053382
AVL-292,0.017652700002373567,0.0
AVN-944,0.023053651055664533,0.0
AZ-20,0.04230172561472474,0.0
AZ-628,0.010777668109176654,0.0
AZD-1208,-0.03360224264140658,0.21056164214336348
AZD-1480,-0.009355873234024018,-0.2730530005797416
AZD-1981,0.07301449178592066,0.0
AZD-2014,0.042077186012678146,0.19885910230758508
AZD-3514,0.0013701072860806862,0.0
AZD-4547,0.0015432755273214619,0.0
AZD-5363,0.002151969115268922,0.0
AZD-5438,-0.042089753294236004,0.12755300678063125
AZD-6482,0.0002938112696670067,0.18625396044932566
AZD-7545,0.023121263759737453,-0.2239561138745666
AZD-7687,-0.011712843903850096,0.0
AZD-7762,-0.016905405047726803,0.17682407840149605
AZD-8055,0.04569299999202668,0.0
AZD-8330,-0.0002244162808516406,0.0
AZD-8931,-0.01669105291935233,0.0
AZD-9668,-0.06210558266430314,-0.2276648668005372
BAY-87-2243,0.05612687313699985,0.15594602633645482
BAY-K8644,0.002704655350643402,-0.25971202625145295
BCI-540,0.01995928291990361,-0.2595689200348952
BGT-226,0.059038921444309944,0.0
BI-2536,0.0008453497582126156,0.0
BIBX-1382,-0.025063207290809016,0.23409242417944173
BIIB-021,0.00995094312669463,0.2314028098384976
BIX-01294,-0.02362980399967892,0.0
BIX-01338,0.014313453488968966,0.0
BIX-02189,-0.0032226623536039944,0.0
BMS-299897,-0.023309647707802878,0.0
BMS-345541,-0.04016773874507795,-0.318597980909559
BMS-387032,-0.054711416129378077,0.0
BMS-509744,0.010454577486438155,0.23478185375780297
BMS-599626,-0.030598523718527386,0.0
