drug,pearson,cmap
10-DEBC,-0.03425205346792836,0.0
1271738-62-5,-0.04904930445996056,0.0
"16,16-dimethylprostaglandin-e2",0.05061368459931912,-0.10890299725160257
17-hydroxyprogesterone-caproate,0.010805492714652568,0.0
"2',5'-dideoxyadenosine",-0.02903998054122792,0.0
2-iminobiotin,0.0036865090017836675,-0.0988442290887786
2-methoxyestradiol,-0.030613886819657626,0.08192964391669004
"3,3'-diindolylmethane",0.024689852468350343,-0.09667096416242882
3-amino-benzamide,-0.00783237740081971,0.0
3-deazaadenosine,0.054590490711194185,-0.1145300584576956
"4,5,6,7-tetrabromobenzotriazole",0.03530423894480515,-0.10506656469290013
5-aminolevulinic-acid,-0.02775176383720315,0.0
A-443654,-0.02154606086137771,0.0
A-66,-0.0014434147754179632,0.0
A-769662,-0.014196827238385647,0.0
ABT-202,-0.000396957431302969,0.0
ABT-239,-0.019026842087175064,0.08963299745321701
ABT-724,0.02798057100808967,-0.10138621065421059
ABT-737,-0.1284092459333438,0.10468773853115658
ACY-1215,0.013557137326630712,0.0
AEE-788,0.0021414740449681694,0.08998095949902522
AGI-5198,-0.008801866928547218,0.0
AGI-6780,-0.07616303474101054,0.0
AGK-2,-0.024458779613324367,0.0
AGP-103,-0.02323240206530011,0.0
AICA-ribonucleotide,0.025144502350158474,-0.08505873753147139
AKT-inhibitor-1-2,-0.04849868434396635,0.0
ALW-II-38-3,0.007974545234414921,0.0
ALW-II-49-7,-0.11662045951030554,0.12674190287944972
ALX-5407,-0.018284714929218186,-0.08919642837451355
AM-24,0.007118003088744348,0.0
AMD-11070,-0.03071229362731794,0.0
AMG-208,0.05179832076043987,-0.1047541085975384
AMG-232,-0.01334778160520354,0.0
AMG-487,-0.04774542248070826,-0.06282074261592739
AMG-517,0.017071493873350496,0.0
AMG-837,0.0154047943223985,-0.09224369773755625
AP-26113,0.05040111495300284,0.0
APD-668,0.0321346881250456,-0.10757731769707954
API-001,-0.09269649870323622,0.0909219847234145
AR-A014418,-0.007417922900430616,0.0
ARN-509,-0.037736850600415775,0.0
ARP-101,-0.0688114824261763,0.0
ARRY-334543,0.06299021887895531,0.0
AS-601245,-0.08361492794608837,0.10408394873201568
AS-605240,0.1506758704407898,-0.12486241754543125
AS-703026,0.0588740789709063,0.0
ASA-404,0.05066665454972717,-0.1213720666165254
ASC-J9,-0.0016430771211420549,-0.06609272008029662
AST-1306,0.07899636343507363,-0.09311934513481047
AT-13387,0.061289192104758944,-0.111046075276608
AT-7519,-0.01711627803268141,0.0
AT-9283,0.021927209370214543,0.0
AT7867,-0.0329549110150833,0.0
ATN-161,-0.028524690164409557,0.06807279759522941
AV-412,-0.00909218556707481,0.0
AV-608,0.013032585024047602,-0.0847972536904375
AVL-292,0.07824058659783725,-0.09715274977547093
AVN-944,-0.0018153505489927563,0.0
AZ-20,0.030362570997192546,0.0
AZ-628,0.13216077378962396,-0.12932083846052272
AZD-1208,-0.011275970104485653,0.0
AZD-1480,0.043236770991362417,0.0
AZD-1981,-0.030886836998067824,0.0
AZD-2014,0.03801273888529339,0.0
AZD-3514,0.028813392292629237,0.0
AZD-4547,0.06755392930413355,0.0
AZD-5363,-0.0008853555889298841,0.0
AZD-5438,0.004737127511274933,0.0
AZD-6482,0.07645071760269699,-0.15230318124267805
AZD-7545,0.02807772206809717,-0.12112785718066929
AZD-7687,-0.000340884642079163,0.0
AZD-7762,-0.0006944810462918879,0.0
AZD-8055,-0.030254865439718576,0.0
AZD-8330,0.1316182619266976,0.0
AZD-8931,0.08483161834924285,0.0
AZD-9668,-0.04585482813842972,0.0
BAY-87-2243,-0.03622532293049751,0.0
BAY-K8644,0.021765751050485196,-0.08915131044360458
BCI-540,0.03736597106698581,0.0
BGT-226,0.021786378453731443,-0.0939521385298775
BI-2536,-0.029004192386589304,0.11160373564755388
BIBX-1382,0.09674451609783233,-0.13164088063992016
BIIB-021,0.05924221625947422,-0.11855832418787318
BIX-01294,-0.07074542707685115,0.12201422239556471
