gene,score_dn,adj_p_dn,score_up,adj_p_up,reversal_score,druggable,in_ipf_consensus,in_scrna_AT1_up,priority_score
SAMHD1,289.1973304191797,2.4166774977802617e-09,391.61221666185446,1.3030164267794589e-11,336.53113915081576,False,False,False,0.9999999999970285
FNIP1,135.2844893143447,1.6987675442691034e-06,749.9281491360563,4.768524219125396e-16,318.5178906722872,False,False,False,0.9464737541823658
LIPT1,168.60480612595586,3.8215919129239017e-07,594.6395133791995,2.4939845575183413e-14,316.63714227508535,False,False,False,0.9408851230621015
TMEM255A,199.9475632298851,7.73556394509305e-08,402.59423886171885,1.3030164267794589e-11,283.72123119497246,False,False,False,0.8430757162919782
PILRA,168.60480612595586,3.8215919129239017e-07,455.11287566047486,2.379559067022927e-12,277.00941891235504,False,False,False,0.8231316115665324
DGKQ,199.9475632298851,7.73556394509305e-08,381.0813803803011,1.4112711805306782e-11,276.03676095643885,False,False,False,0.8202413650402595
PRKAR2A,244.32295261342014,1.2548868185474397e-08,287.1929479696555,4.732664965084266e-10,264.892108258624,False,False,False,0.7871251050534316
DMPK,329.9034415872092,4.55939928375597e-10,198.55531554622817,1.677174764040973e-08,255.93765245491915,False,False,False,0.7605170002989253
SDSL,140.26084414738136,1.6987675442691034e-06,442.8873266429917,2.379559067022927e-12,249.23834034338105,False,False,False,0.7406100397471533
CCDC121,289.1973304191797,2.4166774977802617e-09,207.1316191822833,1.6517124203207315e-08,244.74866968569714,False,False,False,0.7272690138052462
HSP90AB1,111.4983207911654,7.1991198072225475e-06,507.82767147977194,3.164494409086092e-13,237.95363544455918,False,False,False,0.7070776155938832
GNAI2,246.04614294819183,1.2548868185474397e-08,205.66437510020444,1.6517124203207315e-08,224.95094184122777,False,False,False,0.6684401996444912
GABRA3,204.2125686963534,7.711588221255267e-08,244.32295261342014,2.7997116691426424e-09,223.36924082035995,False,False,False,0.6637401857769653
REG1A,205.66437510020444,7.711588221255267e-08,239.26061617873674,2.7997116691426424e-09,221.82737683272944,False,False,False,0.6591585473838092
CA7,240.93044717938946,1.2548868185474397e-08,199.9475632298851,1.6517124203207315e-08,219.48452296552819,False,False,False,0.6521967729901941
COX7C,285.2094649834202,2.4166774977802617e-09,166.22334057701454,9.111620462943031e-08,217.73486177855665,False,False,False,0.6469976666270166
SFXN1,168.60480612595586,3.8215919129239017e-07,279.38143194101355,4.953768603319662e-10,217.03698340975558,False,False,False,0.6449239257822319
CMTM2,166.22334057701454,3.8215919129239017e-07,283.24658060513605,4.732664965084266e-10,216.98431472159993,False,False,False,0.6447674211322064
PLCD1,334.4552446912695,4.55939928375597e-10,135.2844893143447,5.034234341393317e-07,212.71249840233318,False,False,False,0.6320737478809485
NDUFC1,109.07877334887964,7.1991198072225475e-06,391.61221666185446,1.3030164267794589e-11,206.6798979627936,False,False,False,0.614147916545566
