gene,score_dn,adj_p_dn,score_up,adj_p_up,reversal_score
SAMHD1,289.1973304191797,2.4166774977802617e-09,391.61221666185446,1.3030164267794589e-11,336.53113915081576
FNIP1,135.2844893143447,1.6987675442691034e-06,749.9281491360563,4.768524219125396e-16,318.5178906722872
LIPT1,168.60480612595586,3.8215919129239017e-07,594.6395133791995,2.4939845575183413e-14,316.63714227508535
TMEM255A,199.9475632298851,7.73556394509305e-08,402.59423886171885,1.3030164267794589e-11,283.72123119497246
PILRA,168.60480612595586,3.8215919129239017e-07,455.11287566047486,2.379559067022927e-12,277.00941891235504
DGKQ,199.9475632298851,7.73556394509305e-08,381.0813803803011,1.4112711805306782e-11,276.03676095643885
PRKAR2A,244.32295261342014,1.2548868185474397e-08,287.1929479696555,4.732664965084266e-10,264.892108258624
DMPK,329.9034415872092,4.55939928375597e-10,198.55531554622817,1.677174764040973e-08,255.93765245491915
SDSL,140.26084414738136,1.6987675442691034e-06,442.8873266429917,2.379559067022927e-12,249.23834034338105
CCDC121,289.1973304191797,2.4166774977802617e-09,207.1316191822833,1.6517124203207315e-08,244.74866968569714
HSP90AB1,111.4983207911654,7.1991198072225475e-06,507.82767147977194,3.164494409086092e-13,237.95363544455918
GNAI2,246.04614294819183,1.2548868185474397e-08,205.66437510020444,1.6517124203207315e-08,224.95094184122777
GABRA3,204.2125686963534,7.711588221255267e-08,244.32295261342014,2.7997116691426424e-09,223.36924082035995
REG1A,205.66437510020444,7.711588221255267e-08,239.26061617873674,2.7997116691426424e-09,221.82737683272944
CA7,240.93044717938946,1.2548868185474397e-08,199.9475632298851,1.6517124203207315e-08,219.48452296552819
COX7C,285.2094649834202,2.4166774977802617e-09,166.22334057701454,9.111620462943031e-08,217.73486177855665
SFXN1,168.60480612595586,3.8215919129239017e-07,279.38143194101355,4.953768603319662e-10,217.03698340975558
CMTM2,166.22334057701454,3.8215919129239017e-07,283.24658060513605,4.732664965084266e-10,216.98431472159993
PLCD1,334.4552446912695,4.55939928375597e-10,135.2844893143447,5.034234341393317e-07,212.71249840233318
NDUFC1,109.07877334887964,7.1991198072225475e-06,391.61221666185446,1.3030164267794589e-11,206.6798979627936
ATP50,107.50784281550115,7.1991198072225475e-06,394.3143898637726,1.3030164267794589e-11,205.89290771020916
NQO1,391.61221666185446,9.436891603989228e-11,106.73464837195932,2.6814624934392762e-06,204.44704019272714
TXNRD1,386.2920309867758,9.436891603989228e-11,107.50784281550115,2.662351658289678e-06,203.78769086529
NKRF,168.60480612595586,3.8215919129239017e-07,246.04614294819183,2.7997116691426424e-09,203.6775938335366
S100Z,88.20322386801541,3.093003200604204e-05,464.6257746659139,2.225739960096546e-12,202.43885797372917
PPARA,169.81448712841754,3.8215919129239017e-07,240.93044717938946,2.7997116691426424e-09,202.2708093655343
C22ORF34,167.40781813443743,3.8215919129239017e-07,242.617807477313,2.7997116691426424e-09,201.5344084525964
SLC12A5,165.05119423989666,3.8215919129239017e-07,239.26061617873674,2.7997116691426424e-09,198.72153993685245
SPG7,242.617807477313,1.2548868185474397e-08,161.60699928423097,9.816426462327075e-08,198.0119588290763
TSPAN2,197.1774295549428,8.122796774589603e-08,197.1774295549428,1.718488559466313e-08,197.1774295549428
WNT1,85.62061356445105,3.093003200604204e-05,452.0083405974283,2.379559067022927e-12,196.72628563107975
TMEM158,281.3039995425582,2.4166774977802617e-09,133.36614465234138,5.037454878687972e-07,193.69158446942134
CDK12,109.07877334887964,7.1991198072225475e-06,336.76698710476654,7.908496816395706e-11,191.6614981100427
FES,111.4983207911654,7.1991198072225475e-06,327.662697497185,7.908496816395706e-11,191.1382760120006
WNK2,109.876746878485,7.1991198072225475e-06,329.9034415872092,7.908496816395706e-11,190.39095815090286
PCSK1,210.11333484378792,7.682142039394561e-08,163.89120319509445,9.176082057799839e-08,185.56865913963534
GPX2,167.40781813443743,3.8215919129239017e-07,202.7759766782662,1.6517124203207315e-08,184.24517314108425
SLAMF1,202.7759766782662,7.711588221255267e-08,167.40781813443743,9.111620462943031e-08,184.24517314108425
HIPK4,202.7759766782662,7.711588221255267e-08,167.40781813443743,9.111620462943031e-08,184.24517314108425
BYSL,166.22334057701454,3.8215919129239017e-07,201.35437989108564,1.6517124203207315e-08,182.94752708170037
VPS37B,240.93044717938946,1.2548868185474397e-08,135.2844893143447,5.034234341393317e-07,180.5385069921107
GYPB,240.93044717938946,1.2548868185474397e-08,135.2844893143447,5.034234341393317e-07,180.5385069921107
DDR2,165.05119423989666,3.8215919129239017e-07,195.81370175673095,1.7934390979412308e-08,179.7756527549918
MMP9,110.68322124491725,7.1991198072225475e-06,283.24658060513605,4.732664965084266e-10,177.06113053966575
GSS,109.07877334887964,7.1991198072225475e-06,287.1929479696555,4.732664965084266e-10,176.99337411038482
ALOX15,47.42530654144766,0.0004583105532042478,656.0577858383418,3.4874197559080982e-15,176.39087732160863
ITGAD,108.2891785991164,7.1991198072225475e-06,287.1929479696555,4.732664965084266e-10,176.3516045719255
TSLP,279.38143194101355,2.474268293275937e-09,108.2891785991164,2.662351658289678e-06,173.93672924583035
CA10,106.73464837195932,7.1991198072225475e-06,281.3039995425582,4.87912460418548e-10,173.27689827787418
WDR4,85.62061356445105,3.093003200604204e-05,336.76698710476654,7.908496816395706e-11,169.80634871571112
SYNPO2,167.40781813443743,3.8215919129239017e-07,167.40781813443743,9.111620462943031e-08,167.40781813443743
IDH1,84.36987878021648,3.093003200604204e-05,332.16751114739407,7.908496816395706e-11,167.4064892715687
ACTA1,113.99664944507805,7.1991198072225475e-06,242.617807477313,2.7997116691426424e-09,166.30579409065905
SLC25A37,167.40781813443743,3.8215919129239017e-07,165.05119423989666,9.111620462943031e-08,166.2253299235238
CHUK,202.7759766782662,7.711588221255267e-08,136.25883457457545,5.034234341393317e-07,166.2227970583513
XPOT,136.25883457457545,1.6987675442691034e-06,202.7759766782662,1.6517124203207315e-08,166.2227970583513
NRP1,202.7759766782662,7.711588221255267e-08,135.2844893143447,5.034234341393317e-07,165.62742662414556
BPIFA3,161.60699928423097,4.069514342710622e-07,168.60480612595586,9.111620462943031e-08,165.06882438218082
CYP21A2,83.14516955141458,3.135220422119175e-05,327.662697497185,7.908496816395706e-11,165.05626476773705
VKORC1L1,134.32030762365395,1.6987675442691034e-06,202.7759766782662,1.6517124203207315e-08,165.03615230037204
S1PR1,136.25883457457545,1.6987675442691034e-06,198.55531554622817,1.677174764040973e-08,164.4837861155808
TAS1R2,162.74319473302356,3.9152017631564175e-07,165.05119423989666,9.111620462943031e-08,163.89313178135805
ZG16,134.32030762365395,1.6987675442691034e-06,199.9475632298851,1.6517124203207315e-08,163.8811099597454
RRAS2,109.876746878485,7.1991198072225475e-06,244.32295261342014,2.7997116691426424e-09,163.84569332426423
ALDH3B2,133.36614465234138,1.6987675442691034e-06,198.55531554622817,1.677174764040973e-08,162.72847610246203
IRF7,197.1774295549428,8.122796774589603e-08,132.42185819135395,5.13306537247104e-07,161.5877520576987
ABHD2,66.13467868968416,0.00012443682497553899,394.3143898637726,1.3030164267794589e-11,161.48639409052223
NPTX2,394.3143898637726,9.436891603989228e-11,66.13467868968416,6.12915892724042e-05,161.48639409052223
NPY2R,145.51059048006147,1.6987675442691034e-06,178.6537383396241,7.89519184946729e-08,161.23278499507816
HTR5A,195.81370175673095,8.482857286892007e-08,131.48730861585113,5.34907528219705e-07,160.45876926519009
FCN3,106.73464837195932,7.1991198072225475e-06,240.93044717938946,2.7997116691426424e-09,160.3609259195988
KCNE3,87.54718146778751,3.093003200604204e-05,293.2700257110071,4.732664965084266e-10,160.23409175323536
ITGB1,64.66446989952124,0.00012443682497553899,394.3143898637726,1.3030164267794589e-11,159.6813420356117
GRM5,88.86636309063813,3.093003200604204e-05,283.24658060513605,4.732664965084266e-10,158.65400554741038
ADRA1A,63.70993588448946,0.00012547179145470168,388.938232884319,1.3030164267794589e-11,157.41419847042576
PRKACB,84.99194620357753,3.093003200604204e-05,285.2094649834202,4.732664965084266e-10,155.6936334749176
PRKAG2,84.99194620357753,3.093003200604204e-05,285.2094649834202,4.732664965084266e-10,155.6936334749176
MAP3K10,37.131708634514915,0.0016209275223648388,651.6943604903688,3.4874197559080982e-15,155.55875132079487
MTA2,84.99194620357753,3.093003200604204e-05,283.24658060513605,4.732664965084266e-10,155.15694680271008
