"","gene_id","log2FoldChange","stat","pvalue","padj","dataset"
"51181","51181",-1.2152125,-15.4340498546938,2.22152090702313e-20,9.10823571879485e-16,"GSE53845"
"64344","64344",-1.082675,-14.2791034609155,4.99904683414778e-19,6.8320306733353e-15,"GSE53845"
"5409","5409",-3.9659425,-13.6118545773998,3.24897044279504e-18,2.22012980257661e-14,"GSE53845"
"131870","131870",-1.1995425,-13.1366196060969,1.27436170797538e-17,6.5311037533738e-14,"GSE53845"
"6363","6363",3.520365,12.6976843571126,4.61847434822581e-17,1.89357448277258e-13,"GSE53845"
"80326","80326",2.4650625,12.5213458294586,7.80114694421923e-17,2.46036172856145e-13,"GSE53845"
"2330","2330",-1.78055,-12.5382084008246,7.41845430874611e-17,2.46036172856145e-13,"GSE53845"
"4128","4128",-1.8298275,-12.5296692340024,7.6098083702958e-17,2.46036172856145e-13,"GSE53845"
"23731","23731",-0.876125,-12.4002000911831,1.12089668779056e-16,3.23553701468322e-13,"GSE53845"
"11170","11170",-1.7908325,-12.3820232396681,1.1837330541524e-16,3.23553701468322e-13,"GSE53845"
"4047","4047",-1.067035,-12.3289051468098,1.38861979791809e-16,3.5583382321651e-13,"GSE53845"
"8515","8515",-0.6913375,-11.9493926119863,4.39051293067288e-16,1.00006127865327e-12,"GSE53845"
"153579","153579",-2.1552825,-11.9230333381695,4.75924518294004e-16,1.02699501316075e-12,"GSE53845"
"9588","9588",-0.747947500000001,-11.8867965755099,5.31800140310513e-16,1.09019028763655e-12,"GSE53845"
"55301","55301",-0.828562500000001,-11.6156329531718,1.22701473981267e-15,2.2867092878327e-12,"GSE53845"
"4192","4192",1.96007,11.5587761057704,1.4638846041784e-15,2.50080286547143e-12,"GSE53845"
"9547","9547",3.95837,11.4244654326036,2.22489785432445e-15,3.3785485936038e-12,"GSE53845"
"9185","9185",-1.020995,-11.3840788559126,2.5244974324257e-15,3.69658552605192e-12,"GSE53845"
"23362","23362",1.1816875,11.2693631468214,3.61836800320986e-15,5.11562372867601e-12,"GSE53845"
"84940","84940",-1.6175225,-11.2386168241184,3.98602100461132e-15,5.44756203963547e-12,"GSE53845"
"117283","117283",-1.189825,-11.0531660574721,7.16386678536793e-15,9.47479155484146e-12,"GSE53845"
"1001","1001",2.2810275,11.0402784998245,7.4629767916945e-15,9.5515110554087e-12,"GSE53845"
"64757","64757",-1.0758,-11.0255532796423,7.8202575216657e-15,9.5515110554087e-12,"GSE53845"
"54621","54621",-1.49641,-11.0215335478923,7.92076526546087e-15,9.5515110554087e-12,"GSE53845"
"256435","256435",-1.4389525,-10.9532509161989,9.84270912371532e-15,1.15300306877808e-11,"GSE53845"
"79602","79602",-1.441185,-10.8841122905611,1.22717893391572e-14,1.39762045251513e-11,"GSE53845"
"51090","51090",-1.60167,-10.8421058880708,1.40358184147795e-14,1.55532041893502e-11,"GSE53845"
"875","875",-0.931857500000001,-10.8109092166676,1.5510301051162e-14,1.67347985025695e-11,"GSE53845"
"5028","5028",-1.6902375,-10.784615526267,1.68743165230654e-14,1.77396660883508e-11,"GSE53845"
"56922","56922",-1.2500775,-10.7596009997825,1.82846482332062e-14,1.87417644390364e-11,"GSE53845"
"7850","7850",-2.291795,-10.6416359424744,2.67267588932372e-14,2.67267588932372e-11,"GSE53845"
"56998","56998",-1.2418675,-10.5747790950525,3.31679501904292e-14,3.16252548327348e-11,"GSE53845"
"64168","64168",-2.218055,-10.5779198387346,3.28328075081702e-14,3.16252548327348e-11,"GSE53845"
"1910","1910",-2.28019,-10.548709201212,3.60869232483695e-14,3.3626451208708e-11,"GSE53845"
"10537","10537",4.2168275,10.5390941052462,3.72279834666185e-14,3.39188293806968e-11,"GSE53845"
"6387","6387",2.0210525,10.5263706098187,3.87942687864769e-14,3.45775004401207e-11,"GSE53845"
"6247","6247",-1.3738525,-10.5090388286467,4.10357351502352e-14,3.57971306629711e-11,"GSE53845"
