entrez,probe,log2FC,t_stat,se,pvalue,padj,n_uc,n_ctrl
1,229819_at,0.02416909080161922,1.0398371446255508,0.019304022333481424,0.3067239379918284,0.7473320547996086,19,13
2,217757_at,0.6219768179473686,2.4039908625314323,0.23874721338175336,0.022599754390095157,0.15764755948946832,19,13
3,236394_at,-0.00629710225506086,-0.6902151681644233,0.009362682653850034,0.4953643897478524,0.8942571575029672,19,13
9,214440_at,-0.2039748123805687,-1.4154075192104976,0.1291280665542926,0.16724696392214686,0.5567283442280647,19,13
10,206797_at,-0.745027271206478,-2.9129592888051024,0.22206726590515286,0.006700720531378816,0.07069027454134236,19,13
12,202376_at,2.1639069474412946,2.7815431761797296,0.6403640648307527,0.009261268528204863,0.0871681626406612,19,13
13,205969_at,0.17813736589878504,0.8393701822473751,0.17474502225630204,0.4079008469972052,0.8386245287531918,19,13
14,201511_at,-0.04921498570445415,-0.46070669359961575,0.11262813311380918,0.6483314714746317,0.9640338102495372,19,13
15,207225_at,0.010507039720648148,0.9721676314021896,0.009714315963186507,0.33874089809505087,0.7799598010151831,19,13
16,201000_at,0.6853641199959508,3.9822372665745904,0.1571039737075527,0.0004009397130878253,0.011340599489434479,19,13
18,209459_s_at,-1.6540143747530376,-4.870095025355046,0.29806219587015154,3.3613619533801415e-05,0.0028101294312088566,19,13
19,203504_s_at,-0.2018739364048594,-0.8729990276188955,0.1999905766066923,0.389597926390378,0.8228268973344601,19,13
20,212772_s_at,-0.13112317396761108,-1.7124311429818286,0.07986562320876812,0.09713690820029104,0.40372181344362695,19,13
21,204343_at,0.00734055796761135,0.430789165550544,0.016443077910218273,0.6697011439752282,0.9723364474577167,19,13
22,209620_s_at,-0.3392587978016204,-3.12571343616896,0.11238592290668173,0.003918785228874468,0.048928883852183504,19,13
23,200045_at,0.23780119015384749,2.5965373956823825,0.08962202457029667,0.014445179595912684,0.11732685753859408,19,13
24,210082_at,0.0007727654453435484,0.12859347848890504,0.005973021151123166,0.8985375529193985,0.9996525187900612,19,13
25,202123_s_at,-0.2934281306842079,-2.2416293802605582,0.12520883779050282,0.03253503310540803,0.2006375970040812,19,13
26,203559_s_at,-0.7948432485425112,-3.774024560077292,0.18549908761457645,0.0007077298311303597,0.01605606992408814,19,13
27,226893_at,0.18786375746558726,1.4491654773644733,0.11846610900943202,0.1576648468142174,0.5393088194546949,19,13
28,216929_x_at,-0.40568772940485953,-1.5954993819650174,0.2604899439997982,0.12108274449130352,0.46245261305509644,19,13
29,214671_s_at,-0.2808244074817816,-2.2821987043204697,0.12488733559436282,0.02973848752098275,0.18874846634514306,19,13
30,214274_s_at,-0.5478645940971649,-3.6540578268735424,0.13858713272462378,0.0009784681291310716,0.01966828858832402,19,13
31,212186_at,0.4875608724251004,3.1125830476154035,0.16519752522543577,0.004052387247666071,0.04995812238244474,19,13
32,49452_at,-0.7879840373441276,-3.5326820204516602,0.20920843014574353,0.0013539008338262642,0.02431018984875238,19,13
33,206069_s_at,-0.004245199404858457,-0.3410539533985914,0.013843352999008747,0.7354401063887529,0.9884627242180629,19,13
34,202502_at,-0.9785415693724673,-5.719292467672519,0.15016370786191602,3.0627856366304713e-06,0.001014698477124986,19,13
35,202366_at,-1.1516586315627526,-4.025839320124828,0.24626169352566427,0.00035565242621619903,0.010591120045408868,19,13
36,226030_at,-0.7662772479068822,-3.3477226642420055,0.20077872363754456,0.002206463590164588,0.03316975441084653,19,13
37,200710_at,-0.08563103574898889,-0.6604312283140754,0.11732513469707789,0.5140166718198538,0.9053336331614442,19,13
38,205412_at,-0.9437537764048614,-4.81383902889327,0.1638067530037577,3.939195052776091e-05,0.003033068523355738,19,13
39,209608_s_at,-0.09564979591498002,-0.6141734579851736,0.15821402282899352,0.5437306301598537,0.920585644071161,19,13
40,206690_at,-0.036641996963562296,-1.8844021407739158,0.02218673988804205,0.06923293356828134,0.3270809109361206,19,13
41,205156_s_at,-0.0022794837530368817,-0.45518698944604424,0.005209284219884533,0.6522519909714746,0.9654225697751562,19,13
43,210332_at,-0.058549382412955264,-0.9669604858238084,0.07032555356884947,0.3412949171579529,0.7817333839131407,19,13
47,201128_s_at,0.4153422443441279,4.947047429262712,0.08490872231678333,2.7053009705037907e-05,0.002520461511804122,19,13
48,207071_s_at,0.14077184847773339,0.992658984056562,0.14400360909624285,0.3288156687605396,0.7706518593250811,19,13
49,207427_at,-0.029061486295545613,-1.3367070134316508,0.025578542495217897,0.19136778683646916,0.5965921852710657,19,13
50,200793_s_at,-0.39940714797571,-2.988795859964822,0.11797657700923761,0.005543917300465155,0.06205159705727845,19,13
51,227962_at,-1.5867630839514195,-4.538085486849613,0.30745166695323783,8.555346641339189e-05,0.004613053033680672,19,13
52,215227_x_at,-0.09701275325505776,-0.8975006321877718,0.10099751776755202,0.3765983764919508,0.8124735127923849,19,13
53,202767_at,-0.26388620723076706,-1.9814116956023988,0.11669556345657289,0.05677476193844447,0.28771623806755064,19,13
54,204638_at,0.5103185825587042,1.66696265865445,0.30466741492335997,0.10592995024222907,0.4266774738097741,19,13
55,204393_s_at,1.184782746603239,3.595401432849235,0.2773491259626097,0.0011451880142652516,0.02174823017712839,19,13
56,207990_x_at,0.008519016736841412,0.7367694983275899,0.01022708477560612,0.4669855968339498,0.8785802777032963,19,13
58,203872_at,-0.018964808566802382,-0.7916580636615541,0.028298786049511943,0.43477519934539216,0.8567546840223764,19,13
59,200974_at,0.6011596879757075,1.342342555832033,0.43555170831993967,0.18955553741154665,0.5936164160591278,19,13
60,213867_x_at,0.15119418825910635,3.1701468838787155,0.04612409336619537,0.0034971525573547976,0.045449131777490784,19,13
