drug,vae_ra_score,vae_ra_rank
linifanib,0.50655323,1
SB-525334,0.4703269,2
PD-173074,0.44335794,3
VE-822,0.43155056,4
arglabin,0.43027967,5
IPI-145,0.42640978,6
dipraglurant,0.4255904,7
gefitinib,0.4137775,8
nefiracetam,0.41257542,9
exifone,0.40833098,10
amuvatinib,0.39989606,11
raloxifene,0.3982808,12
imatinib,0.39547247,13
resveratrol,0.38916242,14
NVP-BHG712,0.3845932,15
regorafenib,0.38405535,16
fidarestat,0.37447518,17
nilotinib,0.37348598,18
compound e,0.3703351,19
BMS-345541,0.36852723,20
YM-201636,0.3651068,21
STA-5326,0.36506814,22
ALW-II-49-7,0.36082023,23
GSK-1904529A,0.36070192,24
rebastinib,0.35263264,25
D-4476,0.35256058,26
afatinib,0.3493924,27
unc-0646,0.34916657,28
flavoxate,0.342632,29
iniparib,0.34162745,30
miglitol,0.34007168,31
lapatinib,0.33947942,32
AMG-232,0.3383118,33
vu0155056,0.33822694,34
delivert,0.33356023,35
QL-XI-92,0.3323167,36
benazepril,0.33099356,37
daminozide,0.32910064,38
GSK-3-inhibitor-II,0.3270068,39
CC-930,0.32128233,40
tranylcypromine,0.32104903,41
KU-55933,0.31681678,42
telotristat,0.3140851,43
AZ-628,0.31379998,44
bafilomycin a1,0.31233752,45
timofibrate,0.31091735,46
clemizole,0.30874962,47
ALW-II-38-3,0.3049983,48
BIX-02189,0.30284807,49
nintedanib,0.30269733,50
CGK-733,0.30215925,51
faropenem,0.30192238,52
preladenant,0.29887736,53
TAK-715,0.29874152,54
FR-180204,0.29824543,55
AGI-6780,0.2957067,56
dapagliflozin,0.292022,57
SDZ-NKT-343,0.2910297,58
veliparib,0.28999296,59
NPK76-II-72-1,0.288498,60
SAR-245409,0.28307387,61
YM-976,0.28157133,62
triptorelin,0.2815539,63
ciprofloxacin,0.28128523,64
eperezolid,0.28097528,65
cordycepin,0.27854794,66
exalamide,0.27737984,67
UNC-669,0.2769872,68
donepezil,0.27582788,69
cinoxacin,0.27281278,70
GSK-690693,0.27263647,71
hymecromone,0.27157974,72
losmapimod,0.26972586,73
A-66,0.26882812,74
GSK-2636771,0.26637727,75
KU-60019,0.2661573,76
milacemide,0.2656084,77
guanethidine,0.2649544,78
WZ-4-145,0.26491016,79
rilpivirine,0.2619542,80
VE-821,0.26132116,81
bms-906024,0.26059532,82
UK-383367,0.26008862,83
RU-58841,0.2597841,84
garcinol,0.255887,85
mestranol,0.25461704,86
pentamidine,0.2533802,87
febuxostat,0.25226918,88
pomalidomide,0.24965376,89
GNF-2,0.24953808,90
zonisamide,0.24911553,91
serdemetan,0.24834187,92
AGK-2,0.2480438,93
lenalidomide,0.24787593,94
chlorphenamine,0.24639209,95
MK-2206,0.2459227,96
clofibrate,0.24440655,97
tie2-kinase-inhibitor,0.2442913,98
orlistat,0.24387836,99
ketotifen,0.24183655,100
propranolol,0.24182627,101
bitopertin,0.23997709,102
latanoprost,0.23788112,103
idebenone,0.23771998,104
bupropion,0.23754269,105
deferiprone,0.23740926,106
OSI-930,0.23643924,107
gemfibrozil,0.23631573,108
EMD-53998,0.23591149,109
methazolamide,0.23587383,110
ABT-202,0.23568791,111
SB-242235,0.23553178,112
epigallocatechin-gallate-(-),0.23498398,113
irbesartan,0.23421958,114
amlexanox,0.23369783,115
epz-5676,0.23297924,116
doramapimod,0.23256415,117
LY-2334737,0.23117736,118
dronedarone,0.22992471,119
lisofylline,0.22965688,120
SB-590885,0.22948574,121
luteolin,0.22945566,122
lorazepam,0.2293439,123
ponatinib,0.22914541,124
BIX-01338,0.22783677,125
dinaciclib,0.2278043,126
PSI-7976,0.22745228,127
ingenol-mebutate,0.22579013,128
CEP-32496,0.22551593,129
doxazosin,0.22511733,130
quizartinib,0.2242856,131
berberine,0.22208114,132
amodiaquine,0.22205254,133
ABT-737,0.22055456,134
GSK-461364,0.22044721,135
JTE-907,0.22033377,136
FPL-62064,0.21760654,137
moxonidine,0.2175324,138
maraviroc,0.2175076,139
colchicine,0.21746731,140
gsk126,0.21654043,141
KIN001-266,0.21647379,142
GDC-0834,0.21632414,143
bicalutamide,0.2152496,144
dacomitinib,0.21518105,145
formoterol,0.21461582,146
thiomersal,0.21287534,147
glipizide,0.2123997,148
orphenadrine,0.2102214,149
laropiprant,0.20999297,150
tonabersat,0.20988002,151
vardenafil,0.2093355,152
troglitazone,0.20930795,153
methoxsalen,0.20925629,154
cevimeline,0.20903787,155
aliskiren,0.20900336,156
API-001,0.20802666,157
ixazomib-citrate,0.20744713,158
tyrphostin-AG-1478,0.207104,159
acyclovir,0.20506114,160
GSK-J4,0.2046048,161
foretinib,0.20378508,162
amoxapine,0.20376001,163
RG-4733,0.20233116,164
imipramine,0.20231348,165
A-769662,0.20122506,166
telmesteine,0.20119333,167
OSI-027,0.19919872,168
MBX-2982,0.19854142,169
etazolate,0.19853976,170
valproic-acid,0.19821076,171
MK-0812,0.1972871,172
PF-04217903,0.19686954,173
chelerythrine,0.19642441,174
GSK-923295,0.19559063,175
GSK-429286A,0.19483684,176
nicotinamide,0.1935711,177
meisoindigo,0.193184,178
fusidic-acid,0.19301198,179
lorcaserin,0.19291699,180
canertinib,0.19267173,181
diethylstilbestrol,0.19256735,182
phorbol-myristate-acetate,0.1924701,183
methylstat,0.19176657,184
anecortave-acetate,0.19099614,185
verteporfin,0.19024298,186
talmapimod,0.18992472,187
thiocolchicoside,0.18981607,188
dicloxacillin,0.18883617,189
AR-A014418,0.18781766,190
LY-2228820,0.1868213,191
nicotine,0.18666044,192
rimonabant,0.18444134,193
ketoprofen,0.18430576,194
toremifene,0.1842651,195
nafamostat,0.1840741,196
trimethobenzamide,0.1837418,197
abiraterone-acetate,0.1832114,198
KIN001-127,0.18309784,199
dapivirine,0.18305585,200
AEE-788,0.18281531,201
olaparib,0.18225455,202
KI-20227,0.18211117,203
