drug,vae_score,vae_rank
daunorubicin,0.36071813,1
AT-9283,0.3578708,2
AZD-4547,0.322005,3
barasertib-HQPA,0.31783652,4
mitomycin-c,0.3136699,5
temsirolimus,0.31158108,6
everolimus,0.3092328,7
WZ-3105,0.30065912,8
sirolimus,0.2938574,9
epirubicin,0.28892168,10
cediranib,0.28644168,11
ingenol-mebutate,0.28541696,12
SN-38,0.27911106,13
phorbol-myristate-acetate,0.2771736,14
KIN001-266,0.27358952,15
cobimetinib,0.27060983,16
dovitinib,0.2673207,17
XMD-16144,0.26692528,18
okadaic acid,0.2625069,19
camptothecin,0.26199558,20
aurora-a-inhibitor-i,0.2611356,21
tozasertib,0.25562188,22
altrenogest,0.255149,23
niclosamide,0.24665329,24
volasertib,0.24492896,25
etoposide,0.23791504,26
mitoxantrone,0.236242,27
PF-431396,0.23526092,28
doxorubicin,0.23492292,29
BI-2536,0.23280975,30
chelerythrine,0.23180498,31
BS-181,0.22638915,32
foretinib,0.22636901,33
darapladib,0.22550847,34
palbociclib,0.2230235,35
NVP-AEW541,0.22089311,36
PF-03814735,0.2179209,37
pevonedistat,0.21769762,38
gemcitabine,0.21686898,39
ENMD-2076,0.21574697,40
alisertib,0.2139558,41
PF-477736,0.21137857,42
PHA-665752,0.20813884,43
NMS-1286937,0.20678507,44
LGX-818,0.20539609,45
PF-562271,0.2051727,46
digoxin,0.20375322,47
rigosertib,0.20283286,48
adarotene,0.20274764,49
JQ1-(+),0.2023335,50
macitentan,0.20004366,51
BMS-345541,0.2000009,52
AS-703026,0.19943246,53
dinaciclib,0.19339024,54
brequinar,0.18862897,55
PHA-793887,0.18714482,56
crizotinib,0.18636878,57
XMD-1150,0.18279396,58
mubritinib,0.18254037,59
flutamide,0.18239933,60
MLN-8054,0.18147646,61
WZ-4002,0.1812019,62
mepacrine,0.17399012,63
tyrphostin-AG-1478,0.173896,64
meclofenamic-acid,0.17329773,65
tivantinib,0.17283615,66
smer-3,0.17229962,67
valrubicin,0.17149934,68
TAK-733,0.17066751,69
BX-912,0.1691754,70
meisoindigo,0.16789438,71
quizartinib,0.16782868,72
