pert_iname,n_signatures,n_cell_lines,cell_lines
10-DEBC,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
1271738-62-5,15,5,A375|A549|MCF7|NPC.TAK|PC3
"16,16-dimethylprostaglandin-e2",42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
17-hydroxyprogesterone-caproate,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
"2',5'-dideoxyadenosine",42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
2-iminobiotin,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
2-methoxyestradiol,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
"3,3'-diindolylmethane",42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
3-amino-benzamide,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
3-deazaadenosine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
"4,5,6,7-tetrabromobenzotriazole",15,5,A375|A549|MCF7|NPC.TAK|PC3
5-aminolevulinic-acid,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
A-443654,132,15,A375|A549|BT20|HA1E|HCC515|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3
A-66,132,22,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
A-769662,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
ABT-202,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ABT-239,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ABT-724,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ABT-737,155,21,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
ACY-1215,156,21,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
AEE-788,38,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AGI-5198,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AGI-6780,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AGK-2,113,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
AGP-103,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AICA-ribonucleotide,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AKT-inhibitor-1-2,156,15,A375|A549|BT20|HA1E|HCC515|HELA|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3|YAPC
ALW-II-38-3,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
ALW-II-49-7,132,22,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
ALX-5407,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AM-24,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AMD-11070,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AMG-208,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AMG-232,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AMG-487,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AMG-517,41,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AMG-837,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AP-26113,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
APD-668,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
API-001,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AR-A014418,6,2,A375|NPC
ARN-509,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ARP-101,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ARRY-334543,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AS-601245,112,13,A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3
AS-605240,180,17,A375|A549|BT20|HA1E|HCC515|HELA|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3|YAPC
AS-703026,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ASA-404,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ASC-J9,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AST-1306,132,22,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
AT-13387,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AT-7519,180,17,A375|A549|BT20|HA1E|HCC515|HELA|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3|YAPC
AT-9283,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AT7867,132,22,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
ATN-161,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AV-412,40,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AV-608,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AVL-292,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AVN-944,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AZ-20,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
AZ-628,174,24,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
AZD-1208,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AZD-1480,156,21,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
AZD-1981,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AZD-2014,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AZD-3514,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AZD-4547,172,24,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
AZD-5363,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AZD-5438,179,17,A375|A549|BT20|HA1E|HCC515|HELA|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3|YAPC
AZD-6482,114,13,A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3
AZD-7545,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AZD-7687,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AZD-7762,293,27,A375|A549|ASC|ASC.C|BT20|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HS578T|HT29|HUVEC|LNCAP|MCF10A|MCF7|MDAMB231|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKBR3|SKL|SKL.C|YAPC
AZD-8055,133,15,A375|A549|BT20|HA1E|HCC515|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3
AZD-8330,156,15,A375|A549|BT20|HA1E|HCC515|HELA|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3|YAPC
AZD-8931,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
AZD-9668,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
BAY-87-2243,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
BAY-K8644,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
BCI-540,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
BGT-226,104,22,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
BI-2536,294,27,A375|A549|ASC|ASC.C|BT20|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HS578T|HT29|HUVEC|LNCAP|MCF10A|MCF7|MDAMB231|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKBR3|SKL|SKL.C|YAPC
BIBX-1382,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
BIIB-021,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
BIX-01294,128,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
BIX-01338,15,5,A375|A549|MCF7|NPC.TAK|PC3
BIX-02189,132,22,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
BMS-299897,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
BMS-345541,144,16,A375|A549|BT20|HA1E|HCC515|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|NPC|PC3|SKBR3
BMS-387032,138,15,A375|A549|BT20|HA1E|HCC515|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3
BMS-509744,132,22,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
BMS-599626,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
BMS-707035,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
BMS-777607,174,24,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
BMS-927711,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
BMY-14802,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
