drug,reversal_score,best_adj_pvalue,l2s2_rank
zm-447439,3006.5340456431586,0.0002099519319196348,1
brd-k74447990,559.9610447934188,0.08986018410545271,2
serdemetan,554.9005854119436,0.000473444737928305,3
radicicol,431.6833518693363,9.88060668344519e-08,4
akt-inhibitor-1-2,375.38879444009297,0.0006484595670039182,5
nu-7026,363.2463538436442,0.0056503100130495705,6
tozasertib,344.07331649057846,5.0015479941309285e-05,7
deprenalin,326.1883756621657,0.004498661294898215,8
pd-0325901,310.523479472765,2.4928151766934204e-05,9
su-11274,309.7969229342144,0.000411276804317894,10
xmd11-85h,298.5503725072997,0.0002651727146443663,11
nintedanib,297.62085862127844,7.720288433208547e-06,12
pd-173074,292.68995759097396,3.299751846102309e-05,13
gsk-1059615,276.73860664408454,2.6005737567431575e-05,14
npk76-ii-72-1,273.515611382994,0.0001426943066617386,15
(-)-jq1,271.4532214989663,0.010808930043076068,16
neratinib,268.95285995480657,5.7216810892341605e-05,17
withaferin-a,259.5295156313559,1.4020402548421913e-05,18
foretinib,255.87647590224026,3.5176061396360404e-05,19
t0518-4011,253.2089854843052,0.11466502121855775,20
a3145,253.2089854843052,0.11466502121855775,21
dioxybenzone,253.2089854843052,0.16387808719976454,22
ym-201636,250.8549903018531,0.0006635106084947688,23
brd-k90999434,247.99261501885653,0.08986018410545271,24
nu-7441,242.74958829886188,0.0009842305491441087,25
lapatinib,241.8331838363706,3.982197101011036e-05,26
pd-184352,237.0747938736076,9.984749914003125e-05,27
byl719,224.4854755921964,0.00176914528455893,28
geldanamycin,221.75217062342386,0.00020915213866645415,29
cgp-60474,219.3628518969269,1.979131709845117e-06,30
on-01910,218.87528318723858,5.763759686635619e-05,31
dasatinib,217.14529400136198,0.00022892079347802593,32
mk-2206,215.7893369777783,0.00015747408685524525,33
gdc-0941,211.00513019233864,3.667311150359812e-05,34
pelitinib,210.62430394678557,0.0001426943066617386,35
selumetinib,207.6062296930971,0.0002905798409751485,36
wz-4-145,207.38748660302355,9.723829240393198e-05,37
gefitinib,204.6116259717607,8.754562530382504e-05,38
gsk-690693,201.88832753034734,0.0001426943066617386,39
pik-93,201.67103277617812,7.663187387313953e-05,40
bms-345541,200.84031918205505,0.0005386916563264595,41
nvp-tae684,200.33244310662005,0.00017476423406498427,42
gsk-2126458,199.20107046157844,3.825042632724984e-06,43
nvp-bez235,197.82539349476733,1.979131709845117e-06,44
trametinib,197.75083891897745,4.358609944385127e-05,45
unc0638,197.5407484594091,0.001351872276151541,46
bi-2536,195.5887132413845,1.4020402548421913e-05,47
ql-xii-47,193.41689785379006,1.4020402548421913e-05,48
saracatinib,189.85687291490265,0.0012765632447976495,49
pfi-1,188.7655065899652,5.8883862071433526e-06,50
amuvatinib,187.4537585108654,0.0002456955549803733,51
ibrutinib,186.7018027803392,0.0007941065158416343,52
wye-125132,182.33722677656547,3.667311150359812e-05,53
nvp-aew541,181.3469811404148,0.00016106234306030077,54
imatinib,180.60255300607884,0.001443777521356288,55
i-bet,179.94652850109907,1.1391547968287355e-05,56
hg-6-64-01,178.8802384300326,0.001077544999940533,57
xmd16-144,177.67950971865525,3.667311150359812e-05,58
azd-1480,177.40038716181954,0.001428007251946104,59
gsk-1070916,176.89420365495494,9.984749914003125e-05,60
canertinib,176.1251957178415,8.185806855660808e-05,61
hg-14-10-04,175.33846449320203,0.00010697557253795536,62
tg-101348,174.79171060834548,5.7216810892341605e-05,63
17-acetate,173.66646705651294,0.05891328370199453,64
alw-ii-38-3,173.49370410818813,7.720288433208547e-06,65
