drug,reversal_score,best_adj_pvalue,l2s2_rank
brd-k74447990,559.9610447934188,0.08986018410545271,2
deprenalin,326.1883756621657,0.004498661294898215,8
(-)-jq1,271.4532214989663,0.010808930043076068,16
t0518-4011,253.2089854843052,0.11466502121855775,20
a3145,253.2089854843052,0.11466502121855775,21
dioxybenzone,253.2089854843052,0.16387808719976454,22
brd-k90999434,247.99261501885653,0.08986018410545271,24
byl719,224.4854755921964,0.00176914528455893,28
on-01910,218.87528318723858,5.763759686635619e-05,31
unc0638,197.5407484594091,0.001351872276151541,46
i-bet,179.94652850109907,1.1391547968287355e-05,56
xmd16-144,177.67950971865525,3.667311150359812e-05,58
17-acetate,173.66646705651294,0.05891328370199453,64
sb590885,166.51091062304397,0.0012631317500135227,71
573228,157.26206297097994,0.003450056678476061,82
a443654,144.05313557715448,4.2651440845781917e-07,95
dcc-2036,141.88615858936566,0.001037952311336928,97
rocilinostat,138.2294460918921,0.00045259231517756317,100
brd-a55554369,133.8010624833854,0.03866008200395815,106
pracinostat,131.95413584099376,0.00109723469397964,112
ast1306,129.22695953634576,0.002146459517140834,116
pf-3758309,124.92842591563026,0.001017638761550929,122
kin001-265,122.48975394062546,0.0019012940914400179,126
265,121.17211742959,0.00022892079347802593,127
otssp167,119.64544321571618,0.000473444737928305,130
s1176,115.47748944713356,0.03471406103864715,134
badge,109.82967060963952,0.20624978327757032,142
brd-k67484673,109.82967060963952,0.20624978327757032,143
embelin,109.0807957935381,0.03223389555922858,145
hydrochloride,109.0807957935381,0.015309638358522943,146
brd-k81592585,107.27794396232315,0.08144962919956159,152
brd-k33211335,107.27794396232315,0.08144962919956159,153
kin001-260;,102.67732745825363,0.015309638358522943,162
i-bet151,101.8641560956284,7.565698509153262e-05,163
(+)-jq1,101.46005613208351,0.00010697557253795536,164
brd-k71489689,97.96463872684825,0.03993588806362347,171
brd-k58479490,95.53545821017767,0.15123945388490162,174
az20,95.1247525516585,0.00022892079347802593,175
cp466722,89.53718457035194,0.0045652011682687415,184
03439,88.51747695452742,0.09165175901122014,185
hy-10344,88.51747695452742,0.05469135126291278,186
talniflumate,88.51747695452742,0.05469135126291278,187
vu0366968,88.51747695452742,0.09165175901122014,188
kin001-220,88.21244927252141,0.0016223189505754929,190
ink-128,86.02041593888406,0.0004968700181177746,195
kin236,85.11578837148055,0.0012765632447976495,197
fluspirilen,84.15711641867613,0.03552193204621196,201
sutent,82.25955726071746,0.014056421904950362,206
a,78.28463692985419,0.007369861140014545,212
nifedipine,75.64017854811419,0.015309638358522943,215
brd-k33164466,74.63985907553369,0.10210979283956133,216
triacetate,74.63985907553369,0.06330227368100856,217
ncgc00185984-01,74.0656366754054,0.029607414444938612,218
dihydrochloride,73.4351295424248,0.020227496220626282,219
nvp-bgt226,73.11589372039153,0.00702456989741153,220
brd-k89692698,68.99845569524639,0.05336209056423814,228
inca-6,68.99384156820626,0.0675204355527449,229
hg-14-8-02,66.11927972889787,0.0071948505490810255,235
brd-k59705555,65.9085293542957,0.23732184383742772,236
homoveratrylamine,65.9085293542957,0.23732184383742772,237
2797,65.83738272792549,0.044150816612359436,238
ncgc00183244-01,64.87947020372073,0.059954401719816794,241
practolol,64.01667399497084,0.1124592793391545,242
a66,63.80144049253586,0.005253217289859371,243
74654,61.7488026480308,0.0037752995634201475,245
brd-k15563106,61.31940694691533,0.0034008892721967693,247
brd-k25311561,60.65272714534366,0.05874024336221468,248
336372,60.300379492834644,0.023245869525586736,249
citrate,60.08771954311392,0.14131238607548646,250
brd-k87387614,59.93671214987024,0.06445967785504314,251
1220,59.93671214987024,0.06445967785504314,252
maleate,58.357548361004184,0.018748714474527074,256
hy-11008,56.79746796032269,0.2201197469666296,257
mesylate,55.94636123709802,0.08183305979626769,258
bms-536924,55.92222604020527,0.03092956109462412,259
ncgc00165193-01,55.66181399289476,0.08141900924332637,260
brd-k86761848,55.360312695373985,0.06330227368100856,261
csc-006,55.05957184053478,0.05469135126291278,264
135,54.8348807901091,0.12352496446574443,265
a-275,54.5362614591361,0.00916583891962222,266
ly2603618,54.51418635727679,0.01272344107071961,267
hy-10161,54.49340894428572,0.026300092409900822,268
brd-k09299610,54.02023282333744,0.25117477256172605,269
cogentin,54.02023282333744,0.25117477256172605,270
mls-0425590.0001,54.02023282333744,0.20985869343339633,271
phtpp,54.02023282333744,0.25117477256172605,272
ncgc00183232-01,54.02023282333744,0.19563852420321398,273
15199,54.02023282333744,0.25117477256172605,274
epitestosterone,54.02023282333744,0.25117477256172605,275
brd-k80094086,53.5639389043474,0.07159868482421981,279
vx-680,53.45727595370832,0.05874024336221468,280
ii,53.14519763331129,0.0675204355527449,281
222200,52.12879720840147,0.12872306110797258,283
brd-k84106030,52.12879720840147,0.12872306110797258,284
troleandomycin,52.12879720840147,0.08566078266189399,285
cay10618,51.87851880110572,0.10984209103709762,286
tws119,50.373007831451396,0.05835083427922499,288
ki20227,50.16331190047312,0.05038930912334572,289
brd-k45399554,49.492912258271765,0.03866008200395815,291
556,49.10468421137483,0.021039157230916747,293
