gene_id,meta_log2FC,meta_SE,meta_z,meta_pvalue,tau2,I2,n_datasets,n_up,n_down,meta_padj,frac_concordant,replicated
7048,-3.94125056204813,0.755441549277257,-5.21714825696149,1.81698823951721e-07,0,0,3,2,1,0.00309403560538955,0.666666666666667,TRUE
93986,-126.846299930706,24.7118541801424,-5.13301426133518,2.85138291898401e-07,0,0,2,0,2,0.00309403560538955,1,TRUE
23428,-3.95877693260495,0.788209727020753,-5.02249185323834,5.10053613934625e-07,3.40029568394895e-06,1.11812172706318e-06,3,1,2,0.00349888852176906,0.666666666666667,TRUE
55361,-2.06171660488884,0.414226983488596,-4.97726291881128,6.4489697203374e-07,1.85862300760763e-06,9.85129119915596e-07,3,1,2,0.00349888852176906,0.666666666666667,TRUE
55898,-1.90077381208894,0.388892077438604,-4.88766401364663,1.02039478115067e-06,0,0,3,0,3,0.00442892150810639,1,TRUE
100508408,-0.425964927493557,0.0882752338573816,-4.82541828415602,1.39709739353717e-06,0,0,3,1,2,0.00505330127242395,0.666666666666667,TRUE
6194,-0.53956359496927,0.112867240106951,-4.78051553717436,1.74846244550675e-06,0,0,3,2,1,0.00542073314176963,0.666666666666667,TRUE
80854,-372.296686190527,80.1297368947588,-4.64617382532399,3.38148105672945e-06,0,0,2,0,2,0.00917311273664282,1,TRUE
2310,-2.33223161936273,0.504825429072371,-4.61987745674433,3.83966756171869e-06,1.86135533520621e-06,2.39620235373855e-06,3,1,2,0.009258718380491,0.666666666666667,TRUE
693222,-1.8954168352764,0.416952979161176,-4.54587670554504,5.47070555925691e-06,0,0,3,1,2,0.0112774667591522,0.666666666666667,TRUE
5786,-2.7981323672883,0.616787229429322,-4.53662500418053,5.71616138377448e-06,5.48348780093003e-07,2.64345784443039e-06,3,0,3,0.0112774667591522,1,TRUE
646762,-31.0463114918766,6.92604716571847,-4.48254404699192,7.37584122106251e-06,0,0,2,0,2,0.0121996491304669,1,TRUE
1435,-2.72183034126661,0.612679040310391,-4.4425060467022,8.89171338014129e-06,0,0,3,1,2,0.0121996491304669,0.666666666666667,TRUE
65062,-37.6787759458536,8.53835987159097,-4.41288215916259,1.02003522939312e-05,0,0,2,0,2,0.0121996491304669,1,TRUE
11101,-94.4561042000892,21.4229715994048,-4.40910373996451,1.03799297283515e-05,0,0,2,0,2,0.0121996491304669,1,TRUE
10673,783.600342178177,177.74813780464,4.40848692906938,1.04095301484527e-05,0,0,2,2,0,0.0121996491304669,1,TRUE
645974,-13.6931933106331,3.11391723954355,-4.3974172263616,1.09546640573209e-05,0,0,2,0,2,0.0121996491304669,1,TRUE
24148,-2.15402352318254,0.490181392628054,-4.39433963748396,1.11109987697254e-05,0,0,3,1,2,0.0121996491304669,0.666666666666667,TRUE
51433,-1.65938503295429,0.377822622936978,-4.39196843231666,1.12329011594951e-05,0,0,3,1,2,0.0121996491304669,0.666666666666667,TRUE
100288730,-15.606728348875,3.56050599914563,-4.38328944049525,1.16900632525104e-05,0,0,2,0,2,0.0121996491304669,1,TRUE
51716,-1.9582464313672,0.447616101917703,-4.37483464731847,1.21524560172999e-05,1.7880171036377e-06,3.26366646879994e-05,3,1,2,0.0121996491304669,0.666666666666667,TRUE
92610,157.811460407276,36.1703299386941,4.36300859502121,1.28285901363858e-05,0,0,2,2,0,0.0121996491304669,1,TRUE
4666,-0.520141314006116,0.119547345544242,-4.35092315632906,1.35565559851715e-05,0,0,3,0,3,0.0121996491304669,1,TRUE
1843,-4.60097355426953,1.05956814745785,-4.34231018109438,1.40992285320492e-05,1.06144994688891e-06,2.89013723082916e-09,3,1,2,0.0121996491304669,0.666666666666667,TRUE
64771,-1.40151164246544,0.323130842676158,-4.33728835928558,1.44251322095387e-05,2.08784171090746e-06,2.04379806351859e-06,3,1,2,0.0121996491304669,0.666666666666667,TRUE
167691,-13.5625360157925,3.12904494307963,-4.3344011551474,1.46157440508773e-05,0,0,2,0,2,0.0121996491304669,1,TRUE
392,-1.38660090275683,0.321002654845962,-4.31959325514677,1.56317043355965e-05,1.16778883306418e-06,1.04954616354073e-06,3,0,3,0.0125224540468746,1,TRUE
115362,92.6346987117835,21.4815071321487,4.31229979078835,1.6156516141945e-05,0,0,2,2,0,0.0125224540468746,1,TRUE
8808,-2.13881642941033,0.497582899596055,-4.29841224677668,1.7202598334775e-05,0,0,3,0,3,0.012873475484872,1,TRUE
10048,0.585228249186723,0.136413370613995,4.29010914804478,1.7858532628347e-05,0,0,3,1,2,0.0129188625033462,0.666666666666667,TRUE
2526,0.832743400957824,0.196400254275995,4.24003219358157,2.23487731812478e-05,3.89315071901847e-07,1.24741844097432e-06,3,3,0,0.0156455830832078,1,TRUE
257144,13.3697750747137,3.1702733209816,4.21723104636735,2.47320532964413e-05,0,0,2,2,0,0.0166255248648888,1,TRUE
9927,-1.32830340989155,0.315340811894126,-4.21227877835717,2.52807262252939e-05,3.65540865782538e-06,1.71832271073093e-06,3,1,2,0.0166255248648888,0.666666666666667,TRUE
7431,-0.528461667521926,0.125816483375883,-4.20025781473419,2.66611216985049e-05,0,0,3,2,1,0.017017637150028,0.666666666666667,TRUE
6206,-0.39711803795161,0.0949063489323704,-4.18431477365749,2.86027553667967e-05,0,0,3,2,1,0.0177353427705778,0.666666666666667,TRUE
6228,-0.52717439831253,0.126628036470937,-4.16317280915528,3.13855647863023e-05,0,0,3,1,2,0.0184306010443112,0.666666666666667,TRUE
78988,-0.828444076873807,0.199046172372673,-4.16206987051586,3.15375814176429e-05,0,0,3,0,3,0.0184306010443112,1,TRUE
11255,-0.95813583503861,0.230500013489667,-4.15677127533687,3.2277685070209e-05,1.10839766718913e-06,5.25414200129013e-06,3,1,2,0.0184306010443112,0.666666666666667,TRUE
59084,-65.8353606248228,15.8606089490878,-4.15087219136116,3.31210690594478e-05,21.4365474613907,3.4922463585357,2,0,2,0.0184306010443112,1,TRUE
51031,0.465836941642109,0.112394600667943,4.14465587202335,3.40324400504086e-05,0,0,3,2,1,0.0184643003493492,0.666666666666667,TRUE
10957,-0.939967008900089,0.22784896908875,-4.12539504856817,3.70098927369744e-05,1.8728092217736e-07,5.11736380132986e-10,3,1,2,0.0186344011383455,0.666666666666667,TRUE
7572,-0.762577025196033,0.185035145980151,-4.12125502512822,3.76814017264288e-05,4.33660744045657e-06,4.9566787475178e-07,3,1,2,0.0186344011383455,0.666666666666667,TRUE
57187,-0.690565782611384,0.16758878718453,-4.12059657577814,3.7789262049992e-05,4.81927544225156e-06,7.98031871274866e-07,3,1,2,0.0186344011383455,0.666666666666667,TRUE
387357,40.8045787983162,9.91999224797845,4.11336801262437,3.89928021871188e-05,0,0,2,2,0,0.0186344011383455,1,TRUE
10089,-0.947865896524381,0.230468694872476,-4.11277504326069,3.90931285195227e-05,3.21241970158226e-06,0.000598241354552591,3,0,3,0.0186344011383455,1,TRUE
5660,-0.425080560380356,0.103415924719239,-4.11039751889658,3.94978551453272e-05,0,0,3,1,2,0.0186344011383455,0.666666666666667,TRUE
56963,-91.2746065897277,22.3378676410415,-4.08609308894053,4.38697827365219e-05,0,0,2,0,2,0.0202566388286808,1,TRUE
10612,-2.01481703046135,0.493708579000289,-4.0809844433758,4.48453568547185e-05,2.98097240760436e-06,2.43336416546232e-05,3,1,2,0.0202757069679396,0.666666666666667,TRUE
64429,0.615425718666856,0.151026046463902,4.07496410769087,4.60214445924533e-05,5.53929700162237e-06,2.33353854213164e-06,3,2,1,0.0203828038886821,0.666666666666667,TRUE
101930075,-1.79400798437827,0.441634032884644,-4.06220501771626,4.86113548051003e-05,0,0,3,0,3,0.0206694206960616,1,TRUE
1660,-2.13382027060629,0.525560634394758,-4.06008390081122,4.90550854586148e-05,0,0,3,1,2,0.0206694206960616,0.666666666666667,TRUE
6737,0.6822926397618,0.168141274855894,4.05785337566022,4.95258444472954e-05,0,0,3,3,0,0.0206694206960616,1,TRUE
79991,0.701621977410574,0.173698247600832,4.0393152326035,5.36074778977844e-05,0,0,3,3,0,0.0216233419505028,1,TRUE
1936,-0.753019797135762,0.186579672863008,-4.03591551845334,5.43897862451697e-05,0,0,3,1,2,0.0216233419505028,0.666666666666667,TRUE
3551,-2.44507107237361,0.606093472309303,-4.03414850032543,5.48006546529193e-05,0,0,3,2,1,0.0216233419505028,0.666666666666667,TRUE
118,-1.13651737880091,0.282379171210416,-4.02479182132748,5.70257394744416e-05,0,0,3,0,3,0.0216298684119655,1,TRUE
219749,-71.1028692350039,17.6796165053189,-4.02174273483888,5.77691343217421e-05,0,0,2,0,2,0.0216298684119655,1,TRUE
100506870,-24.6351185727074,6.12571988124792,-4.0215875113912,5.78072236611372e-05,0,0,2,0,2,0.0216298684119655,1,TRUE
5098,-2.09615238782416,0.522164306111705,-4.0143540324178,5.96088188464042e-05,8.95787304049454e-07,8.21916787263032e-06,3,0,3,0.0219259421458417,1,TRUE
130752,-16.8836583949024,4.21240604669236,-4.00807951744341,6.12145109147928e-05,0,0,2,0,2,0.0221412885978805,1,TRUE
29074,0.357547371215779,0.0898100938892303,3.98114906389887,6.85829208226819e-05,0,0,3,2,1,0.0242596909921782,0.666666666666667,TRUE
2622,-1.09890015966284,0.276199095108727,-3.97865228063203,6.93070150914685e-05,5.09926937140271e-07,1.72453906639301e-06,3,0,3,0.0242596909921782,1,TRUE
26784,-0.428236865566723,0.107757245253974,-3.97408883790047,7.06491917789967e-05,0,0,3,2,1,0.0243369644442506,0.666666666666667,TRUE
114769,195.447237776089,49.2268693321667,3.97033653424668,7.17711838537411e-05,0,0,2,2,0,0.0243371598749045,1,TRUE
102465666,-0.844155630220745,0.21297368394204,-3.96366168155536,7.38088344147199e-05,0,0,3,2,1,0.0246430665302808,0.666666666666667,TRUE
4254,-2.16556881463517,0.547945869862089,-3.95215829472392,7.74494782528347e-05,0,0,3,1,2,0.0253794290261886,0.666666666666667,TRUE
283392,-32.1653142709771,8.14521327733704,-3.94898367615158,7.84837028817099e-05,0,0,2,0,2,0.0253794290261886,1,TRUE
94163,-0.552154522991719,0.139939087472723,-3.94567760133026,7.95746242294723e-05,0,0,3,2,1,0.0253794290261886,0.666666666666667,TRUE
56111,-42.118655836571,10.6836823456457,-3.9423350932684,8.06921298869697e-05,20.6452966331168,8.70868028628881,2,0,2,0.0253794290261886,1,TRUE
728642,-0.911807493855708,0.231811357948001,-3.93340301323908,8.37516408998188e-05,4.68215685616637e-06,6.46625026922604e-07,3,1,2,0.0259654015829695,0.666666666666667,TRUE
