sample_id,PC1,PC2,PC1_zscore,PC2_zscore,outlier,condition,dataset
ALF001,19.56747940700476,-37.13508406312986,0.5633219482706922,-1.4327300870550117,False,IPF,GSE213001
ALF004C,-17.59563593987527,8.816906343854779,-0.5065551731289443,0.34017014670310286,False,control,GSE213001
ALF004D,9.953189425603165,19.240546208520005,0.28653920835255287,0.7423306056734815,False,control,GSE213001
ALF007A,-5.7918949731447915,-26.29712609520428,-0.16674102435918095,-1.014584582483456,False,control,GSE213001
ALF007B,13.450626003449521,-33.16912256443611,0.38722579889422,-1.279717040050173,False,control,GSE213001
ALF007C,6.695779878407113,-40.213691362826296,0.19276267974227362,-1.5515076101381386,False,control,GSE213001
ALF007D,-8.611085368078948,-71.73467565942958,-0.24790180101249992,-2.767636877505839,False,control,GSE213001
ALF008A,-0.4002307122352428,-47.43553224534426,-0.011522114825551561,-1.8301376167032926,False,IPF,GSE213001
ALF008B,-1.616458993440535,-26.900917255879428,-0.04653572443053821,-1.0378797973462128,False,IPF,GSE213001
ALF008C,-4.799935851016734,-27.0131927506702,-0.13818382832697118,-1.042211562938887,False,IPF,GSE213001
ALF008D,37.004661165739336,18.24963467117755,1.0653154343179645,0.7040996763790451,False,IPF,GSE213001
ALF009B,-61.592500679134226,-27.661079196754557,-1.7731669347771595,-1.0672080434294704,False,control,GSE213001
ALF009C,-29.118792888939996,-2.092189945419879,-0.8382916777526502,-0.08071998645650573,False,control,GSE213001
ALF010A,-42.47286507958906,5.414664545124232,-1.2227378196042649,0.20890629443362238,False,control,GSE213001
ALF011A,-4.935619222112944,-44.76412529164041,-0.14208997379231358,-1.7270705249247233,False,control,GSE213001
ALF011B,56.71304264607736,35.51068233407139,1.6326937676147761,1.3700581074593878,False,control,GSE213001
ALF012A,-42.593010393968385,26.53823208798987,-1.2261966448910582,1.0238868317915748,False,control,GSE213001
ALF012B,-47.83437531424719,-0.964411599264006,-1.3770886344557518,-0.03720851990590393,False,control,GSE213001
ALF012E,-3.0965786440331904,26.119108740166226,-0.08914641883337035,1.007716392279621,False,control,GSE213001
ALF012F,-44.46778109708686,0.46287955526563745,-1.2801688230686652,0.017858622977244613,False,control,GSE213001
ALF013A,-29.804610989364768,16.604793378872873,-0.8580354771687512,0.6406391062101693,False,control,GSE213001
ALF013B,-17.98611731261665,28.29885234820088,-0.5177966173170672,1.09181433706919,False,control,GSE213001
ALF014A,2.812706711461511,-28.95876967298676,0.08097411994962135,-1.1172749878269008,False,control,GSE213001
ALF014B,-35.870780833640296,2.638001045829621,-1.032672513658741,0.10177823918797217,False,control,GSE213001
ALF014C,-44.13962834902666,-9.55377185751196,-1.2707217378553555,-0.3685995798971988,False,control,GSE213001
ALF014D,-24.59172320691193,7.39032536278266,-0.7079633068780493,0.28513040343154245,False,control,GSE213001
ALF015A,-5.817473649287858,-1.2178716088765622,-0.16747740074059364,-0.0469874066594608,False,IPF,GSE213001
ALF015B,37.22864402594453,3.2450573295414586,1.0717636057234685,0.1251994276449897,False,IPF,GSE213001
ALF016A,-15.335057247216698,-4.89748397674049,-0.4414760913075127,-0.1889526527640916,False,IPF,GSE213001
ALF016B,-16.24833691996637,-8.610010460799392,-0.4677682096671822,-0.3321877773610181,False,IPF,GSE213001
ALF017A,-68.24114289537745,13.71928244711081,-1.9645725833385248,0.5293115454206594,False,control,GSE213001
ALF017B,-39.09433399808534,18.781199923505678,-1.1254743616218097,0.7246083018327749,False,control,GSE213001
ALF018A,-11.741011831288095,-30.4692507147568,-0.33800825961788367,-1.1755517277096255,False,IPF,GSE213001
ALF018B,-4.8921661204834255,-40.4712905531871,-0.140839016254084,-1.5614461930104306,False,IPF,GSE213001
ALF018C,24.705288016316196,-31.46679462574326,0.7112326880976713,-1.214038544435263,False,IPF,GSE213001
ALF018D,50.981597885885954,6.660147258372541,1.4676930252319282,0.25695898102897796,False,IPF,GSE213001
ALF018E,76.10416899168389,24.531463064262304,2.1909387436263437,0.9464625191610524,False,IPF,GSE213001
ALF019A,-15.686447672613967,-30.08243738985214,-0.4515921586313192,-1.1606278598190196,False,IPF,GSE213001
ALF019B,31.45829296743453,5.093593760097903,0.9056428022784386,0.19651887737541465,False,IPF,GSE213001
ALF019C,44.61014027496173,-21.115248462666827,1.2842671562145265,-0.8146595741287538,False,IPF,GSE213001
ALF019D,45.714725483687644,12.431937675937206,1.3160667088737066,0.47964375463451625,False,IPF,GSE213001
ALF020A,-30.58315769369384,21.382183082086144,-0.8804488109037737,0.8249583325715373,False,control,GSE213001
ALF020B,-6.86300138155288,48.64505224453047,-0.19757676647186567,1.8768028050944878,False,control,GSE213001
ALF020C,-44.92648833569833,28.01362495882376,-1.293374400034699,1.0808098147226661,False,control,GSE213001
ALF020D,-49.24561560585484,38.31936139564263,-1.4177163828749952,1.4784213735705831,False,control,GSE213001
ALF021A,18.165862871912086,2.0610065368310724,0.5229712551203942,0.07951688139213689,False,control,GSE213001
ALF021B,61.20326326047607,22.501066332750344,1.7619613023879477,0.8681266123148471,False,control,GSE213001
ALF022A,67.23727148285644,29.128482923484647,1.9356724481625986,1.123822792586057,False,control,GSE213001
ALF022B,22.276508717810913,-9.738370199033763,0.6413113324700406,-0.37572167493457986,False,control,GSE213001
ALF023A,-11.949274004406307,-18.761126901527806,-0.3440038531571334,-0.7238338529995119,False,IPF,GSE213001
ALF023B,58.87076641680933,31.691774530210278,1.6948117917647643,1.2227186238330825,False,IPF,GSE213001
ALF023C,-14.326790116476191,-58.18106884188715,-0.4124494091962379,-2.244717359063518,False,IPF,GSE213001
ALF023D,48.073931528570625,6.086122280040781,1.3839851422054785,0.23481219240776763,False,IPF,GSE213001
ALF024A,-23.080008793383733,45.674795545711525,-0.6644430408823819,1.7622056190092188,False,control,GSE213001
ALF024B,-35.29187912793671,29.901145292994897,-1.0160066963640804,1.1536333249131312,False,control,GSE213001
ALF024C,-36.08282743974148,29.82938608594473,-1.0387770560368637,1.1508647415758968,False,control,GSE213001
ALF025A,-1.5573270782393165,21.27047220080526,-0.044833394509383256,0.8206483506581945,False,control,GSE213001
ALF025B,-17.131690726094103,1.5084570253973533,-0.4931988017597984,0.05819865014018066,False,control,GSE213001
ALF025C,-26.873106000995413,18.44652467053884,-0.7736413113661637,0.7116960029538175,False,control,GSE213001
ALF025D,-32.56280958571036,-5.1479149003568185,-0.9374403803089418,-0.1986146726045241,False,control,GSE213001
ALF026A,-36.822697938404616,28.65491877650405,-1.060076952773984,1.105551941216064,False,control,GSE213001
ALF026B,-22.543424018098918,37.49025626405188,-0.6489954722539143,1.446433190499761,False,control,GSE213001
ALF026C,-40.678835687347544,27.939216565405466,-1.1710900773748494,1.0779390215988756,False,control,GSE213001
ALF026D,-22.543101210287556,23.217369908907518,-0.6489861790423855,0.895762733544055,False,control,GSE213001
ALF026E,-43.66110248148327,20.835029644171826,-1.2569456086771658,0.8038482903429334,False,control,GSE213001
ALF027A,9.129546566572342,-22.24865637231556,0.2628276157463845,-0.8583882381139836,False,IPF,GSE213001
ALF027B,47.41662025190786,6.132287900777228,1.365062016682351,0.2365933348364271,False,IPF,GSE213001
ALF027C,10.166023233071845,-35.69045374321666,0.2926664132207592,-1.376993971835966,False,IPF,GSE213001
ALF027D,61.195815704578,45.72817976040254,1.7617468970672066,1.7642652661728444,False,IPF,GSE213001
ALF028A,-19.350705836156983,-21.050282316100034,-0.5570813228061854,-0.8121530777743081,False,IPF,GSE213001
ALF028B,-21.34222457376761,-10.756841089403032,-0.6144145230591931,-0.415015887516437,False,IPF,GSE213001
ALF028C,42.52421001566852,17.126113913274203,1.224215972657323,0.6607524742953641,False,IPF,GSE213001
ALF028D,56.043998887339576,27.194564846582363,1.6134328793924742,1.0492091843344338,False,IPF,GSE213001
ALF029A,-13.862343262621964,-10.351074559882589,-0.3990785962703944,-0.39936077511180285,False,IPF,GSE213001
ALF029B,21.506433839158948,-32.400783961436865,0.6191418914330283,-1.2500733254515626,False,IPF,GSE213001
ALF029C,-20.804455457929922,-12.844082331629508,-0.598932858826801,-0.49554494520205206,False,IPF,GSE213001
ALF029D,4.054340734986592,-16.090885049959933,0.11671912739912157,-0.6208117126981462,False,IPF,GSE213001
ALF030A,-53.96363350123462,21.575550129274063,-1.553541901201587,0.8324187380974853,False,control,GSE213001
ALF030B,-30.74868133361281,22.43917539083835,-0.8852140183883225,0.8657387622040801,False,control,GSE213001
ALF030C,-36.8078866180167,30.26084069178709,-1.0596505543767332,1.1675109404625867,False,control,GSE213001
ALF030D,-40.322260652063854,27.508583015029544,-1.1608247519641175,1.0613245003264844,False,control,GSE213001
ALF031A,-34.71905932395027,6.4854222725579485,-0.9995159690058002,0.2502178156202432,False,control,GSE213001
ALF031B,54.09268876207131,25.325725402281623,1.5572572321063474,0.9771064123258124,False,control,GSE213001
ALF031C,2.299688235700009,-18.761052992955232,0.06620499403137069,-0.7238310014902642,False,control,GSE213001
ALF031D,63.79599978679402,41.422292847452646,1.8366027705596308,1.5981373607895657,False,control,GSE213001
ALF032A,52.31121772825632,24.621377797781534,1.505971028468018,0.9499315713318657,False,IPF,GSE213001
ALF032B,-11.343189563095745,-21.710817022109246,-0.32655548072274626,-0.837637548072924,False,IPF,GSE213001
ALF032C,34.157996722015376,4.956172459919713,0.9833637160022455,0.19121694696823416,False,IPF,GSE213001
ALF032D,37.99627075961061,8.886497506524666,1.0938625678922311,0.3428550834701986,False,IPF,GSE213001
ALF033A,10.22732539296038,-31.011362250301563,0.2944312216267539,-1.1964672453961933,False,control,GSE213001
ALF033B,45.535458136716734,10.696940890912302,1.3109058381730674,0.41270484342529284,False,control,GSE213001
ALF034A,-37.45127316777869,12.814528454524966,-1.0781728053608501,0.49440471003132186,False,control,GSE213001
ALF034B,-48.44534600209349,31.767407727639103,-1.3946776754893482,1.2256366718265173,False,control,GSE213001
ALF035A,-5.479980951878357,-20.938648984581622,-0.15776143069266843,-0.8078460878530597,False,IPF,GSE213001
