drug,baseline_score,baseline_rank
trichostatin-a,-0.17267790262172286,1
sunitinib,-0.16831460674157303,2
CC-930,-0.16121722846441947,3
trametinib,-0.1500374531835206,4
ganetespib,-0.1491385767790262,5
BI-2536,-0.14889513108614233,6
VE-821,-0.14610486891385768,7
AT7867,-0.1440823970037453,8
fluspirilene,-0.14250936329588015,9
STA-5326,-0.14099250936329583,10
afatinib,-0.13494382022471912,11
volasertib,-0.13462546816479404,12
cediranib,-0.13237827715355807,13
R-428,-0.13185393258426964,14
romidepsin,-0.13018726591760296,15
D-4476,-0.12932584269662922,16
PHA-848125,-0.1289887640449438,17
HG-6-64-01,-0.12825842696629214,18
cepharanthine,-0.1260486891385768,19
brexpiprazole,-0.1234456928838952,20
I-BET-762,-0.12338951310861425,21
SNX-2112,-0.12318352059925097,22
I-BET-151,-0.12280898876404489,23
nintedanib,-0.12232209737827714,24
XMD-885,-0.12204119850187266,25
PD-0325901,-0.12153558052434454,26
cobimetinib,-0.12031835205992508,27
KW-2478,-0.11919475655430713,28
tipifarnib-P2,-0.11874531835205993,29
VP-20629,-0.11691011235955055,30
XMD-892,-0.11689138576779029,31
BGT-226,-0.11651685393258426,32
XL-888,-0.11614232209737829,33
WZ-4-145,-0.115936329588015,34
TAK-733,-0.11546816479400748,35
saracatinib,-0.11370786516853931,36
MK-2461,-0.11191011235955062,37
alvespimycin,-0.11102996254681649,38
vandetanib,-0.10985018726591762,39
pimavanserin,-0.1096816479400749,40
AT-13387,-0.10855805243445696,41
tacalcitol,-0.10840823970037455,42
clonidine,-0.10812734082397005,43
AEE-788,-0.10636704119850186,44
dipyridamole,-0.10616104868913856,45
darapladib,-0.10601123595505618,46
dexamethasone,-0.10552434456928839,47
AZD-8330,-0.1047191011235955,48
AZD-7762,-0.10443820224719105,49
AZD-4547,-0.10423220973782771,50
clonazepam,-0.10408239700374533,51
Ro-4987655,-0.10357677902621723,52
SU-11652,-0.10353932584269665,53
avagacestat,-0.10220973782771542,54
SU-014813,-0.10187265917603,55
nalbuphine,-0.10123595505617976,56
KN-62,-0.10106741573033712,57
AVL-292,-0.10082397003745316,58
neratinib,-0.10080524344569286,59
LY-2603618,-0.10009363295880153,60
LY-2874455,-0.09979400749063666,61
paclitaxel,-0.09887640449438206,62
tie2-kinase-inhibitor,-0.09694756554307117,63
GSK-461364,-0.09687265917602994,64
MK-1775,-0.09676029962546817,65
clomethiazole,-0.09672284644194754,66
pitavastatin,-0.0962921348314607,67
S-ruxolitinib,-0.09604868913857673,68
BIBX-1382,-0.09561797752808993,69
GSK-1904529A,-0.09539325842696633,70
WH-4-025,-0.09507490636704122,71
zolpidem,-0.09501872659176028,72
riluzole,-0.09486891385767791,73
torin-2,-0.09445692883895135,74
cabazitaxel,-0.09441947565543073,75
ledipasvir,-0.09400749063670415,76
JQ1-(+),-0.09391385767790263,77
NVP-TAE684,-0.09320224719101128,78
dasatinib,-0.09290262172284645,79
LCQ-908,-0.09260299625468163,80
atorvastatin,-0.09230337078651685,81
taselisib,-0.09192883895131082,82
proglumide,-0.09108614232209741,83
cobicistat,-0.09106741573033714,84
lestaurtinib,-0.09106741573033711,85
RAF-265,-0.09078651685393258,86
osimertinib,-0.09061797752808984,87
meclofenamic-acid,-0.09035580524344569,88
