drug,baseline_score,baseline_rank,trace_score,trace_rank
trichostatin-a,-0.17267790262172286,1,0.08947527374122206,20
sunitinib,-0.16831460674157303,2,0.09094559914977252,18
CC-930,-0.16121722846441947,3,0.05191819256901002,76
trametinib,-0.1500374531835206,4,0.11703421814400168,3
ganetespib,-0.1491385767790262,5,0.05133673586604548,78
BI-2536,-0.14889513108614233,6,0.09246665013194422,17
VE-821,-0.14610486891385768,7,0.056498303110878986,64
AT7867,-0.1440823970037453,8,0.10595240101121654,8
fluspirilene,-0.14250936329588015,9,0.10610454768702997,7
STA-5326,-0.14099250936329583,10,0.16462872062021874,1
afatinib,-0.13494382022471912,11,0.079279379634215,30
volasertib,-0.13462546816479404,12,0.06267174930251586,49
cediranib,-0.13237827715355807,13,0.1010110870751417,10
R-428,-0.13185393258426964,14,0.03186853150801648,155
romidepsin,-0.13018726591760296,15,0.09478473531983099,13
D-4476,-0.12932584269662922,16,0.09762079846748864,11
PHA-848125,-0.1289887640449438,17,0.06024281192495316,54
HG-6-64-01,-0.12825842696629214,18,0.03589944958738321,132
cepharanthine,-0.1260486891385768,19,0.12034110596040488,2
brexpiprazole,-0.1234456928838952,20,0.052036141410358776,75
I-BET-762,-0.12338951310861425,21,0.08399422117450744,22
SNX-2112,-0.12318352059925097,22,0.032644885132132984,150
I-BET-151,-0.12280898876404489,23,0.08406221449437852,21
nintedanib,-0.12232209737827714,24,0.09367430957665121,15
XMD-885,-0.12204119850187266,25,0.05444918596174256,69
PD-0325901,-0.12153558052434454,26,0.09313025688357786,16
cobimetinib,-0.12031835205992508,27,0.05077717880548462,81
KW-2478,-0.11919475655430713,28,0.07690150502863144,31
tipifarnib-P2,-0.11874531835205993,29,0.04305689247973699,100
VP-20629,-0.11691011235955055,30,0.07545088059046672,34
XMD-892,-0.11689138576779029,31,0.06063072971871915,51
BGT-226,-0.11651685393258426,32,0.036931095344788466,127
XL-888,-0.11614232209737829,33,0.044624423305628935,92
WZ-4-145,-0.115936329588015,34,0.08951819582959826,19
TAK-733,-0.11546816479400748,35,0.055293805180149695,66
saracatinib,-0.11370786516853931,36,0.05687663291861682,63
MK-2461,-0.11191011235955062,37,0.05092509969354764,79
alvespimycin,-0.11102996254681649,38,0.058572845987699775,59
vandetanib,-0.10985018726591762,39,0.07436490916570525,36
pimavanserin,-0.1096816479400749,40,0.051478054836717746,77
AT-13387,-0.10855805243445696,41,0.045355015945613156,91
tacalcitol,-0.10840823970037455,42,-0.02837750865935843,1028
clonidine,-0.10812734082397005,43,0.0640070262280149,45
AEE-788,-0.10636704119850186,44,0.08188017311167246,26
dipyridamole,-0.10616104868913856,45,0.023591795969586098,199
darapladib,-0.10601123595505618,46,0.05370155443358191,71
dexamethasone,-0.10552434456928839,47,0.010060439562069439,342
AZD-8330,-0.1047191011235955,48,0.0764236811305565,32
AZD-7762,-0.10443820224719105,49,0.029455958991746765,168
AZD-4547,-0.10423220973782771,50,0.04076451798576621,108
clonazepam,-0.10408239700374533,51,0.05950551913304223,57
Ro-4987655,-0.10357677902621723,52,0.061438013291721105,50
SU-11652,-0.10353932584269665,53,0.003089587509101482,424
avagacestat,-0.10220973782771542,54,0.02249099696401397,208
SU-014813,-0.10187265917603,55,0.040933032902365316,106
nalbuphine,-0.10123595505617976,56,0.03558929316308384,135
KN-62,-0.10106741573033712,57,0.07230369706948372,37
AVL-292,-0.10082397003745316,58,0.03910132874968347,121
neratinib,-0.10080524344569286,59,0.0601618137453098,56
LY-2603618,-0.10009363295880153,60,0.01019992356291894,339
LY-2874455,-0.09979400749063666,61,0.014957909118155258,289
paclitaxel,-0.09887640449438206,62,0.03194596618230212,154
tie2-kinase-inhibitor,-0.09694756554307117,63,0.052252124829316925,74
GSK-461364,-0.09687265917602994,64,0.01923337528268628,238
MK-1775,-0.09676029962546817,65,0.0008198927411743017,467
clomethiazole,-0.09672284644194754,66,0.026784249414455494,184
pitavastatin,-0.0962921348314607,67,0.08221293023434932,24
S-ruxolitinib,-0.09604868913857673,68,0.06059636454629762,52
BIBX-1382,-0.09561797752808993,69,0.046132581029138586,88
GSK-1904529A,-0.09539325842696633,70,-0.010535623578683767,670
WH-4-025,-0.09507490636704122,71,0.11413497604423714,5
zolpidem,-0.09501872659176028,72,0.04051157213895883,111
riluzole,-0.09486891385767791,73,0.058191730596740994,62
torin-2,-0.09445692883895135,74,0.02755526892336204,180
cabazitaxel,-0.09441947565543073,75,0.02780727099934058,178
ledipasvir,-0.09400749063670415,76,0.01388601805853396,297
JQ1-(+),-0.09391385767790263,77,0.07565793584196,33
NVP-TAE684,-0.09320224719101128,78,0.08215047919104664,25
dasatinib,-0.09290262172284645,79,0.08138405386121864,27
LCQ-908,-0.09260299625468163,80,0.03032700261537661,164
atorvastatin,-0.09230337078651685,81,0.1114189474139403,6
taselisib,-0.09192883895131082,82,0.028478597011265785,172
proglumide,-0.09108614232209741,83,0.06681662087436104,42
cobicistat,-0.09106741573033714,84,-0.012845447908529763,714
lestaurtinib,-0.09106741573033711,85,0.0013052086027370029,460
RAF-265,-0.09078651685393258,86,-0.027472131894244,1003
osimertinib,-0.09061797752808984,87,0.05822405314685461,60
meclofenamic-acid,-0.09035580524344569,88,0.015531015258122905,286
lonafarnib,-0.0900187265917603,89,-0.006067384753309051,583
dolastatin-10,-0.08977528089887638,90,0.010956419481056886,330
GSK-429286A,-0.08947565543071162,91,0.03979027600439102,113
NVP-AUY922,-0.08947565543071162,92,0.06371615884200814,47
baricitinib,-0.08893258426966294,93,0.05820274379160668,61
tosedostat,-0.08868913857677899,94,-0.029537777958074867,1060
rufinamide,-0.08848314606741574,95,0.0793000076794316,29
fenticonazole,-0.08818352059925093,96,0.014189360170472641,295
NVP-TAE226,-0.08790262172284644,97,0.04718374509866056,86
temoporfin,-0.08732209737827712,98,0.02086858942160144,227
AS-703026,-0.08655430711610493,99,0.023391196327076848,201
epitiostanol,-0.0864232209737828,100,0.0329713264538763,148
BIIB-021,-0.08642322097378277,101,0.03295424290409428,149
PF-04691502,-0.08638576779026216,102,-0.009445831075179113,649
etomidate,-0.08602996254681647,103,0.001519168513475577,455
canertinib,-0.08593632958801499,104,0.04816006549337907,84
NVP-BHG712,-0.0853932584269663,105,0.06539046002935843,44
isofloxythepin,-0.08494382022471908,106,0.015465824538774821,287
rociletinib,-0.08445692883895131,107,0.03163356468484693,157
ursodiol,-0.08438202247191007,108,0.03688819801116724,128
GSK-2126458,-0.08430711610486888,109,0.03036094598903948,163
fluticasone-propionate,-0.08303370786516856,110,-0.004336771962679123,558
pelitinib,-0.08301498127340826,111,0.013037462459581102,310
lurasidone,-0.08280898876404494,112,-0.013479567310446519,737
GDC-0941,-0.08277153558052436,113,0.04589907470326354,90
dovitinib,-0.08247191011235955,114,0.039532105729287115,115
dacomitinib,-0.08196629213483149,115,0.07938069556051772,28
MG-132,-0.08172284644194758,116,0.043777604194365057,98
radicicol,-0.08155430711610487,117,0.046600053274077596,87
AP-26113,-0.08147940074906367,118,0.049147419233019865,82
dabrafenib,-0.08147940074906362,119,0.008569113211769683,364
KU-60019,-0.08106741573033713,120,0.030563295016706637,162
ticagrelor,-0.08101123595505619,121,0.033052919891207705,145
selumetinib,-0.08013108614232206,122,0.06984890952388316,38
toremifene,-0.07947565543071156,123,0.01214105054356027,319
malotilate,-0.07921348314606744,124,0.005419410080958436,396
combretastatin-A-4,-0.07887640449438205,125,0.009921117439973317,343
PF-04136309,-0.07882022471910113,126,-0.012510211902206088,702
YM-201636,-0.07831460674157302,127,0.08334121688183091,23
BMS-599626,-0.07801498127340822,128,0.025817056546898965,189
SCH-28080,-0.07792134831460676,129,-0.015073425513327365,771
BMS-707035,-0.07780898876404492,130,-0.013434672448509091,736
metoprolol,-0.07719101123595506,131,-0.023545205604778647,925
calcitriol,-0.07709737827715353,132,-0.01583151108087144,787
IOWH-032,-0.07705992509363294,133,0.0037484600568837975,421
KIN001-055,-0.07705992509363294,134,0.013320028406396848,305
