drug,trace_score,emp_pvalue,emp_padj,significant,trace_rank,baseline_score,baseline_rank
STA-5326,0.1646287206202187,0.001,0.14733333333333334,False,1,-0.1409925093632958,10
cepharanthine,0.1203411059604048,0.001,0.14733333333333334,False,2,-0.1260486891385768,19
trametinib,0.1170342181440016,0.001,0.14733333333333334,False,3,-0.1500374531835206,4
orlistat,0.1159934148203403,0.001,0.14733333333333334,False,4,0.0,296
WH-4-025,0.1141349760442371,0.002,0.23573333333333335,False,5,-0.0950749063670412,71
atorvastatin,0.1114189474139403,0.001,0.14733333333333334,False,6,-0.0923033707865168,81
fluspirilene,0.1061045476870299,0.001,0.14733333333333334,False,7,-0.1425093632958801,9
AT7867,0.1059524010112165,0.001,0.14733333333333334,False,8,-0.1440823970037453,8
bafilomycin a1,0.1028006358958682,0.001,0.14733333333333334,False,9,0.0,259
cediranib,0.1010110870751417,0.001,0.14733333333333334,False,10,-0.132378277153558,13
D-4476,0.0976207984674886,0.002,0.23573333333333335,False,11,-0.1293258426966292,16
JNJ-26481585,0.0949286646412464,0.003,0.2652,False,12,0.0,633
romidepsin,0.0947847353198309,0.001,0.14733333333333334,False,13,-0.1301872659176029,15
dacinostat,0.0939366356035574,0.003,0.2652,False,14,0.0,464
nintedanib,0.0936743095766512,0.002,0.23573333333333335,False,15,-0.1223220973782771,24
PD-0325901,0.0931302568835778,0.001,0.14733333333333334,False,16,-0.1215355805243445,26
BI-2536,0.0924666501319442,0.005,0.3536,False,17,-0.1488951310861423,6
sunitinib,0.0909455991497725,0.009,0.5486896551724137,False,18,-0.168314606741573,2
WZ-4-145,0.0895181958295982,0.005,0.3536,False,19,-0.115936329588015,34
trichostatin-a,0.089475273741222,0.003,0.2652,False,20,-0.1726779026217228,1
I-BET-151,0.0840622144943785,0.015,0.7167567567567568,False,21,-0.1228089887640448,23
I-BET-762,0.0839942211745074,0.008,0.5051428571428572,False,22,-0.1233895131086142,21
YM-201636,0.0833412168818309,0.005,0.3536,False,23,-0.078314606741573,127
pitavastatin,0.0822129302343493,0.001,0.14733333333333334,False,24,-0.0962921348314607,67
NVP-TAE684,0.0821504791910466,0.004,0.3214545454545455,False,25,-0.0932022471910112,78
AEE-788,0.0818801731116724,0.003,0.2652,False,26,-0.1063670411985018,44
dasatinib,0.0813840538612186,0.008,0.5051428571428572,False,27,-0.0929026217228464,79
dacomitinib,0.0793806955605177,0.013,0.6759999999999999,False,28,-0.0819662921348314,115
rufinamide,0.0793000076794316,0.013,0.6759999999999999,False,29,-0.0884831460674157,95
afatinib,0.079279379634215,0.007,0.47600000000000003,False,30,-0.1349438202247191,11
KW-2478,0.0769015050286314,0.014,0.6875555555555556,False,31,-0.1191947565543071,28
AZD-8330,0.0764236811305565,0.003,0.2652,False,32,-0.1047191011235955,48
JQ1-(+),0.07565793584196,0.017,0.7909473684210527,False,33,-0.0939138576779026,77
VP-20629,0.0754508805904667,0.014,0.6875555555555556,False,34,-0.1169101123595505,30
