,trace_score,baseline_score,sig_reproducibility,n_cell_lines,genetic_support,pathway_concordance,n_targets
trichostatin-a,0.089475273741222,-0.1726779026217228,0.0,5,0.0,0.0,0.0
sunitinib,0.0909455991497725,-0.168314606741573,0.0,22,0.0,0.0,0.0
CC-930,0.05191819256901,-0.1612172284644194,0.0,7,0.0,0.0,0.0
trametinib,0.1170342181440016,-0.1500374531835206,0.0,13,0.0,0.0,1.0
ganetespib,0.0513367358660454,-0.1491385767790262,0.0,7,0.0,0.0,1.0
BI-2536,0.0924666501319442,-0.1488951310861423,0.0,27,0.0,0.0,1.0
VE-821,0.0564983031108789,-0.1461048689138576,0.0,19,0.0,0.0,0.0
AT7867,0.1059524010112165,-0.1440823970037453,0.0,22,0.0,0.0,0.0
fluspirilene,0.1061045476870299,-0.1425093632958801,0.0,7,0.0,0.0,1.0
STA-5326,0.1646287206202187,-0.1409925093632958,0.0,7,0.0,0.0,1.0
afatinib,0.079279379634215,-0.1349438202247191,0.0,17,0.0,0.0,3.0
volasertib,0.0626717493025158,-0.134625468164794,0.0,7,0.0,0.0,0.0
cediranib,0.1010110870751417,-0.132378277153558,0.0,7,0.0,0.0,3.0
R-428,0.0318685315080164,-0.1318539325842696,0.0,7,0.0,0.0,0.0
romidepsin,0.0947847353198309,-0.1301872659176029,0.0,7,0.0,0.0,1.0
D-4476,0.0976207984674886,-0.1293258426966292,0.0,21,0.0,0.0,0.0
PHA-848125,0.0602428119249531,-0.1289887640449438,0.0,7,0.0,0.0,4.0
HG-6-64-01,0.0358994495873832,-0.1282584269662921,0.0,15,0.0,0.0,0.0
cepharanthine,0.1203411059604048,-0.1260486891385768,0.0,7,0.0,0.0,0.0
brexpiprazole,0.0520361414103587,-0.1234456928838952,0.0,7,0.0,0.0,3.0
I-BET-762,0.0839942211745074,-0.1233895131086142,0.0,21,0.0,0.0,0.0
SNX-2112,0.0326448851321329,-0.1231835205992509,0.0,7,0.0,0.0,0.0
I-BET-151,0.0840622144943785,-0.1228089887640448,0.0,19,0.0,0.0,0.0
nintedanib,0.0936743095766512,-0.1223220973782771,0.0,17,0.0,0.0,0.0
