drug,baseline,net_trace,weighted_trace,vae_score,genetic_support,sig_reproducibility,n_cell_lines,combined_score,combined_rank
cediranib,-0.132378277153558,0.1010110870751417,0.1442041140499562,0.28644168,0.5939707944793398,0.0,7,0.8979437841916619,1
nintedanib,-0.1223220973782771,0.0936743095766512,0.0852917720335128,0.15264937,0.5939707944793398,0.0,17,0.8878513488021128,2
romidepsin,-0.1301872659176029,0.0947847353198309,0.0954447526670394,0.071244195,0.0991732743699122,0.0,7,0.8680343331446897,3
BIBX-1382,-0.0956179775280899,0.0461325810291385,0.0298580325431965,0.15263802,0.0638489720610904,0.0,7,0.8675532918317298,4
osimertinib,-0.0906179775280898,0.0582240531468546,0.0472829731555965,0.107732326,0.0638489720610904,0.0,24,0.865195246179966,5
efatutazone,0.0,0.0445175669350021,0.040382760000923,0.11335433,0.0871896792526182,0.0,7,0.8638181475193359,6
canertinib,-0.0859363295880149,0.048160065493379,0.0340869130997717,0.11372087,0.0638489720610904,0.0,17,0.8620826259196378,7
JNJ-26481585,0.0,0.0949286646412464,0.0925331569733396,0.053806257,0.0991732743699122,0.0,7,0.8618090926240333,8
dacomitinib,-0.0819662921348314,0.0793806955605177,0.0457814825610862,0.041059077,0.0638489720610904,0.0,24,0.848122995661196,9
AP-26113,-0.0814794007490636,0.0491474192330198,0.0361986442720666,0.0638385,0.0638489720610904,0.0,7,0.8475570647047727,10
vorinostat,0.0,0.0445219255647375,0.0625625137424113,0.019603381,0.0825531422312492,0.0,22,0.8365780041501604,11
rufinamide,-0.0884831460674157,0.0793000076794316,0.0495934088519572,0.009957619,0.0665243738432463,0.0,7,0.8353801169590642,12
neratinib,-0.1008052434456928,0.0601618137453098,0.0266385698086791,0.015299552,0.0638489720610904,0.0,15,0.8275608375778155,13
riluzole,-0.0948689138576779,0.0581917305967409,0.0130453473561117,0.026615774,0.0665243738432463,0.0,7,0.8267025089605734,14
AEE-788,-0.1063670411985018,0.0818801731116724,0.0555033795878343,-0.00703626,0.5924039630990924,0.0,7,0.8258253159781174,15
valdecoxib,0.0591760299625467,0.0551455752845994,0.0363426279775914,-0.0023531765,0.1050388394619332,0.0,7,0.8220713073005094,16
afatinib,-0.1349438202247191,0.079279379634215,0.0504199716609375,-0.017798956,0.0638489720610904,0.0,17,0.8145444255800792,17
baricitinib,-0.0889325842696629,0.0582027437916066,0.0151078556715098,-0.017921073,0.0647855085974392,0.0,7,0.7983399358611584,18
dasatinib,-0.0929026217228464,0.0813840538612186,0.0674006832662573,-0.066462524,0.5939707944793398,0.0,30,0.7818336162988114,19
BI-2536,-0.1488951310861423,0.0924666501319442,0.1027798414458967,0.23280975,0.0,0.0,27,0.7436710054706659,20
cepharanthine,-0.1260486891385768,0.1203411059604048,0.1084302028464698,0.15397891,0.0,0.0,7,0.7390492359932088,21
volasertib,-0.134625468164794,0.0626717493025158,0.0713254625799923,0.24492896,0.0,0.0,7,0.7384833050367855,22
JQ1-(+),-0.0939138576779026,0.07565793584196,0.0721590846967118,0.2023335,0.0,0.0,19,0.7380116959064328,23
darapladib,-0.1060112359550561,0.0537015544335819,0.0819018334335683,0.22550847,0.0,0.0,7,0.7369741558196566,24
cobimetinib,-0.120318352059925,0.0507771788054846,0.0645488647925834,0.27060983,0.0,0.0,7,0.7352763629503868,25
Ro-4987655,-0.1035767790262172,0.0614380132917211,0.0827007991713025,0.1580685,0.0,0.0,7,0.7340501792114695,26
TAK-733,-0.1154681647940074,0.0552938051801496,0.0774873416041587,0.17066751,0.0,0.0,7,0.7336728919071873,27
pitavastatin,-0.0962921348314607,0.0822129302343493,0.0849125363745083,0.1381946,0.0,0.0,7,0.7329183172986229,28
AZD-4547,-0.1042322097378277,0.0407645179857662,0.0464248271371806,0.322005,0.0,0.0,24,0.7308432371250707,29
atorvastatin,-0.0923033707865168,0.1114189474139403,0.095450555711866,0.113417774,0.0,0.0,7,0.7299000188643652,30
XMD-885,-0.1220411985018726,0.0544491859617425,0.0685329368641328,0.13484702,0.0,0.0,22,0.7261271458215431,31
XMD11-85H,-0.0647003745318352,0.0537197998517982,0.0385150582432263,0.1674198,0.0,0.0,15,0.7258441803433314,32
binimetinib,0.0,0.0394566159410294,0.0647856559689567,0.15779105,0.0,0.0,7,0.7251839275608375,33
I-BET-151,-0.1228089887640448,0.0840622144943785,0.0803621613463383,0.10839932,0.0,0.0,19,0.725089605734767,34
dovitinib,-0.0824719101123595,0.0395321057292871,0.029980443264758,0.2673207,0.0,0.0,13,0.7238634219958499,35
fluspirilene,-0.1425093632958801,0.1061045476870299,0.1111191421077898,0.09365554,0.0,0.0,7,0.7230145255612149,36
PCI-24781,0.0,0.0405989959076093,0.0803199449943894,0.13170862,0.0,0.0,7,0.7228258819090737,37
foretinib,0.0,0.0261155676982591,0.0514781678361435,0.22636901,0.0,0.0,15,0.7220713073005093,38
STA-5326,-0.1409925093632958,0.1646287206202187,0.1520722728955099,0.082858175,0.0,0.0,7,0.7216940199962271,39
XMD-1150,-0.0617602996254681,0.0329973618765467,0.0442421910299271,0.18279396,0.0,0.0,15,0.7211280890398039,40
AZD-8330,-0.1047191011235955,0.0764236811305565,0.071015758286237,0.097733654,0.0,0.0,15,0.7195246179966044,41
TG-101348,-0.0577153558052434,0.0601657867457739,0.0858108128395182,0.09895609,0.0,0.0,14,0.7195246179966044,42
refametinib,0.0,0.0282387059496049,0.0541818297364901,0.164874,0.0,0.0,7,0.7193359743444633,43
trichostatin-a,-0.1726779026217228,0.089475273741222,0.0794198498889825,0.091244824,0.0,0.0,5,0.7192416525183928,44
vandetanib,-0.1098501872659176,0.0743649091657052,0.0720093989788218,0.09700813,0.0,0.0,24,0.7190530088662516,45
NVP-TAE684,-0.0932022471910112,0.0821504791910466,0.0861444792374279,0.087234765,0.0,0.0,15,0.7188643652141106,46
AS-703026,-0.0865543071161049,0.0233911963270768,0.0508509881008465,0.19943246,0.0,0.0,7,0.71877004338804,47
XMD-16144,0.0,0.0216280359311507,0.0391665576195673,0.26692528,0.0,0.0,13,0.71707225051877,48
dacinostat,0.0,0.0939366356035574,0.0948731615702901,0.065023184,0.0,0.0,7,0.7144312393887945,49
YM-201636,-0.078314606741573,0.0833412168818309,0.0597707617811622,0.079319894,0.0,0.0,13,0.7138653084323713,50
I-BET-762,-0.1233895131086142,0.0839942211745074,0.0758689215301453,0.06726491,0.0,0.0,21,0.7137709866063007,51
trametinib,-0.1500374531835206,0.1170342181440016,0.0915387069615702,0.05983863,0.0,0.0,13,0.7134880211280891,52
bosutinib,0.0,0.0396286570201683,0.0484602067933612,0.112177655,0.0,0.0,24,0.7132050556498774,53
XMD-892,-0.1168913857677902,0.0606307297187191,0.0338634618527847,0.10336076,0.0,0.0,19,0.7117902282588191,54
AST-1306,-0.0656554307116105,0.0749161705699212,0.0125130658695608,0.13659377,0.0,0.0,22,0.7114129409545369,55
KW-2478,-0.1191947565543071,0.0769015050286314,0.1019630445086317,0.058466256,0.0,0.0,7,0.7110356536502546,56
NVP-AUY922,-0.0894756554307116,0.0637161588420081,0.0551233521404792,0.07369484,0.0,0.0,13,0.709903791737408,57
ganetespib,-0.1491385767790262,0.0513367358660454,0.0617056968835567,0.07054494,0.0,0.0,7,0.7072627806074325,58
radicicol,-0.0815543071161048,0.0466000532740775,0.0484341231949552,0.07927869,0.0,0.0,15,0.7061309186945859,59
cabazitaxel,-0.0944194756554307,0.0278072709993405,0.0203433995295013,0.14940691,0.0,0.0,7,0.705282022259951,60
WZ-4-145,-0.115936329588015,0.0895181958295982,0.0447725772699548,0.058523927,0.0,0.0,15,0.7049047349556687,61
NVP-BHG712,-0.0853932584269663,0.0653904600293584,0.0432356637123351,0.065633,0.0,0.0,19,0.7045274476513864,62
R-428,-0.1318539325842696,0.0318685315080164,0.0708171404455582,0.08223875,0.0,0.0,7,0.7036785512167515,63
ENMD-2076,-0.0712359550561797,0.0147118739874098,0.0262600187487469,0.21574697,0.0,0.0,7,0.7033955857385399,64
XL-888,-0.1161423220973782,0.0446244233056289,0.0583865970037932,0.059932195,0.0,0.0,7,0.7012261837389172,65
BVD-523,0.0,0.0127114980734982,0.0490581257791954,0.13887157,0.0,0.0,7,0.7009432182607055,66
KIN001-266,0.0,0.0217163890697113,0.0074182084728271,0.27358952,0.0,0.0,22,0.7006602527824939,67
AV-412,0.0,0.017494874186552,0.0290052671744844,0.13956702,0.0,0.0,7,0.6999056781739293,68
selumetinib,-0.080131086142322,0.0698489095238831,0.0651098544373114,0.035629418,0.0,0.0,18,0.6996227126957179,69
CC-930,-0.1612172284644194,0.05191819256901,0.0713272733407991,0.042663094,0.0,0.0,7,0.6994340690435766,70
S-ruxolitinib,-0.0960486891385767,0.0605963645462976,0.0337517471624113,0.057705447,0.0,0.0,7,0.6986794944350122,71
macitentan,-0.0758052434456928,0.0199209575890323,0.0115062527554847,0.20004366,0.0,0.0,7,0.6984908507828712,72
MK-2206,0.0,0.0309475168895245,0.0182081922690102,0.111483924,0.0,0.0,17,0.6971703452178833,73
crizotinib,0.0,0.0134863483244048,0.0185428121106878,0.18636878,0.0,0.0,15,0.6970760233918128,74
PD-184352,-0.0618913857677902,0.0398474726182421,0.0406029521977149,0.06328928,0.0,0.0,15,0.6965100924353895,75
paclitaxel,-0.098876404494382,0.0319459661823021,0.0218308189969001,0.10282231,0.0,0.0,7,0.6963214487832484,76
NU-7441,0.058820224719101,0.0260161473693273,0.0121084546410946,0.13435802,0.0,0.0,13,0.6959441614789662,77
clomifene,-0.0717228464419475,0.0334116977067967,0.0504413656898459,0.05650674,0.0,0.0,7,0.6950952650443313,78
orlistat,0.0,0.1159934148203403,0.1054371019865567,0.01262146,0.0,0.0,7,0.6949066213921902,79
bortezomib,0.0,0.0356959849723289,0.0420317512311563,0.06286105,0.0,0.0,7,0.6944350122618373,80
D-4476,-0.1293258426966292,0.0976207984674886,0.0224659952745798,0.047942467,0.0,0.0,21,0.6943406904357668,81
GSK-429286A,-0.0894756554307116,0.039790276004391,0.0251373402749675,0.070461996,0.0,0.0,19,0.6939634031314846,82
rosuvastatin,-0.0755617977528089,0.0673281329537973,0.0362181008858615,0.036290966,0.0,0.0,7,0.6939634031314846,83
pilaralisib,-0.0674344569288389,0.0246505620372901,0.0269762607713204,0.096458875,0.0,0.0,7,0.6933031503489907,84
mepacrine,0.0,0.0221167884030149,0.0040860468957099,0.17399012,0.0,0.0,7,0.6931145066968496,85
VP-20629,-0.1169101123595505,0.0754508805904667,0.0455405629608481,0.026425635,0.0,0.0,7,0.6930201848707791,86
clomethiazole,-0.0967228464419475,0.0267842494144554,0.0291962462279301,0.08553838,0.0,0.0,7,0.6922656102622147,87
lorglumide,0.0,0.0428671558386069,0.0301473468834087,0.054411232,0.0,0.0,7,0.6920769666100736,88
docetaxel,-0.077003745318352,0.0232489778064365,0.0116890527150249,0.1254998,0.0,0.0,7,0.6917940011318618,89
saracatinib,-0.1137078651685393,0.0568766329186168,0.0180795233579721,0.060811512,0.0,0.0,27,0.6912280701754386,90
temoporfin,-0.0873220973782771,0.0208685894216014,0.0131058235731606,0.1247822,0.0,0.0,7,0.6909451046972269,91
tipifarnib-P2,-0.1187453183520599,0.0430568924797369,0.011524037609992,0.092261635,0.0,0.0,7,0.6907564610450859,92
triflupromazine,0.0,0.0634034986299502,0.0357278938775058,0.031082748,0.0,0.0,7,0.6907564610450858,93
flumatinib,0.0,0.0281693526392441,0.0419016897733834,0.061758347,0.0,0.0,7,0.6901905300886625,94
thioridazine,0.0,0.0114993546944875,0.0225077974665632,0.13448575,0.0,0.0,7,0.6893416336540276,95
PFI-1,0.0,0.0412008012436505,0.0466069848318922,0.033061333,0.0,0.0,19,0.6889643463497453,96
BIX-01294,0.0747191011235955,0.0196674624750683,0.0154907095090255,0.11274246,0.0,0.0,19,0.6889643463497453,97
MG-132,-0.0817228464419475,0.043777604194365,0.0481488013128098,0.02772422,0.0,0.0,7,0.6885870590454631,98
rociletinib,-0.0844569288389513,0.0316335646848469,0.0353299251635989,0.05141356,0.0,0.0,7,0.6878324844368987,99
GSK-461364,-0.0968726591760299,0.0192333752826862,0.0320136622234944,0.081358135,0.0,0.0,21,0.687549518958687,100
pimavanserin,-0.1096816479400749,0.0514780548367177,0.044343369122683,0.025015723,0.0,0.0,7,0.6873608753065459,101
meclofenamic-acid,-0.0903558052434456,0.0155310152581229,0.0050083376894747,0.17329773,0.0,0.0,7,0.6869835880022638,102
SR-33805,0.0,0.0239987063376178,0.0738957091329603,0.036299177,0.0,0.0,7,0.6867006225240521,103
KU-60019,-0.0810674157303371,0.0305632950167066,0.0110751448928889,0.095895596,0.0,0.0,19,0.685851726089417,104
HG-14-10-04,0.0,0.0460193706366067,0.058554122422653,0.017513098,0.0,0.0,22,0.6855687606112054,105
AZ-628,0.0,0.0187093381445363,0.0269333379048885,0.08231515,0.0,0.0,24,0.6849085078287116,106
SU-014813,-0.10187265917603,0.0409330329023653,0.0210987946382229,0.04806748,0.0,0.0,7,0.684814186002641,107
isofloxythepin,-0.084943820224719,0.0154658245387748,0.0116331124446761,0.12703355,0.0,0.0,7,0.6841539332201472,108
GSK-1070916,0.0,0.0066068557245379,0.0340155194350022,0.11261594,0.0,0.0,21,0.6838709677419355,109
bisindolylmaleimide,-0.0616666666666666,0.0375886650799343,0.0762607946874581,0.015627488,0.0,0.0,7,0.6834936804376532,110
AT-9283,0.0,0.0089154859961519,0.0025942940949491,0.3578708,0.0,0.0,7,0.6832107149594416,111
AZD-7762,-0.104438202247191,0.0294559589917467,0.0056389492343664,0.09933866,0.0,0.0,27,0.6823618185248066,112
tecastemizole,-0.0623970037453183,0.036803753475237,0.0399525944659596,0.026011545,0.0,0.0,7,0.6821731748726655,113
ticagrelor,-0.0810112359550561,0.0330529198912077,0.0278721859438265,0.04000569,0.0,0.0,7,0.6818902093944539,114
metergoline,0.0,0.0068192748317552,0.0319522681964877,0.10867154,0.0,0.0,7,0.6816072439162422,115
rimcazole,0.0,0.0284362251486704,0.0274323505694642,0.044033673,0.0,0.0,7,0.680381060177325,116
AT7867,-0.1440823970037453,0.1059524010112165,0.0717854676964389,-0.005171067,0.0,0.0,22,0.6800037728730428,117
FK-866,0.0670411985018726,0.012832964533616,0.007512406745722,0.12519571,0.0,0.0,7,0.6783059800037728,118
SB-939,0.0,0.0388896013149444,0.0640053566278313,0.00815167,0.0,0.0,21,0.6772684399169968,119
sarsagenin,-0.0651685393258426,0.0268346958289855,0.0051816302358314,0.08734886,0.0,0.0,7,0.6770797962648557,120
cabergoline,-0.0577902621722846,0.0225867658711242,0.0059705187342428,0.093728215,0.0,0.0,7,0.6767025089605735,121
LY-2157299,0.0,0.0332062975499786,0.0216791573190316,0.033640336,0.0,0.0,7,0.6765138653084324,122
belinostat,0.0,0.0425670552698215,0.0598885255221072,0.0057537444,0.0,0.0,21,0.6764195434823618,123
GDC-0941,-0.0827715355805243,0.0458990747032635,0.020595557694182,0.020436695,0.0,0.0,17,0.6753820033955856,124
WZ-4002,0.0,0.0041550957316045,0.0049679655066783,0.1812019,0.0,0.0,22,0.6752876815695151,125
PD-0325901,-0.1215355805243445,0.0931302568835778,0.0740970412998359,-0.0110442685,0.0,0.0,30,0.6750990379173741,126
bazedoxifene,0.0649063670411984,0.0174140515527349,0.0518781913471761,0.030381804,0.0,0.0,7,0.6748160724391624,127
meisoindigo,0.0,0.0207003793656349,-0.0098357796739186,0.16789438,0.0,0.0,7,0.674061497830598,128
apabetalone,0.0,0.0152855248851928,0.0368038490636005,0.046040036,0.0,0.0,7,0.6739671760045275,129
varenicline,0.0,0.0172980368105465,-0.0015196452033259,0.12732464,0.0,0.0,7,0.6734012450481041,130
EMD-1214063,0.0,0.0375963921356862,0.0241097442150748,0.019862026,0.0,0.0,7,0.6731182795698925,131
carfilzomib,0.0,0.0181505730702242,0.0114724261279364,0.07557786,0.0,0.0,7,0.6730239577438218,132
kakonein,0.0,0.0358713512051251,0.0019781228671057,0.06612927,0.0,0.0,7,0.6726466704395397,133
CEP-37440,0.0,-0.0012686344603817,0.0279467213254106,0.12537977,0.0,0.0,7,0.6726466704395397,134
AVL-292,-0.1008239700374531,0.0391013287496834,0.0131869508809529,0.029725406,0.0,0.0,7,0.6724580267873986,135
ixabepilone,-0.0731460674157303,0.0169591968928652,-0.0044587806282561,0.14126313,0.0,0.0,7,0.672363704961328,136
PHA-848125,-0.1289887640449438,0.0602428119249531,0.0368275263131257,-0.002626981,0.0,0.0,7,0.6720807394831164,137
LCQ-908,-0.0926029962546816,0.0303270026153766,0.0178213036579409,0.031149818,0.0,0.0,7,0.6715148085266931,138
BIIB-021,-0.0864232209737827,0.0329542429040942,0.0583137896884107,0.0055355,0.0,0.0,7,0.6714204867006225,139
clonazepam,-0.1040823970037453,0.0595055191330422,0.0057368996909296,0.028786745,0.0,0.0,7,0.671326164874552,140
bruceantin,0.0625280898876404,0.0097519190050567,0.001191234040549,0.14063098,0.0,0.0,7,0.6710431993963403,141
AZD-3514,0.0611610486891385,0.0001345607074534,0.0157504938826443,0.13019532,0.0,0.0,7,0.6700056593095642,142
PF-03084014,0.0,0.0138126733976774,-0.0072294387262652,0.16519581,0.0,0.0,7,0.6699113374834936,143
sertraline,0.0,0.0003958791507775,0.0599825305728749,0.07109368,0.0,0.0,7,0.6698170156574231,144
NPK76-II-72-1,0.0,0.0073808988635133,-0.0003239232213736,0.15487422,0.0,0.0,19,0.669628372005282,145
palbociclib,0.0,0.001386789825137,0.0015248573951526,0.2230235,0.0,0.0,18,0.6693454065270704,146
colchicine,-0.0660299625468164,0.0044380832456462,0.0143077124932211,0.10538013,0.0,0.0,7,0.6688737973967176,147
camptothecin,0.0,0.0018384317085605,-0.0014636826874462,0.26199558,0.0,0.0,7,0.6681192227881532,148
laropiprant,-0.0687453183520599,0.0192011613345233,0.0256294550679558,0.026939273,0.0,0.0,7,0.6672703263535182,149
