drug,baseline,net_trace,weighted_trace,vae_score,genetic_support,sig_reproducibility,n_cell_lines,combined_score,combined_rank,genetic_support_expanded,combined_score_expanded,combined_rank_expanded
cediranib,-0.132378277153558,0.1010110870751417,0.1442041140499562,0.28644168,0.5939707944793398,0.0,7,0.8979437841916619,1,0.5939707944793398,0.22869678188137277,1
nintedanib,-0.1223220973782771,0.0936743095766512,0.0852917720335128,0.15264937,0.5939707944793398,0.0,17,0.8878513488021128,2,0.5939707944793398,0.22502839313212752,2
dasatinib,-0.0929026217228464,0.0813840538612186,0.0674006832662573,-0.066462524,0.5939707944793398,0.0,30,0.7818336162988114,19,0.5939707944793398,0.21888326527441124,3
AEE-788,-0.1063670411985018,0.0818801731116724,0.0555033795878343,-0.00703626,0.5924039630990924,0.0,7,0.8258253159781174,15,0.5924039630990924,0.2186612754855639,4
STA-5326,-0.1409925093632958,0.1646287206202187,0.1520722728955099,0.082858175,0.0,0.0,7,0.7216940199962271,39,0.0,0.08231436031010934,5
JNJ-26481585,0.0,0.0949286646412464,0.0925331569733396,0.053806257,0.0991732743699122,0.0,7,0.8618090926240333,8,0.0991732743699122,0.07721631463159687,6
romidepsin,-0.1301872659176029,0.0947847353198309,0.0954447526670394,0.071244195,0.0991732743699122,0.0,7,0.8680343331446897,3,0.0991732743699122,0.07714434997088912,7
cepharanthine,-0.1260486891385768,0.1203411059604048,0.1084302028464698,0.15397891,0.0,0.0,7,0.7390492359932088,21,0.0,0.0601705529802024,8
rufinamide,-0.0884831460674157,0.0793000076794316,0.0495934088519572,0.009957619,0.0665243738432463,0.0,7,0.8353801169590642,12,0.0665243738432463,0.05960731599268969,9
valdecoxib,0.0591760299625467,0.0551455752845994,0.0363426279775914,-0.0023531765,0.1050388394619332,0.0,7,0.8220713073005094,16,0.1050388394619332,0.05908443948087966,10
dacomitinib,-0.0819662921348314,0.0793806955605177,0.0457814825610862,0.041059077,0.0638489720610904,0.0,24,0.848122995661196,9,0.0638489720610904,0.05884503939858597,11
afatinib,-0.1349438202247191,0.079279379634215,0.0504199716609375,-0.017798956,0.0638489720610904,0.0,17,0.8145444255800792,17,0.0638489720610904,0.05879438143543462,12
trametinib,-0.1500374531835206,0.1170342181440016,0.0915387069615702,0.05983863,0.0,0.0,13,0.7134880211280891,52,0.0,0.0585171090720008,13
orlistat,0.0,0.1159934148203403,0.1054371019865567,0.01262146,0.0,0.0,7,0.6949066213921902,79,0.0,0.05799670741017015,14
WH-4-025,-0.0950749063670412,0.1141349760442371,0.0973798574899344,-0.05078294,0.0,0.0,13,0.6465195246179966,201,0.0,0.05706748802211855,15
atorvastatin,-0.0923033707865168,0.1114189474139403,0.095450555711866,0.113417774,0.0,0.0,7,0.7299000188643652,30,0.0,0.05570947370697015,16
fluspirilene,-0.1425093632958801,0.1061045476870299,0.1111191421077898,0.09365554,0.0,0.0,7,0.7230145255612149,36,0.0,0.05305227384351495,17
AT7867,-0.1440823970037453,0.1059524010112165,0.0717854676964389,-0.005171067,0.0,0.0,22,0.6800037728730428,117,0.0,0.05297620050560825,18
bafilomycin a1,0.0,0.1028006358958682,0.0652232955664954,-0.08167074,0.0,0.0,5,0.6234106772307112,295,0.0,0.0514003179479341,19
