drug,net_trace,weighted_trace,vae_score,baseline,sig_reproducibility,n_cell_lines,reversal_rank,reversal_pct
STA-5326,0.1646287206202187,0.1520722728955099,0.082858175,-0.1409925093632958,0.0,7,1,0.056561085972850686
cepharanthine,0.1203411059604048,0.1084302028464698,0.15397891,-0.1260486891385768,0.0,7,2,0.11312217194570137
trametinib,0.1170342181440016,0.0915387069615702,0.05983863,-0.1500374531835206,0.0,13,3,0.16968325791855204
orlistat,0.1159934148203403,0.1054371019865567,0.01262146,0.0,0.0,7,4,0.22624434389140274
WH-4-025,0.1141349760442371,0.0973798574899344,-0.05078294,-0.0950749063670412,0.0,13,5,0.2828054298642534
atorvastatin,0.1114189474139403,0.095450555711866,0.113417774,-0.0923033707865168,0.0,7,6,0.3393665158371041
fluspirilene,0.1061045476870299,0.1111191421077898,0.09365554,-0.1425093632958801,0.0,7,7,0.39592760180995473
AT7867,0.1059524010112165,0.0717854676964389,-0.005171067,-0.1440823970037453,0.0,22,8,0.4524886877828055
bafilomycin a1,0.1028006358958682,0.0652232955664954,-0.08167074,0.0,0.0,5,9,0.5090497737556561
cediranib,0.1010110870751417,0.1442041140499562,0.28644168,-0.132378277153558,0.0,7,10,0.5656108597285068
D-4476,0.0976207984674886,0.0224659952745798,0.047942467,-0.1293258426966292,0.0,21,11,0.6221719457013575
JNJ-26481585,0.0949286646412464,0.0925331569733396,0.053806257,0.0,0.0,7,12,0.6787330316742082
romidepsin,0.0947847353198309,0.0954447526670394,0.071244195,-0.1301872659176029,0.0,7,13,0.7352941176470588
dacinostat,0.0939366356035574,0.0948731615702901,0.065023184,0.0,0.0,7,14,0.7918552036199095
nintedanib,0.0936743095766512,0.0852917720335128,0.15264937,-0.1223220973782771,0.0,17,15,0.8484162895927602
PD-0325901,0.0931302568835778,0.0740970412998359,-0.0110442685,-0.1215355805243445,0.0,30,16,0.904977375565611
BI-2536,0.0924666501319442,0.1027798414458967,0.23280975,-0.1488951310861423,0.0,27,17,0.9615384615384616
sunitinib,0.0909455991497725,0.07324470090129,-0.0732686,-0.168314606741573,0.0,22,18,1.0180995475113122
WZ-4-145,0.0895181958295982,0.0447725772699548,0.058523927,-0.115936329588015,0.0,15,19,1.0746606334841629
trichostatin-a,0.089475273741222,0.0794198498889825,0.091244824,-0.1726779026217228,0.0,5,20,1.1312217194570136
I-BET-151,0.0840622144943785,0.0803621613463383,0.10839932,-0.1228089887640448,0.0,19,21,1.1877828054298643
I-BET-762,0.0839942211745074,0.0758689215301453,0.06726491,-0.1233895131086142,0.0,21,22,1.244343891402715
YM-201636,0.0833412168818309,0.0597707617811622,0.079319894,-0.078314606741573,0.0,13,23,1.3009049773755657
pitavastatin,0.0822129302343493,0.0849125363745083,0.1381946,-0.0962921348314607,0.0,7,24,1.3574660633484164
NVP-TAE684,0.0821504791910466,0.0861444792374279,0.087234765,-0.0932022471910112,0.0,15,25,1.414027149321267
AEE-788,0.0818801731116724,0.0555033795878343,-0.00703626,-0.1063670411985018,0.0,7,26,1.4705882352941175
dasatinib,0.0813840538612186,0.0674006832662573,-0.066462524,-0.0929026217228464,0.0,30,27,1.5271493212669682
dacomitinib,0.0793806955605177,0.0457814825610862,0.041059077,-0.0819662921348314,0.0,24,28,1.583710407239819
rufinamide,0.0793000076794316,0.0495934088519572,0.009957619,-0.0884831460674157,0.0,7,29,1.6402714932126699
afatinib,0.079279379634215,0.0504199716609375,-0.017798956,-0.1349438202247191,0.0,17,30,1.6968325791855203
KW-2478,0.0769015050286314,0.1019630445086317,0.058466256,-0.1191947565543071,0.0,7,31,1.753393665158371
AZD-8330,0.0764236811305565,0.071015758286237,0.097733654,-0.1047191011235955,0.0,15,32,1.809954751131222
JQ1-(+),0.07565793584196,0.0721590846967118,0.2023335,-0.0939138576779026,0.0,19,33,1.8665158371040724
VP-20629,0.0754508805904667,0.0455405629608481,0.026425635,-0.1169101123595505,0.0,7,34,1.9230769230769231
AST-1306,0.0749161705699212,0.0125130658695608,0.13659377,-0.0656554307116105,0.0,22,35,1.9796380090497736
vandetanib,0.0743649091657052,0.0720093989788218,0.09700813,-0.1098501872659176,0.0,24,36,2.0361990950226243
KN-62,0.0723036970694837,0.0160620890795744,-0.53991455,-0.1010674157303371,0.0,5,37,2.092760180995475
selumetinib,0.0698489095238831,0.0651098544373114,0.035629418,-0.080131086142322,0.0,18,38,2.1493212669683257
simvastatin,0.0684920594655081,0.0802400850033372,-0.46935016,0.0,0.0,7,39,2.2058823529411766
AS-605240,0.0673550714064886,0.0233298085086737,-0.031595,0.0,0.0,17,40,2.262443438914027
rosuvastatin,0.0673281329537973,0.0362181008858615,0.036290966,-0.0755617977528089,0.0,7,41,2.319004524886878
proglumide,0.066816620874361,0.031466167292847,-0.05564912,-0.0910861423220974,0.0,7,42,2.3755656108597285
fomocaine,0.0667647078988136,0.0477408167065983,-0.05056052,-0.0769101123595505,0.0,7,43,2.4321266968325794
NVP-BHG712,0.0653904600293584,0.0432356637123351,0.065633,-0.0853932584269663,0.0,19,44,2.48868778280543
clonidine,0.0640070262280149,0.0276143916138816,-0.07732544,-0.10812734082397,0.0,7,45,2.5452488687782804
PF-02545920,0.0640014252633736,0.0316605507898878,-0.009519188,-0.0678464419475655,0.0,7,46,2.6018099547511313
NVP-AUY922,0.0637161588420081,0.0551233521404792,0.07369484,-0.0894756554307116,0.0,13,47,2.658371040723982
triflupromazine,0.0634034986299502,0.0357278938775058,0.031082748,0.0,0.0,7,48,2.7149321266968327
volasertib,0.0626717493025158,0.0713254625799923,0.24492896,-0.134625468164794,0.0,7,49,2.771493212669683
Ro-4987655,0.0614380132917211,0.0827007991713025,0.1580685,-0.1035767790262172,0.0,7,50,2.828054298642534
XMD-892,0.0606307297187191,0.0338634618527847,0.10336076,-0.1168913857677902,0.0,19,51,2.8846153846153846
S-ruxolitinib,0.0605963645462976,0.0337517471624113,0.057705447,-0.0960486891385767,0.0,7,52,2.941176470588235
gallopamil,0.0604347381488696,0.0671298860466157,-0.054313302,-0.0663295880149812,0.0,7,53,2.997737556561086
PHA-848125,0.0602428119249531,0.0368275263131257,-0.002626981,-0.1289887640449438,0.0,7,54,3.0542986425339365
TG-101348,0.0601657867457739,0.0858108128395182,0.09895609,-0.0577153558052434,0.0,14,55,3.1108597285067874
neratinib,0.0601618137453098,0.0266385698086791,0.015299552,-0.1008052434456928,0.0,15,56,3.167420814479638
clonazepam,0.0595055191330422,0.0057368996909296,0.028786745,-0.1040823970037453,0.0,7,57,3.2239819004524892
UNC-0638,0.0590758116054647,0.0455049467688451,-0.035595372,0.0,0.0,19,58,3.2805429864253397
alvespimycin,0.0585728459876997,0.0604380061771261,-0.17610066,-0.1110299625468164,0.0,7,59,3.33710407239819
osimertinib,0.0582240531468546,0.0472829731555965,0.107732326,-0.0906179775280898,0.0,24,60,3.3936651583710407
baricitinib,0.0582027437916066,0.0151078556715098,-0.017921073,-0.0889325842696629,0.0,7,61,3.4502262443438916
riluzole,0.0581917305967409,0.0130453473561117,0.026615774,-0.0948689138576779,0.0,7,62,3.506787330316742
saracatinib,0.0568766329186168,0.0180795233579721,0.060811512,-0.1137078651685393,0.0,27,63,3.5633484162895925
VE-821,0.0564983031108789,0.0239684002168382,-0.060072575,-0.1461048689138576,0.0,19,64,3.619909502262444
tanespimycin,0.0561812825065102,0.0494222427711414,-0.04765071,-0.0730524344569288,0.0,21,65,3.6764705882352944
TAK-733,0.0552938051801496,0.0774873416041587,0.17066751,-0.1154681647940074,0.0,7,66,3.733031674208145
valdecoxib,0.0551455752845994,0.0363426279775914,-0.0023531765,0.0591760299625467,0.0,7,67,3.7895927601809953
geldanamycin,0.0545633614618235,0.0451628273594017,-0.015904889,-0.0702996254681648,0.0,16,68,3.8461538461538463
XMD-885,0.0544491859617425,0.0685329368641328,0.13484702,-0.1220411985018726,0.0,22,69,3.9027149321266967
XMD11-85H,0.0537197998517982,0.0385150582432263,0.1674198,-0.0647003745318352,0.0,15,70,3.959276018099547
darapladib,0.0537015544335819,0.0819018334335683,0.22550847,-0.1060112359550561,0.0,7,71,4.015837104072398
mizolastine,0.0525896975544685,0.046633307579398,-0.010248113,0.0,0.0,7,72,4.072398190045249
lonidamine,0.0522707453283154,-0.0049114465756942,0.048327535,-0.0675093632958801,0.0,7,73,4.128959276018099
tie2-kinase-inhibitor,0.0522521248293169,0.0318796897321443,-0.040623512,-0.0969475655430711,0.0,19,74,4.18552036199095
brexpiprazole,0.0520361414103587,0.0212578071168807,-0.056440283,-0.1234456928838952,0.0,7,75,4.242081447963801
CC-930,0.05191819256901,0.0713272733407991,0.042663094,-0.1612172284644194,0.0,7,76,4.298642533936651
pimavanserin,0.0514780548367177,0.044343369122683,0.025015723,-0.1096816479400749,0.0,7,77,4.355203619909502
ganetespib,0.0513367358660454,0.0617056968835567,0.07054494,-0.1491385767790262,0.0,7,78,4.411764705882353
MK-2461,0.0509250996935476,-0.0131718317906248,0.003167728,-0.1119101123595506,0.0,7,79,4.468325791855204
licarbazepine,0.0507998184214197,0.0150791795972147,0.0010593918,0.0,0.0,7,80,4.524886877828054
cobimetinib,0.0507771788054846,0.0645488647925834,0.27060983,-0.120318352059925,0.0,7,81,4.581447963800905
AP-26113,0.0491474192330198,0.0361986442720666,0.0638385,-0.0814794007490636,0.0,7,82,4.638009049773756
ST-1859,0.0486171468209304,0.0220222692236792,-0.08756031,-0.0681835205992509,0.0,7,83,4.6945701357466065
canertinib,0.048160065493379,0.0340869130997717,0.11372087,-0.0859363295880149,0.0,17,84,4.751131221719457
SB-525334,0.0474370086007589,0.0250525918952132,-0.12119309,0.0,0.0,22,85,4.807692307692308
NVP-TAE226,0.0471837450986605,0.0284287217948642,-0.07823979,-0.0879026217228464,0.0,22,86,4.864253393665159
radicicol,0.0466000532740775,0.0484341231949552,0.07927869,-0.0815543071161048,0.0,15,87,4.920814479638009
BIBX-1382,0.0461325810291385,0.0298580325431965,0.15263802,-0.0956179775280899,0.0,7,88,4.97737556561086
HG-14-10-04,0.0460193706366067,0.058554122422653,0.017513098,0.0,0.0,22,89,5.03393665158371
GDC-0941,0.0458990747032635,0.020595557694182,0.020436695,-0.0827715355805243,0.0,17,90,5.090497737556561
AT-13387,0.0453550159456131,0.0460359309879466,-0.031167189,-0.1085580524344569,0.0,7,91,5.147058823529411
XL-888,0.0446244233056289,0.0583865970037932,0.059932195,-0.1161423220973782,0.0,7,92,5.203619909502263
pravastatin,0.0445469692123049,0.0322594291018633,-0.074845426,-0.0648876404494381,0.0,8,93,5.260180995475113
vorinostat,0.0445219255647375,0.0625625137424113,0.019603381,0.0,0.0,22,94,5.316742081447964
efatutazone,0.0445175669350021,0.040382760000923,0.11335433,0.0,0.0,7,95,5.373303167420815
PK-11195,0.0441432274863732,0.0070150387312641,-0.09040659,0.0,0.0,7,96,5.429864253393665
doxofylline,0.0439170376666387,0.0010719147397238,0.006804231,0.0,0.0,7,97,5.486425339366516
MG-132,0.043777604194365,0.0481488013128098,0.02772422,-0.0817228464419475,0.0,7,98,5.542986425339366
metronidazole,0.0433696974277885,0.0192080633786579,-0.07474836,0.0,0.0,7,99,5.599547511312218
tipifarnib-P2,0.0430568924797369,0.011524037609992,0.092261635,-0.1187453183520599,0.0,7,100,5.656108597285068
lorglumide,0.0428671558386069,0.0301473468834087,0.054411232,0.0,0.0,7,101,5.712669683257919
belinostat,0.0425670552698215,0.0598885255221072,0.0057537444,0.0,0.0,21,102,5.769230769230769
famciclovir,0.0424416167783047,0.0150031978586074,-0.013425777,0.0,0.0,7,103,5.82579185520362
calpain inhibitor ii,0.0421623829135591,0.0101653664399504,-0.43809658,0.0,0.0,5,104,5.88235294117647
PFI-1,0.0412008012436505,0.0466069848318922,0.033061333,0.0,0.0,19,105,5.938914027149321
SU-014813,0.0409330329023653,0.0210987946382229,0.04806748,-0.10187265917603,0.0,7,106,5.995475113122172
anagrelide,0.0408527620111257,-0.0143888973539883,-0.021042772,0.0,0.0,7,107,6.052036199095022
AZD-4547,0.0407645179857662,0.0464248271371806,0.322005,-0.1042322097378277,0.0,24,108,6.108597285067873
ulipristal,0.0406407019855174,0.0189331128175296,-0.041317772,0.0,0.0,7,109,6.165158371040724
PCI-24781,0.0405989959076093,0.0803199449943894,0.13170862,0.0,0.0,7,110,6.221719457013575
zolpidem,0.0405115721389588,0.0256268731829539,-0.009137039,-0.0950187265917602,0.0,7,111,6.278280542986425
PD-184352,0.0398474726182421,0.0406029521977149,0.06328928,-0.0618913857677902,0.0,15,112,6.334841628959276
GSK-429286A,0.039790276004391,0.0251373402749675,0.070461996,-0.0894756554307116,0.0,19,113,6.391402714932126
bosutinib,0.0396286570201683,0.0484602067933612,0.112177655,0.0,0.0,24,114,6.4479638009049784
