drug,trace_score,trace_rank
STA-5326,0.16462872062021874,1
cepharanthine,0.12034110596040488,2
trametinib,0.11703421814400168,3
orlistat,0.11599341482034035,4
WH-4-025,0.11413497604423714,5
atorvastatin,0.1114189474139403,6
fluspirilene,0.10610454768702997,7
AT7867,0.10595240101121654,8
bafilomycin a1,0.10280063589586823,9
cediranib,0.1010110870751417,10
D-4476,0.09762079846748864,11
JNJ-26481585,0.09492866464124644,12
romidepsin,0.09478473531983099,13
dacinostat,0.09393663560355749,14
nintedanib,0.09367430957665121,15
PD-0325901,0.09313025688357786,16
BI-2536,0.09246665013194422,17
sunitinib,0.09094559914977252,18
WZ-4-145,0.08951819582959826,19
trichostatin-a,0.08947527374122206,20
I-BET-151,0.08406221449437852,21
I-BET-762,0.08399422117450744,22
YM-201636,0.08334121688183091,23
pitavastatin,0.08221293023434932,24
NVP-TAE684,0.08215047919104664,25
AEE-788,0.08188017311167246,26
dasatinib,0.08138405386121864,27
dacomitinib,0.07938069556051772,28
rufinamide,0.0793000076794316,29
afatinib,0.079279379634215,30
KW-2478,0.07690150502863144,31
AZD-8330,0.0764236811305565,32
JQ1-(+),0.07565793584196,33
VP-20629,0.07545088059046672,34
AST-1306,0.0749161705699212,35
vandetanib,0.07436490916570525,36
KN-62,0.07230369706948372,37
selumetinib,0.06984890952388316,38
simvastatin,0.0684920594655081,39
AS-605240,0.06735507140648862,40
rosuvastatin,0.06732813295379739,41
proglumide,0.06681662087436104,42
fomocaine,0.0667647078988136,43
NVP-BHG712,0.06539046002935843,44
clonidine,0.0640070262280149,45
PF-02545920,0.06400142526337368,46
NVP-AUY922,0.06371615884200814,47
triflupromazine,0.06340349862995028,48
volasertib,0.06267174930251586,49
Ro-4987655,0.061438013291721105,50
XMD-892,0.06063072971871915,51
S-ruxolitinib,0.06059636454629762,52
gallopamil,0.06043473814886962,53
PHA-848125,0.06024281192495316,54
TG-101348,0.06016578674577396,55
neratinib,0.0601618137453098,56
clonazepam,0.05950551913304223,57
UNC-0638,0.0590758116054647,58
alvespimycin,0.058572845987699775,59
osimertinib,0.05822405314685461,60
baricitinib,0.05820274379160668,61
riluzole,0.058191730596740994,62
saracatinib,0.05687663291861682,63
VE-821,0.056498303110878986,64
tanespimycin,0.05618128250651022,65
TAK-733,0.055293805180149695,66
valdecoxib,0.05514557528459948,67
geldanamycin,0.054563361461823515,68
XMD-885,0.05444918596174256,69
XMD11-85H,0.05371979985179828,70
darapladib,0.05370155443358191,71
mizolastine,0.052589697554468566,72
lonidamine,0.05227074532831546,73
tie2-kinase-inhibitor,0.052252124829316925,74
brexpiprazole,0.052036141410358776,75
CC-930,0.05191819256901002,76
pimavanserin,0.051478054836717746,77
ganetespib,0.05133673586604548,78
MK-2461,0.05092509969354764,79
licarbazepine,0.05079981842141973,80
cobimetinib,0.05077717880548462,81
AP-26113,0.049147419233019865,82
ST-1859,0.04861714682093049,83
canertinib,0.04816006549337907,84
SB-525334,0.04743700860075893,85
NVP-TAE226,0.04718374509866056,86
radicicol,0.046600053274077596,87
BIBX-1382,0.046132581029138586,88
HG-14-10-04,0.0460193706366067,89
GDC-0941,0.04589907470326354,90
AT-13387,0.045355015945613156,91
XL-888,0.044624423305628935,92
pravastatin,0.04454696921230496,93
vorinostat,0.044521925564737594,94
efatutazone,0.04451756693500218,95
PK-11195,0.0441432274863732,96
doxofylline,0.04391703766663878,97
MG-132,0.043777604194365057,98
metronidazole,0.04336969742778853,99
tipifarnib-P2,0.04305689247973699,100
lorglumide,0.04286715583860696,101
belinostat,0.04256705526982157,102
famciclovir,0.04244161677830476,103
calpain inhibitor ii,0.04216238291355913,104
PFI-1,0.041200801243650526,105
SU-014813,0.040933032902365316,106
anagrelide,0.04085276201112576,107
AZD-4547,0.04076451798576621,108
ulipristal,0.04064070198551749,109
