drug,weighted_trace,weighted_rank
STA-5326,0.15207227289550998,1
cediranib,0.14420411404995626,2
fluspirilene,0.11111914210778981,3
cepharanthine,0.10843020284646988,4
orlistat,0.1054371019865567,5
BI-2536,0.10277984144589679,6
KW-2478,0.10196304450863175,7
WH-4-025,0.09737985748993445,8
atorvastatin,0.095450555711866,9
romidepsin,0.09544475266703945,10
dacinostat,0.09487316157029017,11
JNJ-26481585,0.09253315697333968,12
trametinib,0.09153870696157024,13
NVP-TAE684,0.08614447923742793,14
TG-101348,0.08581081283951827,15
nintedanib,0.08529177203351287,16
pitavastatin,0.08491253637450834,17
Ro-4987655,0.08270079917130252,18
darapladib,0.08190183343356831,19
I-BET-151,0.08036216134633832,20
PCI-24781,0.08031994499438944,21
simvastatin,0.0802400850033372,22
trichostatin-a,0.07941984988898251,23
TAK-733,0.07748734160415872,24
bisindolylmaleimide,0.07626079468745817,25
I-BET-762,0.07586892153014535,26
PD-0325901,0.07409704129983595,27
SR-33805,0.07389570913296031,28
sunitinib,0.07324470090129005,29
JQ1-(+),0.07215908469671185,30
vandetanib,0.0720093989788218,31
AT7867,0.0717854676964389,32
CC-930,0.07132727334079916,33
volasertib,0.07132546257999232,34
AZD-8330,0.07101575828623709,35
R-428,0.07081714044555829,36
raloxifene,0.0691670692568941,37
XMD-885,0.06853293686413289,38
fulvestrant,0.06815691511161182,39
dasatinib,0.06740068326625735,40
gallopamil,0.06712988604661572,41
bafilomycin a1,0.06522329556649548,42
selumetinib,0.06510985443731146,43
binimetinib,0.06478565596895676,44
cobimetinib,0.06454886479258347,45
SB-939,0.06400535662783138,46
protriptyline,0.06329518584212825,47
vorinostat,0.0625625137424113,48
ganetespib,0.0617056968835567,49
alvespimycin,0.060438006177126156,50
sertraline,0.05998253057287497,51
belinostat,0.05988852552210727,52
YM-201636,0.05977076178116229,53
HG-14-10-04,0.05855412242265303,54
XL-888,0.05838659700379324,55
BIIB-021,0.05831378968841072,56
AEE-788,0.05550337958783435,57
NVP-AUY922,0.05512335214047928,58
refametinib,0.05418182973649012,59
dronedarone,0.05415326394369157,60
bazedoxifene,0.051878191347176125,61
foretinib,0.051478167836143514,62
AS-703026,0.050850988100846574,63
clomifene,0.050441365689845946,64
afatinib,0.050419971660937556,65
rufinamide,0.04959340885195724,66
tanespimycin,0.049422242771141475,67
BVD-523,0.04905812577919549,68
bosutinib,0.048460206793361264,69
radicicol,0.04843412319495524,70
MG-132,0.04814880131280988,71
fomocaine,0.047740816706598375,72
osimertinib,0.04728297315559659,73
pentobarbital,0.047019798038988286,74
EPZ-005687,0.04684712658101318,75
mizolastine,0.04663330757939805,76
PFI-1,0.04660698483189227,77
AZD-4547,0.046424827137180616,78
AT-13387,0.04603593098794664,79
dacomitinib,0.04578148256108621,80
VP-20629,0.04554056296084814,81
UNC-0638,0.045504946768845145,82
geldanamycin,0.04516282735940177,83
CEP-32496,0.045078978529030186,84
WZ-4-145,0.044772577269954886,85
pimavanserin,0.04434336912268304,86
XMD-1150,0.04424219102992716,87
paracetamol,0.04328509813491377,88
NVP-BHG712,0.04323566371233514,89
KIN001-127,0.04203257885845533,90
bortezomib,0.04203175123115631,91
flumatinib,0.04190168977338341,92
PD-184352,0.04060295219771493,93
efatutazone,0.04038276000092305,94
BMS-599626,0.04023894614902461,95
tecastemizole,0.039952594465959626,96
lacidipine,0.039366704615690966,97
XMD-16144,0.039166557619567346,98
XMD11-85H,0.0385150582432263,99
SNX-2112,0.03830601436796561,100
PHA-848125,0.03682752631312576,101
apabetalone,0.036803849063600506,102
valdecoxib,0.03634262797759147,103
amitriptyline,0.03634188050325653,104
rosuvastatin,0.03621810088586159,105
AP-26113,0.03619864427206667,106
triflupromazine,0.03572789387750581,107
rociletinib,0.035329925163598945,108
resminostat,0.03502796523802213,109
lomitapide,0.03463709984616253,110
BMS-509744,0.03461854101013763,111
canertinib,0.03408691309977178,112
GSK-1070916,0.034015519435002285,113
conivaptan,0.033945711645598224,114
XMD-892,0.03386346185278479,115
S-ruxolitinib,0.03375174716241134,116
atovaquone,0.033508020048480316,117
atipamezole,0.03313092172308362,118
HG-6-64-01,0.03308748616001134,119
pravastatin,0.03225942910186339,120
GSK-461364,0.03201366222349444,121
metergoline,0.03195226819648772,122
tie2-kinase-inhibitor,0.031879689732144355,123
PF-02545920,0.031660550789887804,124
proglumide,0.03146616729284707,125
TAK-285,0.03136561746704767,126
