gene_symbol,log2FC,pvalue,padj,dataset
RP11-34P13.3,0.0016742685,0.32818297,0.6361638969490901,GSE135893
FAM138A,0.0,,1.0,GSE135893
OR4F5,0.0,,1.0,GSE135893
RP11-34P13.7,-0.00023722401,0.109122895,0.35571243862551233,GSE135893
RP11-34P13.8,0.0,,1.0,GSE135893
RP11-34P13.14,-1.6396536e-05,0.32818285,0.6361638969490901,GSE135893
RP11-34P13.9,0.0,,1.0,GSE135893
FO538757.3,-0.001101069,0.2841071,0.6361638969490901,GSE135893
FO538757.2,-0.04216738,0.43351904,0.7834266765758926,GSE135893
AP006222.2,0.0081317965,0.4405775,0.7933001861008867,GSE135893
RP5-857K21.15,-0.00037205967,0.32818285,0.6361638969490901,GSE135893
RP4-669L17.2,0.0,,1.0,GSE135893
RP4-669L17.10,-0.003494018,0.0126968175,0.07550415980007974,GSE135893
OR4F29,0.0,,1.0,GSE135893
RP5-857K21.4,0.0006069224,0.35002932,0.6683982936847511,GSE135893
RP5-857K21.2,0.0,,1.0,GSE135893
OR4F16,0.0,,1.0,GSE135893
RP11-206L10.4,0.0,,1.0,GSE135893
RP11-206L10.9,-0.0067422297,0.21199201,0.5427704256016614,GSE135893
FAM87B,0.00011055096,0.7003418,1.0,GSE135893
LINC00115,0.010628185,0.28879493,0.6361638969490901,GSE135893
FAM41C,-0.006665434,0.002205854,0.01950762370745517,GSE135893
RP11-54O7.16,0.0,,1.0,GSE135893
RP11-54O7.1,0.0,,1.0,GSE135893
RP11-54O7.2,0.0,,1.0,GSE135893
RP11-54O7.3,-2.6907888e-05,0.328183,0.6361638969490901,GSE135893
SAMD11,0.0,,1.0,GSE135893
NOC2L,-0.048425823,0.07993906,0.28774651292201026,GSE135893
KLHL17,0.0037497296,0.53857255,0.9219928611743353,GSE135893
PLEKHN1,0.0060492484,0.27304834,0.6361638969490901,GSE135893
PERM1,-0.0008085575,0.7244047,1.0,GSE135893
RP11-54O7.17,0.0007121295,0.7283466,1.0,GSE135893
HES4,0.25323918,1.1186885e-06,4.524980780546202e-05,GSE135893
ISG15,0.08250156,0.044724975,0.1906583122824232,GSE135893
RP11-54O7.11,0.0,,1.0,GSE135893
AGRN,0.31200927,1.309594e-06,5.071892137310761e-05,GSE135893
RP11-54O7.18,-0.00012990015,0.32818288,0.6361638969490901,GSE135893
RNF223,0.01821711,0.04037456,0.177456348991576,GSE135893
C1orf159,0.016259791,0.1675669,0.47030395472461806,GSE135893
LINC01342,-4.5263238e-05,0.17818375,0.4862101756984801,GSE135893
RP11-465B22.8,-0.005997389,0.057374306,0.2267913968961796,GSE135893
TTLL10-AS1,0.0,,1.0,GSE135893
TTLL10,-0.001206832,0.28631788,0.6361638969490901,GSE135893
TNFRSF18,0.0014363665,0.3521008,0.6712506508427911,GSE135893
TNFRSF4,-0.0013172409,0.16470149,0.4657166190629797,GSE135893
SDF4,-0.13370281,0.0064771404,0.04514703499176375,GSE135893
B3GALT6,-0.021596968,0.16693316,0.4694589074026485,GSE135893
FAM132A,-0.001343058,0.26504818,0.6283090110945269,GSE135893
RP5-902P8.12,-0.00019928566,0.07724907,0.2809921460163641,GSE135893
UBE2J2,-0.013823852,0.63760495,1.0,GSE135893
RP5-902P8.10,0.00015068417,0.32818285,0.6361638969490901,GSE135893
SCNN1D,-0.0025575338,0.12872154,0.39728344849552155,GSE135893
ACAP3,0.0085645765,0.7425413,1.0,GSE135893
PUSL1,-0.018892169,0.115036674,0.36858555425019396,GSE135893
CPSF3L,-0.005810499,0.86145604,1.0,GSE135893
CPTP,-0.026277985,0.33336616,0.644061883463772,GSE135893
TAS1R3,-0.0026441724,0.026511703,0.13063546509513838,GSE135893
DVL1,0.02849926,0.27956948,0.6361638969490901,GSE135893
MXRA8,0.14415161,0.0014473012,0.01391308645747028,GSE135893
AURKAIP1,-0.26659262,1.0445329e-05,0.0002678424085095068,GSE135893
CCNL2,-0.04928857,0.2253059,0.5645885016992478,GSE135893
MRPL20,-0.2953381,2.640861e-05,0.0005686012316469517,GSE135893
RP4-758J18.13,-0.0010179395,0.5919467,0.9916991258933607,GSE135893
ANKRD65,-0.1713904,1.4585189e-07,9.360635087887204e-06,GSE135893
RP4-758J18.7,-0.0002920837,0.84262437,1.0,GSE135893
TMEM88B,-0.00023660137,0.0928463,0.31883042459245176,GSE135893
RP4-758J18.10,-0.021584913,0.00024372016,0.003371062043155635,GSE135893
VWA1,-0.15200232,0.0001081086,0.0017908168769571976,GSE135893
ATAD3C,-0.11305732,3.2266294e-07,1.7274276331677573e-05,GSE135893
ATAD3B,-0.01911246,0.30118227,0.6361638969490901,GSE135893
ATAD3A,-0.019856285,0.36547172,0.6897168229592264,GSE135893
TMEM240,-0.00076912093,0.02670265,0.13136218780420558,GSE135893
SSU72,-0.33899075,8.0739096e-07,3.505699877146025e-05,GSE135893
RP5-832C2.5,-0.003851986,0.007941099,0.0526086090815979,GSE135893
AL645728.1,0.0,,1.0,GSE135893
C1orf233,-0.02307843,6.350671e-06,0.00017996594225698834,GSE135893
RP11-345P4.9,-0.024115583,0.0010035906,0.010325185710436289,GSE135893
MIB2,-0.057005186,0.005979026,0.042438868517795755,GSE135893
MMP23B,0.16468027,0.00017465392,0.0025912766112988622,GSE135893
CDK11B,-0.027061291,0.22651249,0.5664521657487598,GSE135893
RP11-345P4.10,-0.0010764282,0.31769544,0.6361638969490901,GSE135893
SLC35E2B,-0.0027792156,0.88358,1.0,GSE135893
RP11-345P4.7,-0.00014297172,0.10208355,0.3404445145662611,GSE135893
CDK11A,0.0036738217,0.82998574,1.0,GSE135893
SLC35E2,-0.016660064,0.07557102,0.27665037445979807,GSE135893
NADK,-0.05700361,0.049082752,0.20369432892910525,GSE135893
GNB1,0.049350426,0.18941306,0.5065576754654104,GSE135893
RP1-140A9.1,-0.0019959838,0.22521864,0.5644513213333032,GSE135893
CALML6,-0.00072368217,0.10048642,0.3371628598565838,GSE135893
TMEM52,-0.013005253,6.781772e-05,0.0012337839407921094,GSE135893
CFAP74,0.0003655153,0.7839687,1.0,GSE135893
RP11-547D24.1,-2.4722587e-05,0.328183,0.6361638969490901,GSE135893
GABRD,-0.00010947456,0.2146163,0.5469128397801806,GSE135893
RP11-547D24.3,0.00010230916,0.7599279,1.0,GSE135893
PRKCZ,0.19461149,3.3968126e-06,0.00010838277011709414,GSE135893
RP5-892K4.1,-0.0012180841,0.08520049,0.3008544376466265,GSE135893
RP11-181G12.2,-0.0005641685,0.008561367,0.05553844924779479,GSE135893
FAAP20,-0.28504336,3.4379914e-06,0.00010948930208277384,GSE135893
RP11-181G12.4,0.0,,1.0,GSE135893
SKI,-0.024871401,0.2858873,0.6361638969490901,GSE135893
MORN1,-0.013015425,0.004254004,0.03259081635480173,GSE135893
RER1,-0.1413067,0.0030228107,0.024914526162690024,GSE135893
PEX10,-0.009198185,0.6567033,1.0,GSE135893
PLCH2,-0.0010079647,0.30914646,0.6361638969490901,GSE135893
RP3-395M20.2,0.0,,1.0,GSE135893
RP3-395M20.3,-6.0515733e-05,0.328183,0.6361638969490901,GSE135893
PANK4,-0.0011144355,0.9367157,1.0,GSE135893
HES5,-0.00071769784,0.029835502,0.14291688851283413,GSE135893
RP3-395M20.12,-0.009103955,0.30779618,0.6361638969490901,GSE135893
RP3-395M20.8,-0.022511736,0.00037493435,0.00475090359441789,GSE135893
TNFRSF14,-0.0065729767,0.8462856,1.0,GSE135893
RP3-395M20.9,6.1032333e-06,0.97414726,1.0,GSE135893
FAM213B,-0.0023864117,0.83795357,1.0,GSE135893
MMEL1,-0.001082854,0.028041711,0.13616333953474677,GSE135893
RP13-436F16.1,0.0,,1.0,GSE135893
TTC34,0.0010498575,0.51444525,0.8901284954881484,GSE135893
RP11-740P5.2,0.0,,1.0,GSE135893
RP11-740P5.3,0.0,,1.0,GSE135893
ACTRT2,0.0,,1.0,GSE135893
LINC00982,0.013554636,0.2438416,0.5939419493170749,GSE135893
PRDM16,-0.0049908906,0.77445877,1.0,GSE135893
RP1-163G9.2,-6.0841907e-05,0.963601,1.0,GSE135893
