,pearson,cmap
10-DEBC,-0.0003751919748226504,0.0
1271738-62-5,-0.04162295348200569,0.09078947368421053
"16,16-dimethylprostaglandin-e2",-0.12719944053063634,0.2042982456140351
17-hydroxyprogesterone-caproate,-0.0036006156059400743,-0.062412280701754363
"2',5'-dideoxyadenosine",-0.0037873860778094657,0.0
2-iminobiotin,-0.0016991658427625029,0.11122807017543859
2-methoxyestradiol,0.05219317197325578,-0.10600877192982458
"3,3'-diindolylmethane",-0.01267046114373345,0.0824122807017544
3-amino-benzamide,-0.04506285163459573,0.0
3-deazaadenosine,-0.034157226914821266,0.0
"4,5,6,7-tetrabromobenzotriazole",-0.07226771854465819,0.1395614035087719
5-aminolevulinic-acid,0.049032583321354295,-0.12815789473684203
A-443654,-0.0993774095332022,0.17732456140350877
A-66,-0.12396153777746836,0.16793859649122805
A-769662,0.0209701121933441,-0.11258771929824563
ABT-202,0.09820533685809228,-0.19653508771929823
ABT-239,-0.02952545190466563,0.11793859649122806
ABT-724,0.05972402653590857,-0.10368421052631577
ABT-737,0.00273600334643411,-0.11302631578947367
ACY-1215,-0.027789547190071144,-0.06736842105263158
AEE-788,0.014467184158632592,0.0
AGI-5198,0.06905316417641759,-0.10763157894736841
AGI-6780,0.032549304097935564,-0.0894298245614035
AGK-2,-0.06671825254515798,0.0
AGP-103,-0.050921344448193656,0.0
AICA-ribonucleotide,0.040055760193451216,-0.08864035087719298
AKT-inhibitor-1-2,-0.05854659414626198,0.11100877192982458
ALW-II-38-3,0.005602059620787716,-0.0974122807017544
ALW-II-49-7,0.011081747834938612,0.0
ALX-5407,0.0845375078640964,-0.13802631578947372
AM-24,0.017214378694849708,-0.07557017543859651
AMD-11070,-0.015942067329491376,0.0
AMG-208,0.06188725257142548,-0.1321052631578947
AMG-232,-0.021318755541178697,0.0
AMG-487,0.005178393209147605,0.0
AMG-517,-0.07988940718301489,0.15912280701754383
AMG-837,0.0779099788964672,-0.14162280701754387
AP-26113,-0.08576384558975335,0.11188596491228064
APD-668,0.0013202222041139879,0.0
API-001,0.0850590092867991,-0.14197368421052634
AR-A014418,0.031053744352745553,-0.09583333333333333
ARN-509,-0.06638183859295184,0.08285087719298244
ARP-101,0.07838195447043612,-0.15789473684210525
ARRY-334543,0.007715205840329417,0.0
AS-601245,-0.025891535264648394,0.0
AS-605240,-0.04853146661410016,0.06311403508771929
AS-703026,-0.12832424463938116,0.14118421052631577
ASA-404,0.06841694460818198,-0.11504385964912281
ASC-J9,-0.05398246178505814,0.12649122807017543
AST-1306,0.06402633129257385,-0.13543859649122808
AT-13387,-0.07181024950974457,0.1932017543859649
AT-7519,-0.08183251278210181,0.08570175438596489
AT-9283,-0.04400087170311024,0.13464912280701752
AT7867,0.01869224215464139,-0.06596491228070177
ATN-161,-0.010213395881200285,0.09057017543859647
AV-412,-0.022103130377204495,0.0
AV-608,-0.007675953637217888,0.0
AVL-292,-0.055774163953647066,0.1150877192982456
AVN-944,-0.13855552777796562,0.20925438596491228
AZ-20,-0.028758584322783054,0.13973684210526316
AZ-628,-0.11972514633573789,0.1096052631578947
AZD-1208,-0.08228086129746624,0.1275438596491228
AZD-1480,-0.047671245797723215,-0.06850877192982457
AZD-1981,0.011617730738200882,0.0887719298245614
AZD-2014,-0.10591361645765338,0.1755263157894737
AZD-3514,0.044428336188572885,0.0
AZD-4547,-0.030671454382366334,0.0
AZD-5363,-0.1098103829957597,0.155219298245614
AZD-5438,0.014347356614973215,-0.10219298245614034
AZD-6482,0.02221159485726195,0.0
AZD-7545,-0.038319435922079995,0.1399122807017544
AZD-7687,0.06572565880385234,-0.13175438596491226
AZD-7762,0.03316624774873466,0.0
AZD-8055,-0.09031225474553334,0.18464912280701753
AZD-8330,-0.1048147463351135,0.0955701754385965
AZD-8931,-0.06393369459124286,0.09302631578947365
AZD-9668,0.055972514402860836,-0.07464912280701749
BAY-87-2243,-0.025201277804151212,0.0
BAY-K8644,0.017436669593722663,-0.10421052631578948
BCI-540,0.09343905447380794,-0.1400877192982456
BGT-226,-0.061372452797776735,0.17307017543859649
BI-2536,0.07968090056456338,-0.10815789473684212
BIBX-1382,0.010932317390278817,-0.10495614035087722
BIIB-021,-0.07669972864779313,0.21171052631578946
BIX-01294,-0.004309986804626445,0.0
BIX-01338,0.09034508524160448,-0.15021929824561409
BIX-02189,0.1321435794958145,-0.14956140350877192
BMS-299897,-0.09100132711597983,0.14925438596491225
BMS-345541,-0.059222733631115236,0.0
BMS-387032,-0.07651991494960365,0.07144736842105268
BMS-509744,0.04203892846832504,0.0
BMS-599626,0.05576956177629001,-0.11035087719298248
BMS-707035,-0.021843025332401872,0.0995614035087719
BMS-777607,0.08053989688462929,-0.13710526315789473
BMS-927711,-0.07163272977498185,0.16535087719298244
BMY-14802,-0.0502558376189251,0.09438596491228071
BRD-K68548958,-0.10081474664291673,0.13157894736842102
BRD-K73261812,0.05779195516804046,-0.13149122807017538
BS-181,-0.07330514664942422,0.11083333333333328
BTS-54505,0.0003890394872068366,-0.07092105263157897
BVD-523,0.0018903465831503628,0.0
BX-795,-0.06880408994274519,0.11521929824561403
BX-912,-0.007707608201950349,-0.0894298245614035
CB-10-277-(free-acid),0.03993115494021183,-0.12096491228070178
CC-401,-0.07789837588212925,0.1657456140350877
CC-930,-0.05229435954773796,0.07982456140350876
CEP-32496,-0.055471224927775786,0.10039473684210529
CEP-37440,-0.09891014542383188,0.16342105263157897
CG-930,0.04603763570308906,-0.14495614035087714
CGK-733,0.08483142640512001,-0.10644736842105262
CGP-12177,-0.03585796733694512,0.09780701754385968
CGP-60474,-0.0840309962009284,0.09035087719298246
CGS-20625,-0.07333081353772368,0.13842105263157894
CHIR-99021,0.05955138151600993,0.0
CI-966,0.04867369292634503,-0.1033333333333333
CI-976,0.04446622558677973,-0.128640350877193
CL-218872,0.0752780010950266,-0.1079824561403509
CNQX,0.03051120237042136,-0.09999999999999996
CO-102862,0.11177640893041593,-0.1724561403508772
CP-466722,0.03763360448359492,0.0
CP-724714,-0.03352136057860417,0.08364035087719299
CP-945598,-0.026421396446977774,0.08039473684210524
CPI-1189,0.0389757651441207,-0.13030701754385962
CPI-613,0.07544026835681983,-0.1306140350877193
CT-7758,-0.04457921159011125,0.06342105263157896
CTB,0.0535443832287756,-0.0820175438596491
CTS-1027,-0.06639591824751545,0.09899122807017544
CX-4945,-0.01512791652819951,0.0
