,rwr_up,rwr_down,rwr_net
1,1.5685285406323682e-06,6.604502204714313e-06,-5.035973664081945e-06
10,5.5420302486551874e-05,1.2351908872364457e-05,4.3068393614187415e-05
100,1.4972013248087597e-06,1.110625253849328e-05,-9.60905121368452e-06
1000,4.690833850286532e-05,6.362058082499219e-06,4.05462804203661e-05
10000,4.1637170698219036e-05,2.053398970815544e-05,2.1103180990063595e-05
100008586,2.6220490727837194e-07,3.510805996530291e-05,-3.484585505802454e-05
10001,5.6618177139183336e-06,1.1619454340928815e-05,-5.9576366270104815e-06
10002,1.1033992542476215e-06,1.404860802912452e-06,-3.014615486648305e-07
10003,6.008434646198008e-07,1.0496565575796328e-06,-4.48813092959832e-07
10004,1.912357914955489e-06,2.4296052597512866e-06,-5.172473447957977e-07
100049587,3.2280920906445635e-07,1.756546781453618e-06,-1.4337375723891615e-06
10005,5.6950875308423706e-05,9.75008592365459e-06,4.7200789384769114e-05
10006,6.061854596040514e-05,1.8592392579805555e-05,4.202615338059958e-05
10007,3.0698466188758024e-07,0.00014482676225004672,-0.00014451977758815913
10008,2.8588796991419754e-06,3.4867195104047735e-05,-3.200831540490576e-05
10009,3.1456409203516095e-06,3.0042496544272792e-05,-2.6896855623921183e-05
1001,9.196403847896249e-06,5.935433474819021e-06,3.260970373077228e-06
10010,4.947165654449253e-06,0.00019639495071450762,-0.00019144778506005838
100101267,1.542511348161084e-06,3.899385136535759e-05,-3.7451340017196505e-05
100101467,1.0147930172821778e-07,1.5061877317576426e-05,-1.4960398015848208e-05
10011,6.283335918608608e-06,0.00020924851494461862,-0.00020296517902601002
100125288,2.4756749856777453e-08,4.713561131009682e-07,-4.4659936324419077e-07
100126572,4.2069873847238776e-07,2.0509272272587083e-07,2.1560601574651693e-07
100128327,3.0255315378293444e-07,8.72585486528261e-06,-8.423301711499677e-06
100128731,8.956823897539186e-07,0.0007180780770799078,-0.0007171823946901538
100129128,8.939334606668703e-10,6.294156717497367e-08,-6.204763371430681e-08
100129278,3.125464726353854e-08,7.186677773467783e-08,-4.061213047113929e-08
100129669,4.3641309149449326e-06,1.5309411453853954e-06,2.833189769559537e-06
100129842,0.00024853979928529175,3.05383092080178e-06,0.00024548596836449
10013,6.342627613925729e-05,1.4378178698103234e-05,4.904809744115406e-05
100130361,0.0,0.0,0.0
100130733,1.2228958712070749e-05,2.0507559905267115e-06,1.0178202721544038e-05
100130890,1.6239576652100173e-06,1.5746365668329277e-05,-1.4122408003119259e-05
100131187,1.6300919941681844e-06,0.00035783251370905136,-0.0003562024217148832
100131390,1.4466235014208086e-07,1.1823649026588225e-08,1.3283870111549264e-07
100131439,3.1828016862388207e-06,9.849205866042463e-08,3.084309627578396e-06
100131608,0.0,0.0,0.0
100131755,4.940180760839095e-09,1.3592420131425573e-05,-1.3587479950664734e-05
100131801,4.137341906638921e-08,0.0002338396498539679,-0.0002337982764349015
