gene_id,gene_symbol,log2FC,pvalue,n_datasets,padj
1,A1BG,0.00023200735,0.9830551141881163,1,1.0
10,NAT2,-2.4722587e-05,0.3281830050558069,1,0.6591637315128221
100,ADA,-0.0030802293,0.009611297408630993,1,0.08449751056608781
1000,CDH2,0.0037036047,0.40352249767138026,1,0.7544549343821636
10000,AKT3,0.00718148,0.15984890078082226,1,0.5389536402979095
100008586,GAGE12F,0.0,,1,1.0
100009676,ZBTB11-AS1,-0.008604396,0.605337277885547,1,0.9947851244322625
10001,MED6,0.000927262,0.9613212932756013,1,1.0
10002,NR2E3,-0.00020832312,0.8114442842606947,1,1.0
10003,NAALAD2,-0.00014236197,0.16744024487041564,1,0.5456108989799779
100037417,DDTL,-0.014515828,0.03499363419803352,1,0.21130134615277443
10004,NAALADL1,-0.00025766625,0.39247320195473456,1,0.7404317197241567
100048912,CDKN2B-AS1,0.013312032,0.09090351224849853,1,0.38944531061593896
100049587,SIGLEC14,-0.0016713875,0.30267264846014486,1,0.6591637315128221
10005,ACOT8,0.0029780865,0.863235776012665,1,1.0
10006,ABI1,0.0002283603,0.995165944412442,1,1.0
10007,GNPDA1,-0.13647279,4.427225802024209e-07,1,2.5945041745755117e-05
100073347,MIMT1,0.0,,1,1.0
10008,KCNE3,-0.026382912,0.03283206262402105,1,0.20251015578549295
10009,ZBTB33,-0.028037498,0.043853401908647,1,0.2450068491622914
100093630,SNHG8,-0.37914175,6.837471519787908e-05,1,0.0016906237403879183
100093698,GS1-600G8.3,0.0,,1,1.0
1001,CDH3,-0.0050728284,0.7095088965677366,1,1.0
10010,TANK,-0.18218553,1.0654431690620934e-06,1,5.384138633911373e-05
100101115,TTTY21B,0.0,,1,1.0
100101116,TTTY1B,0.0,,1,1.0
100101117,TTTY2B,0.0,,1,1.0
100101118,TTTY8B,0.0,,1,1.0
100101120,TTTY7B,0.0,,1,1.0
100101121,TTTY23B,0.0,,1,1.0
100101267,POM121C,-0.03440299,0.20929477135118102,1,0.6098314417899601
100101467,ZSCAN30,-0.011620073,0.09871162695391585,1,0.40949809068358056
10011,SRA1,-0.18748684,2.954031069795538e-05,1,0.0008405321274049882
100113386,UCKL1-AS1,-0.0030193292,0.0039250797953534165,1,0.04329656579799679
100113404,LINC00583,0.0,,1,1.0
100113407,TMEM170B,-0.0062056533,0.17586778614310816,1,0.5578930225447869
100124412,FAM138E,-1.6396536e-05,0.3281828576259116,1,0.6591637315128221
100124700,HOTAIR,0.0,,1,1.0
100125288,ZGLP1,-0.00040704908,0.8115047796850601,1,1.0
100126572,GJE1,0.0,,1,1.0
100126693,LINC00322,0.0,,1,1.0
100126791,EGOT,6.494741e-05,0.9841077323204024,1,1.0
100126793,GHRLOS,-0.0017489747,0.1251933717687513,1,0.4700189704702494
100127888,SLCO4A1-AS1,-8.67032e-05,0.19221032751063916,1,0.5841262320759805
100127967,KRT73-AS1,0.0,,1,1.0
100127983,C8orf88,-0.0011894712,0.009170657191418354,1,0.08166027281294058
100128025,WWTR1-AS1,0.0007127924,0.786194443185057,1,1.0
100128054,PLCE1-AS1,-2.4722587e-05,0.3281830050558069,1,0.6591637315128221
100128055,SMARCA5-AS1,-0.001563821,0.7110601760146132,1,1.0
100128071,FAM229A,-0.0045265397,0.2900858383404272,1,0.6591637315128221
100128081,JAZF1-AS1,-1.6396536e-05,0.3281828576259116,1,0.6591637315128221
100128098,ST8SIA6-AS1,0.0,,1,1.0
100128126,STAU2-AS1,0.0,,1,1.0
100128127,ADGRA1-AS1,0.0,,1,1.0
100128139,LINC01233,2.0475694e-05,0.9107930687045412,1,1.0
100128176,UST-AS1,0.0,,1,1.0
100128191,TMPO-AS1,-0.0074188807,0.0007806554854329371,1,0.012095907426235406
100128252,ZNF667-AS1,0.014133338,0.1167768789619157,1,0.4510788725523761
100128260,WASIR1,0.0,,1,1.0
100128262,TNK2-AS1,-5.381578e-05,0.3281830050558069,1,0.6591637315128221
100128264,HTR5A-AS1,0.0,,1,1.0
100128285,DNM1P35,0.0002688201,0.7703193942704338,1,1.0
100128327,TRAPPC3L,-0.00019084378,0.12824065581058944,1,0.4764974795008948
100128385,FAM225B,-0.0007871437,0.28464370041310194,1,0.6591637315128221
100128505,ASTN2-AS1,0.0,,1,1.0
100128511,NEBL-AS1,-0.010915914,0.005877304098058529,1,0.05878928070554853
100128553,CTAGE4,-0.0018584342,0.010151656217703225,1,0.0880742920518214
100128560,MYHAS,0.0,,1,1.0
100128574,ARMCX3-AS1,-0.000802786,0.4115899570113074,1,0.7650263105931325
100128590,SLC8A1-AS1,0.0,,1,1.0
100128640,ACVR2B-AS1,-0.0028761816,0.0023893510810163755,1,0.02938592264032304
100128675,HPN-AS1,-1.6396536e-05,0.3281828576259116,1,0.6591637315128221
100128682,LINC01531,0.0,,1,1.0
100128688,GPR50-AS1,0.0,,1,1.0
100128731,OST4,-0.66256315,5.163477177704679e-08,1,4.445725939316282e-06
100128750,RBPMS-AS1,-0.17510496,8.854573013969212e-07,1,4.6061130240270146e-05
100128787,LINC01349,0.0,,1,1.0
100128788,SRRM2-AS1,0.001051056,0.8185464138600704,1,1.0
100128811,GPR158-AS1,0.0,,1,1.0
100128822,LINC01003,-0.024292503,0.0032639388985411842,1,0.03753335656234816
100128830,LINC01165,0.0,,1,1.0
100128881,VPS9D1-AS1,-0.0014418385,0.009814878736866253,1,0.08581762621822828
100128890,FAM66B,-0.0052025993,0.1585711285111191,1,0.5379162747090085
100128893,GATA6-AS1,0.08321797,0.005429540036679276,1,0.055395776018602474
100128927,ZBTB42,-0.03945721,0.00798224556203165,1,0.07386104345896649
100128946,LINC01310,-0.00011904525,0.16810650410721661,1,0.5462398286457343
100128977,MAPT-AS1,0.0,,1,1.0
100129060,SEMA3F-AS1,-0.00016305626,0.08393706359016845,1,0.37155181483366145
100129075,KTN1-AS1,-0.0025187284,0.28212953717084843,1,0.6591637315128221
100129128,KHDC1L,0.0,,1,1.0
100129195,ZSCAN16-AS1,-0.074421644,0.006823668421116211,1,0.06576916378972979
100129196,MATN1-AS1,-0.011695031,0.131187822364945,1,0.48279009975458387
100129213,SLC39A12-AS1,0.0,,1,1.0
100129239,CXorf51A,0.0,,1,1.0
100129269,LINC01160,0.010093075,0.3266950664609979,1,0.6591637315128221
100129278,TDRD15,0.0,,1,1.0
100129347,LINC00484,-0.0005764946,0.052998275780241196,1,0.27715215626192585
100129361,SMIM10L1,-0.08952916,1.9437014019071208e-07,1,1.3236228584051523e-05
100129387,GABPB1-AS1,-0.056436613,0.22668121435863187,1,0.6378821109669225
100129427,DDC-AS1,0.0,,1,1.0
100129464,LINC01546,0.0,,1,1.0
100129480,MKRN2OS,0.0019103372,0.6558933784010632,1,1.0
100129520,TEX13C,0.0,,1,1.0
100129543,ZNF730,-0.0011787511,0.005002420637889106,1,0.05193156960024808
100129583,FAM47E,0.0022933949,0.8568412572169364,1,1.0
100129597,LINC00462,0.0,,1,1.0
100129631,IGHV2OR16-5,0.0,,1,1.0
100129654,TCF24,0.0,,1,1.0
100129662,FGF13-AS1,0.0,,1,1.0
100129669,IZUMO3,0.0,,1,1.0
100129716,ARRDC3-AS1,-0.008478731,0.3583528514010851,1,0.6979634802845516
100129726,LINC01126,-0.00018617806,0.18889129577677644,1,0.579293795612231
100129781,MIR193BHG,0.0020559547,0.6753286759317942,1,1.0
100129792,CCDC152,-0.018653039,0.2556865875513963,1,0.6591637315128221
100129794,SLC25A21-AS1,-0.010643594,0.03736723608971122,1,0.22072416944604553
100129836,COL4A2-AS2,-0.00019950022,0.18142241127968162,1,0.5665366293577162
100129842,ZNF737,0.05308314,0.10682843905998178,1,0.42867961599893406
100129845,PCOLCE-AS1,-0.00033607497,0.1740064578989019,1,0.5555072898555484
100129858,SCOC-AS1,0.0045049223,0.4157740626541305,1,0.7701569478644612
100129961,CCNT2-AS1,-0.00089726364,0.8447643490107,1,1.0
100129995,LINC01460,-0.0016253402,0.2350768895001326,1,0.6496631838978958
10013,HDAC6,0.008324154,0.8059485480882309,1,1.0
100130086,HSFX2,0.0,,1,1.0
100130155,MIR124-2HG,0.0,,1,1.0
100130197,EFCAB14-AS1,-2.6907888e-05,0.32818297556982445,1,0.6591637315128221
100130231,LINC00861,-0.00019258715,0.5772984722072587,1,0.9631759699074159
100130274,CCDC166,-0.00032592987,0.2546485402693144,1,0.6591637315128221
100130275,TFAP2A-AS1,-0.00033700044,0.24208346167027572,1,0.6591637315128221
100130301,C8orf89,-4.1119125e-05,0.17076442655951773,1,0.5500736312915835
100130311,C17orf107,-0.003687616,0.10585641379306526,1,0.42665063296089595
100130361,CXorf49,0.0,,1,1.0
100130418,CECR7,-0.00091995974,0.3999186465496476,1,0.7497368496894458
100130480,LINC01387,0.0,,1,1.0
100130519,TMEM221,0.0,,1,1.0
100130522,PARD6G-AS1,0.011319267,0.5309944558360337,1,0.9090988531685238
100130557,NFYC-AS1,0.0063925665,0.4198992555598493,1,0.7755476927480871
100130581,LINC00910,-0.008772522,0.2898921720325338,1,0.6591637315128221
100130613,PRR32,-0.00028645364,0.16192145475090636,1,0.5404268510797143
