,pearson,cmap,net_trace,reversal_rank,scrna_rank
10-DEBC,-0.0003751919748226504,0.0,-0.017385592881468,809,855.0
1271738-62-5,-0.04162295348200569,0.09078947368421053,-0.0482857841262402,1412,1215.0
"16,16-dimethylprostaglandin-e2",-0.12719944053063634,0.2042982456140351,0.0063508149706135,387,1752.0
17-hydroxyprogesterone-caproate,-0.0036006156059400743,-0.062412280701754363,0.0065272179666956,386,882.0
"2',5'-dideoxyadenosine",-0.0037873860778094657,0.0,-0.0350483403226592,1174,887.0
2-iminobiotin,-0.0016991658427625029,0.11122807017543859,-0.0738556888900229,1672,866.0
2-methoxyestradiol,0.05219317197325578,-0.10600877192982458,-0.0135285362854099,739,362.0
"3,3'-diindolylmethane",-0.01267046114373345,0.0824122807017544,-0.039187592474707,1252,972.0
3-amino-benzamide,-0.04506285163459573,0.0,0.0201897854073093,230,1255.0
3-deazaadenosine,-0.034157226914821266,0.0,-0.04056423251524,1286,1155.0
"4,5,6,7-tetrabromobenzotriazole",-0.07226771854465819,0.1395614035087719,-0.0235972258404878,927,1517.0
5-aminolevulinic-acid,0.049032583321354295,-0.12815789473684203,-0.0392378673881565,1253,391.0
A-443654,-0.0993774095332022,0.17732456140350877,-0.0116378010313776,687,1689.0
A-66,-0.12396153777746836,0.16793859649122805,-0.0319514929329395,1118,1748.0
A-769662,0.0209701121933441,-0.11258771929824563,-0.0599364403663718,1556,628.0
ABT-202,0.09820533685809228,-0.19653508771929823,-0.0442505477477906,1349,38.0
ABT-239,-0.02952545190466563,0.11793859649122806,-0.0506636387780746,1445,1114.0
ABT-724,0.05972402653590857,-0.10368421052631577,0.0058235515066414,392,294.0
ABT-737,0.00273600334643411,-0.11302631578947367,-0.0988100730592887,1748,816.0
ACY-1215,-0.027789547190071144,-0.06736842105263158,-0.0190141360506301,837,1100.0
AEE-788,0.014467184158632592,0.0,0.0818801731116724,26,700.0
AGI-5198,0.06905316417641759,-0.10763157894736841,0.0120806008896602,321,223.0
