pr_gene_id,pr_gene_symbol,pr_gene_title,pr_is_lm,pr_is_bing
780,DDR1,discoidin domain receptor tyrosine kinase 1,1,1
7849,PAX8,paired box 8,1,1
6193,RPS5,ribosomal protein S5,1,1
23,ABCF1,ATP binding cassette subfamily F member 1,1,1
9552,SPAG7,sperm associated antigen 7,1,1
387,RHOA,ras homolog family member A,1,1
10921,RNPS1,"RNA binding protein S1, serine-rich domain",1,1
10285,SMNDC1,survival motor neuron domain containing 1,1,1
533,ATP6V0B,"ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b",1,1
6194,RPS6,ribosomal protein S6,1,1
23326,USP22,ubiquitin specific peptidase 22,1,1
351,APP,amyloid beta precursor protein,1,1
1213,CLTC,clathrin heavy chain,1,1
9761,MLEC,malectin,1,1
1465,CSRP1,cysteine and glycine rich protein 1,1,1
808,CALM3,"calmodulin 3 (phosphorylase kinase, delta)",1,1
5792,PTPRF,"protein tyrosine phosphatase, receptor type F",1,1
3337,DNAJB1,DnaJ heat shock protein family (Hsp40) member B1,1,1
7494,XBP1,X-box binding protein 1,1,1
2896,GRN,granulin,1,1
3098,HK1,hexokinase 1,1,1
11014,KDELR2,KDEL endoplasmic reticulum protein retention receptor 2,1,1
6500,SKP1,S-phase kinase-associated protein 1,1,1
823,CAPN1,calpain 1,1,1
813,CALU,calumenin,1,1
1509,CTSD,cathepsin D,1,1
4144,MAT2A,methionine adenosyltransferase 2A,1,1
3925,STMN1,stathmin 1,1,1
1891,ECH1,"enoyl-CoA hydratase 1, peroxisomal",1,1
8826,IQGAP1,IQ motif containing GTPase activating protein 1,1,1
3303,HSPA1A,heat shock protein family A (Hsp70) member 1A,1,1
3329,HSPD1,heat shock protein family D (Hsp60) member 1,1,1
1153,CIRBP,cold inducible RNA binding protein,1,1
5720,PSME1,proteasome activator subunit 1,1,1
5048,PAFAH1B1,platelet activating factor acetylhydrolase 1b regulatory subunit 1,1,1
10525,HYOU1,hypoxia up-regulated 1,1,1
5708,PSMD2,"proteasome 26S subunit, non-ATPase 2",1,1
2058,EPRS,glutamyl-prolyl-tRNA synthetase,1,1
5710,PSMD4,"proteasome 26S subunit, non-ATPase 4",1,1
5223,PGAM1,phosphoglycerate mutase 1,1,1
6772,STAT1,signal transducer and activator of transcription 1,1,1
2288,FKBP4,FK506 binding protein 4,1,1
3895,KTN1,kinectin 1,1,1
10972,TMED10,transmembrane p24 trafficking protein 10,1,1
226,ALDOA,"aldolase, fructose-bisphosphate A",1,1
10099,TSPAN3,tetraspanin 3,1,1
2778,GNAS,GNAS complex locus,1,1
